Command main.py play --no-gui --agents ppo3_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 36, Game Loss -5.008479561365586e+17, Mean Loss -1.1686234927241626e+17, Actions 23, Mean reward 1189.5226583231433, Final reward 0.5,  Reward 2241.5, Record 3898.774193548388
Game 37, Game Loss -5.192594157826212e+17, Mean Loss -1.2773794520026317e+17, Actions 5, Mean reward 1168.1842080981935, Final reward 0.0,  Reward 400.0, Record 3898.774193548388
Game 38, Game Loss -4.9967409003495424e+17, Mean Loss -1.3752574617111757e+17, Actions 6, Mean reward 1150.6004131482412, Final reward 0.0,  Reward 500.0, Record 3898.774193548388
Game 39, Game Loss -4.83418738331222e+17, Mean Loss -1.4639480209775e+17, Actions 6, Mean reward 1135.87561622991, Final reward 0.5,  Reward 576.3333333333333, Record 3898.774193548388
Game 40, Game Loss -8.28979952857645e+17, Mean Loss -1.6345942871926374e+17, Actions 30, Mean reward 1181.7287258241624, Final reward 0.5,  Reward 2970.0, Record 3898.774193548388
Game 41, Game Loss -8.175901806249902e+17, Mean Loss -1.7941384065449984e+17, Actions 8, Mean reward 1170.4670495845487, Final reward 0.0,  Reward 720.0, Record 3898.774193548388
Game 42, Game Loss -7.72665647342551e+17, Mean Loss -1.9353888857941606e+17, Actions 6, Mean reward 1154.5035484039643, Final reward 0.0,  Reward 500.0, Record 3898.774193548388
Game 43, Game Loss -7.734136588468224e+17, Mean Loss -2.0702434715448115e+17, Actions 6, Mean reward 1139.817419371314, Final reward 0.5,  Reward 523.0, Record 3898.774193548388
Game 44, Game Loss -6.991937377539195e+17, Mean Loss -2.1821002254123008e+17, Actions 7, Mean reward 1128.0829325674204, Final reward 0.5,  Reward 623.5, Record 3898.774193548388
Game 45, Game Loss -9.80875766247981e+17, Mean Loss -2.351581524698071e+17, Actions 9, Mean reward 1120.7922007325888, Final reward 0.0,  Reward 800.0, Record 3898.774193548388
Game 46, Game Loss -8.30746112129237e+17, Mean Loss -2.4810570934072115e+17, Actions 9, Mean reward 1114.7858485427498, Final reward 0.5,  Reward 844.5, Record 3898.774193548388
Game 47, Game Loss -1.0603936841193226e+18, Mean Loss -2.6538841722165658e+17, Actions 33, Mean reward 1162.3063624035424, Final reward 1.5,  Reward 3348.25, Record 3898.774193548388
Game 48, Game Loss -1.2860617799311032e+18, Mean Loss -2.866524395268997e+17, Actions 9, Mean reward 1156.2409520756908, Final reward 0.5,  Reward 871.1666666666666, Record 3898.774193548388
Game 49, Game Loss -1.6394646083076096e+18, Mean Loss -3.142608329029714e+17, Actions 10, Mean reward 1151.888146180061, Final reward 0.0,  Reward 942.9534631898291, Record 3898.774193548388
Game 50, Game Loss -1.4023186418939986e+18, Mean Loss -3.3602198908279194e+17, Actions 5, Mean reward 1137.3003832564598, Final reward 0.5,  Reward 422.5, Record 3898.774193548388
Game 51, Game Loss -1.6033250354921472e+18, Mean Loss -3.60871089309483e+17, Actions 8, Mean reward 1130.1899182252873, Final reward 1.0,  Reward 774.6666666666667, Record 3898.774193548388
Game 52, Game Loss -1.7484427032946278e+18, Mean Loss -3.8755513700397875e+17, Actions 10, Mean reward 1127.8785736440318, Final reward 1.0,  Reward 1010.0, Record 3898.774193548388
Game 53, Game Loss -1.310055872428245e+18, Mean Loss -4.049607840287949e+17, Actions 5, Mean reward 1114.145015650748, Final reward 0.0,  Reward 400.0, Record 3898.774193548388
Game 54, Game Loss -2.1429202624278692e+18, Mean Loss -4.371452073607168e+17, Actions 32, Mean reward 1157.383070916475, Final reward 1.0,  Reward 3449.0, Record 3898.774193548388
