Game 49, Final reward 0.4666666666666666, Action Counter 6, plot_mean_rewards4.112944650038956,  Reward -1.0333333333333332, Record 28.96666666666667
Game 50, Final reward 0.39375, Action Counter 8, plot_mean_rewards4.018560757038177,  Reward -0.6062500000000002, Record 28.96666666666667
Game 51, Final reward 0.5249999999999999, Action Counter 6, plot_mean_rewards3.9402556441550756,  Reward 0.025000000000000355, Record 28.96666666666667
Game 52, Final reward 0.23026315789473684, Action Counter 114, plot_mean_rewards4.590063480957761,  Reward 37.73026315789474, Record 37.73026315789474
Game 53, Final reward 0.23092783505154638, Action Counter 97, plot_mean_rewards5.007815638582172,  Reward 26.730927835051546, Record 37.73026315789474
Game 54, Final reward 0.08076923076923077, Action Counter 13, plot_mean_rewards4.842499964363414,  Reward -3.9192307692307695, Record 37.73026315789474
Game 55, Final reward 0.08235294117647059, Action Counter 17, plot_mean_rewards4.6923154730327425,  Reward -3.4176470588235297, Record 37.73026315789474
Game 56, Final reward 0.30624999999999997, Action Counter 8, plot_mean_rewards4.578278589585729,  Reward -1.6937499999999996, Record 37.73026315789474
Game 57, Final reward -0.2692307692307692, Action Counter 13, plot_mean_rewards4.309024039431053,  Reward -10.76923076923077, Record 37.73026315789474
Game 58, Final reward 0.4635135135135135, Action Counter 37, plot_mean_rewards4.5789290303635095,  Reward 19.96351351351351, Record 37.73026315789474
Game 59, Final reward 0.05833333333333333, Action Counter 12, plot_mean_rewards4.426037577871473,  Reward -4.441666666666666, Record 37.73026315789474
Game 60, Final reward 0.15, Action Counter 28, plot_mean_rewards4.454770284906948,  Reward 6.15, Record 37.73026315789474
Game 61, Final reward -0.08333333333333333, Action Counter 21, plot_mean_rewards4.25742432395219,  Reward -7.583333333333333, Record 37.73026315789474
Game 62, Final reward 0.27735849056603773, Action Counter 53, plot_mean_rewards4.443229713736284,  Reward 15.777358490566037, Record 37.73026315789474
Game 63, Final reward -0.0375, Action Counter 28, plot_mean_rewards4.26893241669285,  Reward -6.5375, Record 37.73026315789474
Game 64, Final reward 0.1852941176470588, Action Counter 17, plot_mean_rewards4.19731306827026,  Reward -0.31470588235294095, Record 37.73026315789474
Game 65, Final reward -0.175, Action Counter 8, plot_mean_rewards4.099277482604563,  Reward -2.175, Record 37.73026315789474
Game 66, Final reward 0.35, Action Counter 16, plot_mean_rewards4.087924793474191,  Reward 3.3499999999999996, Record 37.73026315789474
Game 67, Final reward 0.322, Action Counter 50, plot_mean_rewards4.300373677153681,  Reward 18.322, Record 37.73026315789474
Game 68, Final reward 0.40727272727272723, Action Counter 55, plot_mean_rewards4.6328280749495505,  Reward 26.907272727272726, Record 37.73026315789474
Game 69, Final reward 0.18164556962025316, Action Counter 79, plot_mean_rewards4.785709487915792,  Reward 15.181645569620253, Record 37.73026315789474
Game 70, Final reward 0.0625, Action Counter 28, plot_mean_rewards4.682520780945566,  Reward -2.4375, Record 37.73026315789474
Game 71, Final reward -0.034999999999999996, Action Counter 20, plot_mean_rewards4.524527530509713,  Reward -6.535, Record 37.73026315789474
Game 72, Final reward 0.48999999999999994, Action Counter 5, plot_mean_rewards4.4407146481415225,  Reward -1.5099999999999998, Record 37.73026315789474
Game 73, Final reward -0.21, Action Counter 5, plot_mean_rewards4.281115817345063,  Reward -7.21, Record 37.73026315789474
Game 74, Final reward -0.13999999999999999, Action Counter 5, plot_mean_rewards4.140289927921482,  Reward -6.14, Record 37.73026315789474
Game 75, Final reward 0.5599999999999999, Action Counter 5, plot_mean_rewards4.0725527288825285,  Reward -0.9400000000000004, Record 37.73026315789474
Game 76, Final reward -0.13999999999999999, Action Counter 5, plot_mean_rewards3.931598087713022,  Reward -6.64, Record 37.73026315789474
Game 77, Final reward 1.26, Action Counter 5, plot_mean_rewards3.9488500605998658,  Reward 5.26, Record 37.73026315789474
Game 78, Final reward 0.48999999999999994, Action Counter 5, plot_mean_rewards3.878864803412688,  Reward -1.5099999999999998, Record 37.73026315789474
Game 79, Final reward 0.48999999999999994, Action Counter 5, plot_mean_rewards3.880271578053034,  Reward 3.9899999999999998, Record 37.73026315789474
Game 80, Final reward 0.48999999999999994, Action Counter 5, plot_mean_rewards3.812893183327371,  Reward -1.5099999999999998, Record 37.73026315789474
Game 81, Final reward 0.4666666666666666, Action Counter 6, plot_mean_rewards3.7530632263315598,  Reward -1.0333333333333332, Record 37.73026315789474
Game 82, Final reward -0.15555555555555553, Action Counter 9, plot_mean_rewards3.6200312899670823,  Reward -7.155555555555556, Record 37.73026315789474
Game 83, Final reward -0.07903225806451612, Action Counter 31, plot_mean_rewards3.47305462071369,  Reward -8.579032258064515, Record 37.73026315789474
Game 84, Final reward -0.06363636363636363, Action Counter 11, plot_mean_rewards3.353570204233332,  Reward -6.5636363636363635, Record 37.73026315789474
Game 85, Final reward 0.1845454545454545, Action Counter 55, plot_mean_rewards3.42805226600171,  Reward 9.684545454545454, Record 37.73026315789474
Game 86, Final reward 1.3299999999999998, Action Counter 5, plot_mean_rewards3.4559818908156434,  Reward 5.83, Record 37.73026315789474
Game 87, Final reward 0.2333333333333333, Action Counter 15, plot_mean_rewards3.4189399533733185,  Reward 0.2333333333333334, Record 37.73026315789474
Game 88, Final reward 0.0472972972972973, Action Counter 37, plot_mean_rewards3.409034923190636,  Reward 2.5472972972972974, Record 37.73026315789474
Game 89, Final reward -0.21875, Action Counter 8, plot_mean_rewards3.2783856543907413,  Reward -8.21875, Record 37.73026315789474
Game 90, Final reward 0.5599999999999999, Action Counter 5, plot_mean_rewards3.231514702675289,  Reward -0.9400000000000004, Record 37.73026315789474
Game 91, Final reward -0.13999999999999999, Action Counter 5, plot_mean_rewards3.1230365191294065,  Reward -6.64, Record 37.73026315789474
Game 92, Final reward 0.02592592592592592, Action Counter 54, plot_mean_rewards3.056763577898934,  Reward -2.974074074074074, Record 37.73026315789474
Game 93, Final reward 0.175, Action Counter 14, plot_mean_rewards3.0096478405021716,  Reward -1.3250000000000002, Record 37.73026315789474
Game 94, Final reward -0.0564516129032258, Action Counter 31, plot_mean_rewards2.891923378231901,  Reward -8.056451612903226, Record 37.73026315789474
Game 95, Final reward 0.35, Action Counter 7, plot_mean_rewards2.8441136584610396,  Reward -1.6500000000000004, Record 37.73026315789474
Game 96, Final reward 0.08369565217391305, Action Counter 92, plot_mean_rewards2.8726509708955486,  Reward 5.583695652173913, Record 37.73026315789474
Game 97, Final reward 0.29615384615384616, Action Counter 39, plot_mean_rewards2.9594912067229537,  Reward 11.296153846153846, Record 37.73026315789474
Game 98, Final reward 0.45652173913043476, Action Counter 23, plot_mean_rewards3.035991518278132,  Reward 10.456521739130434, Record 37.73026315789474
Game 99, Final reward 0.31875, Action Counter 56, plot_mean_rewards3.2156153413258277,  Reward 20.81875, Record 37.73026315789474
Game 100, Final reward 0.8312499999999999, Action Counter 8, plot_mean_rewards3.2367716879125696,  Reward 5.33125, Record 37.73026315789474
Game 101, Final reward 0.9423076923076923, Action Counter 13, plot_mean_rewards3.3378165988471746,  Reward 13.442307692307693, Record 37.73026315789474
Game 102, Final reward 0.16219512195121952, Action Counter 41, plot_mean_rewards3.345898741230548,  Reward 4.162195121951219, Record 37.73026315789474
Game 103, Final reward 0.3838709677419354, Action Counter 31, plot_mean_rewards3.4821897337209498,  Reward 17.383870967741935, Record 37.73026315789474
Game 104, Final reward -0.11199999999999999, Action Counter 25, plot_mean_rewards3.3562840632044018,  Reward -9.612, Record 37.73026315789474
Game 105, Final reward 0.301, Action Counter 50, plot_mean_rewards3.4843289768881696,  Reward 16.801000000000002, Record 37.73026315789474
Game 106, Final reward 0.08333333333333333, Action Counter 63, plot_mean_rewards3.4758290179867086,  Reward 2.583333333333333, Record 37.73026315789474
Game 107, Final reward -0.26764705882352935, Action Counter 17, plot_mean_rewards3.3286937275492297,  Reward -12.26764705882353, Record 37.73026315789474
Game 108, Final reward -0.26249999999999996, Action Counter 8, plot_mean_rewards3.2167382300719223,  Reward -8.7625, Record 37.73026315789474
Game 109, Final reward 0.45652173913043476, Action Counter 23, plot_mean_rewards3.278571106301817,  Reward 9.956521739130434, Record 37.73026315789474
Game 110, Final reward -0.024999999999999998, Action Counter 84, plot_mean_rewards3.171265914426346,  Reward -8.525, Record 37.73026315789474
Game 111, Final reward -0.03043478260869565, Action Counter 46, plot_mean_rewards3.079358700939544,  Reward -7.030434782608696, Record 37.73026315789474
Game 112, Final reward -0.07777777777777777, Action Counter 9, plot_mean_rewards2.997598553808139,  Reward -6.0777777777777775, Record 37.73026315789474
Game 113, Final reward -0.020588235294117647, Action Counter 51, plot_mean_rewards2.908942033550597,  Reward -7.020588235294118, Record 37.73026315789474
Game 114, Final reward 0.36029411764705876, Action Counter 34, plot_mean_rewards2.9918486307795136,  Reward 12.360294117647058, Record 37.73026315789474
Game 115, Final reward -0.28823529411764703, Action Counter 17, plot_mean_rewards2.854630509693451,  Reward -12.788235294117648, Record 37.73026315789474
Game 116, Final reward 0.5638888888888889, Action Counter 18, plot_mean_rewards2.916779288824446,  Reward 10.06388888888889, Record 37.73026315789474
Game 117, Final reward -0.175, Action Counter 8, plot_mean_rewards2.826251260714835,  Reward -7.675, Record 37.73026315789474
Game 118, Final reward -0.07129629629629629, Action Counter 108, plot_mean_rewards2.6661025526045714,  Reward -16.071296296296296, Record 37.73026315789474
Game 119, Final reward 0.18617021276595744, Action Counter 47, plot_mean_rewards2.704086314454667,  Reward 7.1861702127659575, Record 37.73026315789474
Game 120, Final reward 0.595, Action Counter 10, plot_mean_rewards2.711510595167545,  Reward 3.5949999999999998, Record 37.73026315789474
Game 121, Final reward -0.06999999999999999, Action Counter 20, plot_mean_rewards2.6306716646289705,  Reward -7.07, Record 37.73026315789474
Game 122, Final reward 0.03811881188118812, Action Counter 101, plot_mean_rewards2.613519592065464,  Reward 0.5381188118811879, Record 37.73026315789474
Game 123, Final reward 0.044871794871794865, Action Counter 39, plot_mean_rewards2.5723110733890926,  Reward -2.4551282051282053, Record 37.73026315789474
Game 124, Final reward -0.09333333333333332, Action Counter 15, plot_mean_rewards2.4943623281735894,  Reward -7.093333333333334, Record 37.73026315789474
Game 125, Final reward -0.049999999999999996, Action Counter 7, plot_mean_rewards2.4300074295482004,  Reward -5.55, Record 37.73026315789474
Game 126, Final reward 0.21, Action Counter 25, plot_mean_rewards2.4322295928057542,  Reward 2.71, Record 37.73026315789474
Game 127, Final reward -0.034999999999999996, Action Counter 10, plot_mean_rewards2.369495501523819,  Reward -5.535, Record 37.73026315789474
