Command main.py play --no-gui --agents q_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents q_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 36, Game Loss 0.3498346507549286, Mean Loss 1260506112.0, Actions 22, Mean reward 1512.886405378713, Final reward 2.5,  Reward 3310.247187120671, Record 6956.774585971672
Game 37, Game Loss 0.34249621629714966, Mean Loss 1226438400.0, Actions 47, Mean reward 1605.830768815894, Final reward 2.0,  Reward 4951.827852554406, Record 6956.774585971672
Game 38, Game Loss 0.3893764317035675, Mean Loss 1194163712.0, Actions 53, Mean reward 1730.4313505809703, Final reward 3.5,  Reward 6340.652875888792, Record 6956.774585971672
Game 39, Game Loss 0.4240269362926483, Mean Loss 1163544064.0, Actions 28, Mean reward 1769.5622299005556, Final reward 2.0,  Reward 3256.5356440447895, Record 6956.774585971672
Game 40, Game Loss 0.3857141435146332, Mean Loss 1134455552.0, Actions 94, Mean reward 2002.673240015479, Final reward 4.0,  Reward 11094.002634497492, Record 11094.002634497492
Game 41, Game Loss 0.3776077330112457, Mean Loss 1106785792.0, Actions 32, Mean reward 2039.6923848729937, Final reward 0.5,  Reward 3520.4581791735773, Record 11094.002634497492
Game 42, Game Loss 0.3549872636795044, Mean Loss 1080433792.0, Actions 71, Mean reward 2191.0076663919963, Final reward 3.0,  Reward 8394.934208671095, Record 11094.002634497492
Game 43, Game Loss 0.3650078773498535, Mean Loss 1055307456.0, Actions 7, Mean reward 2153.418320568234, Final reward 0.5,  Reward 574.6657959702079, Record 11094.002634497492
Game 44, Game Loss 0.34161901473999023, Mean Loss 1031323200.0, Actions 40, Mean reward 2217.0251685404287, Final reward 1.5,  Reward 4952.119631344807, Record 11094.002634497492
Game 45, Game Loss 0.3507762551307678, Mean Loss 1008404864.0, Actions 25, Mean reward 2238.2391920733057, Final reward 1.5,  Reward 3171.6562275198894, Record 11094.002634497492
Game 46, Game Loss 0.3263702988624573, Mean Loss 986483072.0, Actions 27, Mean reward 2262.7596520903467, Final reward 1.5,  Reward 3366.180352857212, Record 11094.002634497492
Game 47, Game Loss 0.3470590114593506, Mean Loss 965494016.0, Actions 81, Mean reward 2433.6490654552754, Final reward 5.5,  Reward 10294.56208024199, Record 11094.002634497492
Game 48, Game Loss 0.34785813093185425, Mean Loss 945379584.0, Actions 65, Mean reward 2538.022713701621, Final reward 1.0,  Reward 7443.584181279863, Record 11094.002634497492
Game 49, Game Loss 0.3857012987136841, Mean Loss 926086144.0, Actions 17, Mean reward 2507.9251772317566, Final reward 0.5,  Reward 1063.243426678283, Record 11094.002634497492
Game 50, Game Loss 0.40263602137565613, Mean Loss 907564416.0, Actions 5, Mean reward 2458.1666736871216, Final reward 0.0,  Reward 20.0, Record 11094.002634497492
Game 51, Game Loss 0.4260651469230652, Mean Loss 889769024.0, Actions 34, Mean reward 2463.30066047757, Final reward 0.0,  Reward 2720.0, Record 11094.002634497492
Game 52, Game Loss 0.41559892892837524, Mean Loss 872658048.0, Actions 11, Mean reward 2430.7690403232914, Final reward 0.5,  Reward 771.6564124550627, Record 11094.002634497492
Game 53, Game Loss 0.34288400411605835, Mean Loss 856192832.0, Actions 44, Mean reward 2460.4543487705687, Final reward 1.0,  Reward 4004.0903880290043, Record 11094.002634497492
Game 54, Game Loss 0.3259564936161041, Mean Loss 840337408.0, Actions 52, Mean reward 2509.452098808001, Final reward 2.5,  Reward 5106.332850791932, Record 11094.002634497492
Game 55, Game Loss 0.3196488618850708, Mean Loss 825058560.0, Actions 48, Mean reward 2546.907131478166, Final reward 1.5,  Reward 4569.478895667072, Record 11094.002634497492
Game 56, Game Loss 0.27046123147010803, Mean Loss 810325376.0, Actions 62, Mean reward 2621.9606966486494, Final reward 3.0,  Reward 6749.90678102523, Record 11094.002634497492
Game 57, Game Loss 0.28565436601638794, Mean Loss 796109120.0, Actions 17, Mean reward 2621.4815890643954, Final reward 1.0,  Reward 2594.6515643461635, Record 11094.002634497492
Game 58, Game Loss 0.2624235451221466, Mean Loss 782383104.0, Actions 64, Mean reward 2695.3769912783555, Final reward 1.0,  Reward 6907.4149174740805, Record 11094.002634497492
Game 59, Game Loss 0.29325950145721436, Mean Loss 769122368.0, Actions 66, Mean reward 2775.4558429269064, Final reward 1.5,  Reward 7420.029238542849, Record 11094.002634497492
Game 60, Game Loss 0.31513673067092896, Mean Loss 756303680.0, Actions 36, Mean reward 2806.3586379511094, Final reward 2.0,  Reward 4629.623544379079, Record 11094.002634497492
Game 61, Game Loss 0.3469577729701996, Mean Loss 743905216.0, Actions 11, Mean reward 2771.2068773370975, Final reward 1.0,  Reward 662.1012404963845, Record 11094.002634497492
Game 62, Game Loss 0.30004769563674927, Mean Loss 731906752.0, Actions 34, Mean reward 2805.062637341081, Final reward 3.5,  Reward 4870.2639975840975, Record 11094.002634497492
Game 63, Game Loss 0.32782813906669617, Mean Loss 720289216.0, Actions 12, Mean reward 2775.487085174362, Final reward 0.5,  Reward 941.8028508377913, Record 11094.002634497492
Game 64, Game Loss 0.30281075835227966, Mean Loss 709034688.0, Actions 9, Mean reward 2740.310763234025, Final reward 0.5,  Reward 524.2024809927883, Record 11094.002634497492
Game 65, Game Loss 0.2588423192501068, Mean Loss 698126464.0, Actions 24, Mean reward 2748.6274172046565, Final reward 1.5,  Reward 3280.893271325069, Record 11094.002634497492
