Game 67, Final reward 0, Action Counter 5, plot_mean_rewards-24.492537313432837,  Reward -9, Record -6
Game 68, Final reward 0, Action Counter 10, plot_mean_rewards-24.397058823529413,  Reward -18, Record -6
Game 69, Final reward 0, Action Counter 8, plot_mean_rewards-24.304347826086957,  Reward -18, Record -6
Game 70, Final reward 0, Action Counter 32, plot_mean_rewards-24.514285714285716,  Reward -39, Record -6
Game 71, Final reward 0, Action Counter 5, plot_mean_rewards-24.295774647887324,  Reward -9, Record -6
Game 72, Final reward 0, Action Counter 16, plot_mean_rewards-24.083333333333332,  Reward -9, Record -6
Game 73, Final reward 0, Action Counter 25, plot_mean_rewards-24.28767123287671,  Reward -39, Record -6
Game 74, Final reward 0, Action Counter 15, plot_mean_rewards-24.2027027027027,  Reward -18, Record -6
Game 75, Final reward 0, Action Counter 12, plot_mean_rewards-24.08,  Reward -15, Record -6
Game 76, Final reward 0, Action Counter 14, plot_mean_rewards-24.0,  Reward -18, Record -6
Game 77, Final reward 0, Action Counter 6, plot_mean_rewards-23.844155844155843,  Reward -12, Record -6
Game 78, Final reward 0, Action Counter 12, plot_mean_rewards-23.846153846153847,  Reward -24, Record -6
Game 79, Final reward 0, Action Counter 12, plot_mean_rewards-23.658227848101266,  Reward -9, Record -6
Game 80, Final reward 0, Action Counter 12, plot_mean_rewards-23.625,  Reward -21, Record -6
Game 81, Final reward 0, Action Counter 11, plot_mean_rewards-23.51851851851852,  Reward -15, Record -6
Game 82, Final reward 0, Action Counter 5, plot_mean_rewards-23.341463414634145,  Reward -9, Record -6
Game 83, Final reward 0, Action Counter 6, plot_mean_rewards-23.240963855421686,  Reward -15, Record -6
Game 84, Final reward 0, Action Counter 7, plot_mean_rewards-23.071428571428573,  Reward -9, Record -6
Game 85, Final reward 0, Action Counter 8, plot_mean_rewards-22.8,  Reward 0, Record 0
Game 86, Final reward 0, Action Counter 20, plot_mean_rewards-22.91860465116279,  Reward -33, Record 0
Game 87, Final reward 0, Action Counter 7, plot_mean_rewards-22.75862068965517,  Reward -9, Record 0
Game 88, Final reward 0, Action Counter 5, plot_mean_rewards-22.602272727272727,  Reward -9, Record 0
Game 89, Final reward 0, Action Counter 13, plot_mean_rewards-22.44943820224719,  Reward -9, Record 0
Game 90, Final reward 0, Action Counter 21, plot_mean_rewards-22.366666666666667,  Reward -15, Record 0
Game 91, Final reward 0, Action Counter 7, plot_mean_rewards-22.186813186813186,  Reward -6, Record 0
Game 92, Final reward 0, Action Counter 25, plot_mean_rewards-22.206521739130434,  Reward -24, Record 0
Game 93, Final reward 0, Action Counter 10, plot_mean_rewards-22.129032258064516,  Reward -15, Record 0
Game 94, Final reward 0, Action Counter 9, plot_mean_rewards-22.085106382978722,  Reward -18, Record 0
Game 95, Final reward 0, Action Counter 6, plot_mean_rewards-21.91578947368421,  Reward -6, Record 0
Game 96, Final reward 0, Action Counter 6, plot_mean_rewards-21.8125,  Reward -12, Record 0
Game 97, Final reward 0, Action Counter 6, plot_mean_rewards-21.742268041237114,  Reward -15, Record 0
Game 98, Final reward 0, Action Counter 6, plot_mean_rewards-21.6734693877551,  Reward -15, Record 0
Game 99, Final reward 0, Action Counter 10, plot_mean_rewards-21.666666666666668,  Reward -21, Record 0
Game 100, Final reward 0, Action Counter 6, plot_mean_rewards-21.48,  Reward -3, Record 0
Game 101, Final reward 0, Action Counter 11, plot_mean_rewards-21.386138613861387,  Reward -12, Record 0
Game 102, Final reward 0, Action Counter 50, plot_mean_rewards-21.676470588235293,  Reward -51, Record 0
Game 103, Final reward 0, Action Counter 20, plot_mean_rewards-21.640776699029125,  Reward -18, Record 0
Game 104, Final reward 0, Action Counter 34, plot_mean_rewards-21.807692307692307,  Reward -39, Record 0
Game 105, Final reward 0, Action Counter 18, plot_mean_rewards-21.742857142857144,  Reward -15, Record 0
Game 106, Final reward 0, Action Counter 8, plot_mean_rewards-21.62264150943396,  Reward -9, Record 0
Game 107, Final reward 0, Action Counter 47, plot_mean_rewards-21.981308411214954,  Reward -60, Record 0
Game 108, Final reward 0, Action Counter 32, plot_mean_rewards-22.055555555555557,  Reward -30, Record 0
