Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 42, Game Loss -5113702252544.0, Mean Loss -585883648000.0, Actions 5, Mean reward -75.95238095238095, Final reward 0.0,  Reward -200.0, Record 360.0
Game 43, Game Loss -6193752834048.0, Mean Loss -716299239424.0, Actions 5, Mean reward -78.83720930232558, Final reward 0.0,  Reward -200.0, Record 360.0
Game 44, Game Loss -5434154942464.0, Mean Loss -823523213312.0, Actions 6, Mean reward -78.86363636363636, Final reward 0.0,  Reward -80.0, Record 360.0
Game 45, Game Loss -6386254610432.0, Mean Loss -947139444736.0, Actions 10, Mean reward -83.77777777777777, Final reward 0.0,  Reward -300.0, Record 360.0
Game 46, Game Loss -8581544411136.0, Mean Loss -1113104842752.0, Actions 14, Mean reward -80.95652173913044, Final reward 0.0,  Reward 46.0, Record 360.0
Game 47, Game Loss -11254983819264.0, Mean Loss -1328889462784.0, Actions 5, Mean reward -83.06382978723404, Final reward 0.0,  Reward -180.0, Record 360.0
Game 48, Game Loss -11111763017728.0, Mean Loss -1532699344896.0, Actions 5, Mean reward -85.08333333333333, Final reward 0.0,  Reward -180.0, Record 360.0
Game 49, Game Loss -12826180583424.0, Mean Loss -1763178577920.0, Actions 6, Mean reward -89.06122448979592, Final reward 0.0,  Reward -280.0, Record 360.0
Game 50, Game Loss -16028394323968.0, Mean Loss -2048483000320.0, Actions 5, Mean reward -90.88, Final reward 0.0,  Reward -180.0, Record 360.0
Game 51, Game Loss -18632987901952.0, Mean Loss -2373669355520.0, Actions 5, Mean reward -93.01960784313725, Final reward 0.0,  Reward -200.0, Record 360.0
Game 52, Game Loss -17436351922176.0, Mean Loss -2663336378368.0, Actions 13, Mean reward -87.0, Final reward 0.0,  Reward 220.0, Record 360.0
Game 53, Game Loss -22550195208192.0, Mean Loss -3038559862784.0, Actions 5, Mean reward -88.75471698113208, Final reward 0.0,  Reward -180.0, Record 360.0
Game 54, Game Loss -24850183749632.0, Mean Loss -3442478678016.0, Actions 5, Mean reward -90.81481481481481, Final reward 0.0,  Reward -200.0, Record 360.0
Game 55, Game Loss -27694184005632.0, Mean Loss -3883418779648.0, Actions 15, Mean reward -82.10909090909091, Final reward 0.0,  Reward 388.0, Record 388.0
Game 56, Game Loss -38542474477568.0, Mean Loss -4502330540032.0, Actions 5, Mean reward -84.21428571428571, Final reward 0.0,  Reward -200.0, Record 388.0
Game 57, Game Loss -37407881691136.0, Mean Loss -5079621435392.0, Actions 7, Mean reward -86.24561403508773, Final reward 0.0,  Reward -200.0, Record 388.0
Game 58, Game Loss -45764927553536.0, Mean Loss -5781092040704.0, Actions 5, Mean reward -84.41379310344827, Final reward 0.0,  Reward 20.0, Record 388.0
Game 59, Game Loss -53119018860544.0, Mean Loss -6583429365760.0, Actions 6, Mean reward -88.0677966101695, Final reward 0.0,  Reward -300.0, Record 388.0
Game 60, Game Loss -47671679123456.0, Mean Loss -7268233904128.0, Actions 9, Mean reward -89.6, Final reward 0.0,  Reward -180.0, Record 388.0
Game 61, Game Loss -69324366675968.0, Mean Loss -8285547659264.0, Actions 5, Mean reward -91.40983606557377, Final reward 0.0,  Reward -200.0, Record 388.0
Game 62, Game Loss -58539376640000.0, Mean Loss -9096093761536.0, Actions 5, Mean reward -92.83870967741936, Final reward 0.0,  Reward -180.0, Record 388.0
Game 63, Game Loss -64120795693056.0, Mean Loss -9969500946432.0, Actions 5, Mean reward -91.04761904761905, Final reward 0.0,  Reward 20.0, Record 388.0
Game 64, Game Loss -69699266150400.0, Mean Loss -10902778675200.0, Actions 6, Mean reward -94.0, Final reward 0.0,  Reward -280.0, Record 388.0
Game 65, Game Loss -76710783483904.0, Mean Loss -11915210260480.0, Actions 10, Mean reward -96.86153846153846, Final reward 0.0,  Reward -280.0, Record 388.0
Game 66, Game Loss -84717760151552.0, Mean Loss -13018278658048.0, Actions 5, Mean reward -95.0909090909091, Final reward 0.0,  Reward 20.0, Record 388.0
Game 67, Game Loss -94198506192896.0, Mean Loss -14229923954688.0, Actions 8, Mean reward -100.83582089552239, Final reward 0.0,  Reward -480.0, Record 388.0
Game 68, Game Loss -105062625968128.0, Mean Loss -15565698629632.0, Actions 5, Mean reward -102.0, Final reward 0.0,  Reward -180.0, Record 388.0
Game 69, Game Loss -109536580993024.0, Mean Loss -16927596478464.0, Actions 5, Mean reward -103.42028985507247, Final reward 0.0,  Reward -200.0, Record 388.0
Game 70, Game Loss -115417070698496.0, Mean Loss -18334588338176.0, Actions 6, Mean reward -105.94285714285714, Final reward 0.0,  Reward -280.0, Record 388.0
Game 71, Game Loss -145792295763968.0, Mean Loss -20129767227392.0, Actions 5, Mean reward -107.26760563380282, Final reward 0.0,  Reward -200.0, Record 388.0
Game 72, Game Loss -143294906499072.0, Mean Loss -21840393142272.0, Actions 6, Mean reward -107.16666666666667, Final reward 0.0,  Reward -100.0, Record 388.0
Game 73, Game Loss -136170436558848.0, Mean Loss -23406558838784.0, Actions 7, Mean reward -102.41095890410959, Final reward 0.0,  Reward 240.0, Record 388.0
Game 74, Game Loss -185152214925312.0, Mean Loss -25592309219328.0, Actions 5, Mean reward -103.45945945945945, Final reward 0.0,  Reward -180.0, Record 388.0
Game 75, Game Loss -205965475446784.0, Mean Loss -27997285384192.0, Actions 5, Mean reward -104.74666666666667, Final reward 0.0,  Reward -200.0, Record 388.0
Game 76, Game Loss -171208167391232.0, Mean Loss -29881637273600.0, Actions 9, Mean reward -100.21052631578948, Final reward 0.0,  Reward 240.0, Record 388.0
Game 77, Game Loss -172773397757952.0, Mean Loss -31737375621120.0, Actions 5, Mean reward -98.3896103896104, Final reward 0.0,  Reward 40.0, Record 388.0
Game 78, Game Loss -201508809342976.0, Mean Loss -33913932087296.0, Actions 11, Mean reward -97.12820512820512, Final reward 0.0,  Reward 0.0, Record 388.0
Game 79, Game Loss -236006439649280.0, Mean Loss -36472065359872.0, Actions 5, Mean reward -95.39240506329114, Final reward 0.0,  Reward 40.0, Record 388.0
Game 80, Game Loss -214928317218816.0, Mean Loss -38702768193536.0, Actions 6, Mean reward -89.95, Final reward 0.0,  Reward 340.0, Record 388.0
Game 81, Game Loss -270705295884288.0, Mean Loss -41566999674880.0, Actions 5, Mean reward -91.06172839506173, Final reward 0.0,  Reward -180.0, Record 388.0
Game 82, Game Loss -260961894137856.0, Mean Loss -44242546196480.0, Actions 5, Mean reward -87.02439024390245, Final reward 0.0,  Reward 240.0, Record 388.0
Game 83, Game Loss -304231894482944.0, Mean Loss -47374948892672.0, Actions 5, Mean reward -88.3855421686747, Final reward 0.0,  Reward -200.0, Record 388.0
Game 84, Game Loss -280651920048128.0, Mean Loss -50152056291328.0, Actions 7, Mean reward -84.71428571428571, Final reward 0.0,  Reward 220.0, Record 388.0
Game 85, Game Loss -342571758911488.0, Mean Loss -53592287346688.0, Actions 6, Mean reward -84.89411764705882, Final reward 0.0,  Reward -100.0, Record 388.0
Game 86, Game Loss -344126839062528.0, Mean Loss -56970593697792.0, Actions 7, Mean reward -83.67441860465117, Final reward 0.0,  Reward 20.0, Record 388.0
Game 87, Game Loss -385141125939200.0, Mean Loss -60742665502720.0, Actions 7, Mean reward -85.01149425287356, Final reward 0.0,  Reward -200.0, Record 388.0
Game 88, Game Loss -399502489944064.0, Mean Loss -64592210296832.0, Actions 5, Mean reward -86.0909090909091, Final reward 0.0,  Reward -180.0, Record 388.0
Game 89, Game Loss -373349226119168.0, Mean Loss -68061386244096.0, Actions 7, Mean reward -87.14606741573034, Final reward 0.0,  Reward -180.0, Record 388.0
Game 90, Game Loss -458334717083648.0, Mean Loss -72397755514880.0, Actions 6, Mean reward -84.84444444444445, Final reward 0.0,  Reward 120.0, Record 388.0
Game 91, Game Loss -495641373442048.0, Mean Loss -77048785666048.0, Actions 6, Mean reward -85.01098901098901, Final reward 0.0,  Reward -100.0, Record 388.0
Game 92, Game Loss -507462935379968.0, Mean Loss -81727196233728.0, Actions 6, Mean reward -82.78260869565217, Final reward 0.0,  Reward 120.0, Record 388.0
Game 93, Game Loss -487767289102336.0, Mean Loss -86093223428096.0, Actions 5, Mean reward -84.04301075268818, Final reward 0.0,  Reward -200.0, Record 388.0
