Command main.py play --no-gui --agents q_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 39, Game Loss 0.33170562982559204, Mean Loss 0.8813900351524353, Actions 17, Mean reward 705.1072907249469, Final reward 0.0,  Reward 1000.0, Record 2148.0
Game 40, Game Loss 0.7392822504043579, Mean Loss 0.8778373003005981, Actions 18, Mean reward 708.6796084568232, Final reward 0.0,  Reward 848.0, Record 2148.0
Game 41, Game Loss 0.5794037580490112, Mean Loss 0.8705583810806274, Actions 27, Mean reward 729.1508375188519, Final reward 0.0,  Reward 1548.0, Record 2148.0
Game 42, Game Loss 0.5855515599250793, Mean Loss 0.8637725114822388, Actions 17, Mean reward 729.5996271017364, Final reward 0.0,  Reward 748.0, Record 2148.0
Game 43, Game Loss 0.38418591022491455, Mean Loss 0.8526193499565125, Actions 17, Mean reward 734.6787055412309, Final reward 0.0,  Reward 948.0, Record 2148.0
Game 44, Game Loss 0.5211700201034546, Mean Loss 0.8450864553451538, Actions 19, Mean reward 734.9814622334757, Final reward 0.0,  Reward 748.0, Record 2148.0
Game 45, Game Loss 0.6773631572723389, Mean Loss 0.8413592576980591, Actions 17, Mean reward 736.4263186282873, Final reward 0.0,  Reward 800.0, Record 2148.0
Game 46, Game Loss 0.5343418121337891, Mean Loss 0.8346849679946899, Actions 18, Mean reward 738.8518334407158, Final reward 0.0,  Reward 848.0, Record 2148.0
Game 47, Game Loss 1.7565661668777466, Mean Loss 0.8542994260787964, Actions 6, Mean reward 721.0039220909133, Final reward 0.0,  Reward -100.0, Record 2148.0
Game 48, Game Loss 0.435718834400177, Mean Loss 0.8455789685249329, Actions 18, Mean reward 725.1496737140193, Final reward 0.0,  Reward 920.0, Record 2148.0
Game 49, Game Loss 0.8761354684829712, Mean Loss 0.8462026119232178, Actions 9, Mean reward 718.9221293525087, Final reward 0.0,  Reward 420.0, Record 2148.0
Game 50, Game Loss 0.5378831624984741, Mean Loss 0.8400362133979797, Actions 30, Mean reward 741.5036867654585, Final reward 0.0,  Reward 1848.0, Record 2148.0
Game 51, Game Loss 0.21138156950473785, Mean Loss 0.8277096748352051, Actions 31, Mean reward 769.0820458484887, Final reward 0.0,  Reward 2148.0, Record 2148.0
Game 52, Game Loss 0.644830048084259, Mean Loss 0.8241927027702332, Actions 25, Mean reward 777.3689295821716, Final reward 0.0,  Reward 1200.0, Record 2148.0
Game 53, Game Loss 0.44085198640823364, Mean Loss 0.8169598579406738, Actions 17, Mean reward 784.361968646659, Final reward 0.0,  Reward 1148.0, Record 2148.0
Game 54, Game Loss 0.6776018738746643, Mean Loss 0.8143791556358337, Actions 13, Mean reward 780.9478581161653, Final reward 0.0,  Reward 600.0, Record 2148.0
Game 55, Game Loss 0.6783967614173889, Mean Loss 0.8119067549705505, Actions 29, Mean reward 796.7488061504168, Final reward 0.0,  Reward 1650.0, Record 2148.0
Game 56, Game Loss 0.3222162127494812, Mean Loss 0.8031622767448425, Actions 20, Mean reward 802.164006040588, Final reward 0.0,  Reward 1100.0, Record 2148.0
Game 57, Game Loss 1.1153086423873901, Mean Loss 0.8086385130882263, Actions 11, Mean reward 791.5997252328584, Final reward 0.0,  Reward 200.0, Record 2148.0
Game 58, Game Loss 1.8645265102386475, Mean Loss 0.8268434405326843, Actions 9, Mean reward 777.9514541081539, Final reward 0.0,  Reward 0.0, Record 2148.0
Game 59, Game Loss 0.5974966287612915, Mean Loss 0.8229562044143677, Actions 17, Mean reward 780.8336328520835, Final reward 0.0,  Reward 948.0, Record 2148.0
Game 60, Game Loss 0.4160570204257965, Mean Loss 0.8161745667457581, Actions 19, Mean reward 787.4864056378822, Final reward 0.0,  Reward 1180.0, Record 2148.0
Game 61, Game Loss 0.2462126761674881, Mean Loss 0.8068309426307678, Actions 73, Mean reward 863.1013825946382, Final reward 0.0,  Reward 5400.0, Record 5400.0
Game 62, Game Loss 2.0859615802764893, Mean Loss 0.8274620175361633, Actions 6, Mean reward 847.890069972144, Final reward 0.0,  Reward -80.0, Record 5400.0
Game 63, Game Loss 2.392648220062256, Mean Loss 0.8523062467575073, Actions 6, Mean reward 829.6695926709989, Final reward 0.0,  Reward -300.0, Record 5400.0
Game 64, Game Loss 2.5776050090789795, Mean Loss 0.8792640566825867, Actions 5, Mean reward 813.5810052855145, Final reward 0.0,  Reward -200.0, Record 5400.0
Game 65, Game Loss 0.5900812745094299, Mean Loss 0.874815046787262, Actions 18, Mean reward 811.7720667426604, Final reward 0.0,  Reward 696.0, Record 5400.0
Game 66, Game Loss 0.9557174444198608, Mean Loss 0.8760408759117126, Actions 9, Mean reward 802.5027930041352, Final reward 0.0,  Reward 200.0, Record 5400.0
Game 67, Game Loss 0.9138864874839783, Mean Loss 0.876605749130249, Actions 19, Mean reward 804.6743931085512, Final reward 0.0,  Reward 948.0, Record 5400.0
Game 68, Game Loss 0.4637359380722046, Mean Loss 0.8705341815948486, Actions 17, Mean reward 806.7821226216607, Final reward 0.0,  Reward 948.0, Record 5400.0
Game 69, Game Loss 2.0902130603790283, Mean Loss 0.888210654258728, Actions 6, Mean reward 796.8287585256946, Final reward 0.0,  Reward 120.0, Record 5400.0
Game 70, Game Loss 0.8835263848304749, Mean Loss 0.88814377784729, Actions 12, Mean reward 789.7312048324704, Final reward 0.0,  Reward 300.0, Record 5400.0
Game 71, Game Loss 0.4579813778400421, Mean Loss 0.8820851445198059, Actions 20, Mean reward 791.5659765953933, Final reward 0.0,  Reward 920.0, Record 5400.0
Game 72, Game Loss 1.3934000730514526, Mean Loss 0.8891867399215698, Actions 9, Mean reward 786.4053380315685, Final reward 0.0,  Reward 420.0, Record 5400.0
Game 73, Game Loss 0.9175289869308472, Mean Loss 0.8895749449729919, Actions 18, Mean reward 787.96142929141, Final reward 0.0,  Reward 900.0, Record 5400.0
Game 74, Game Loss 0.6742391586303711, Mean Loss 0.8866650462150574, Actions 19, Mean reward 790.1241126793639, Final reward 0.0,  Reward 948.0, Record 5400.0
Game 75, Game Loss 0.4288925230503082, Mean Loss 0.8805614113807678, Actions 17, Mean reward 794.8957911769724, Final reward 0.0,  Reward 1148.0, Record 5400.0
Game 76, Game Loss 1.0296400785446167, Mean Loss 0.8825230002403259, Actions 9, Mean reward 787.0682149772754, Final reward 0.0,  Reward 200.0, Record 5400.0
Game 77, Game Loss 0.7182665467262268, Mean Loss 0.8803898096084595, Actions 20, Mean reward 785.7816147827652, Final reward 0.0,  Reward 688.0, Record 5400.0
Game 78, Game Loss 0.4607241451740265, Mean Loss 0.8750094771385193, Actions 30, Mean reward 800.5792863881145, Final reward 0.0,  Reward 1940.0, Record 5400.0
Game 79, Game Loss 0.14994022250175476, Mean Loss 0.8658313751220703, Actions 18, Mean reward 806.2428397249738, Final reward 0.0,  Reward 1248.0, Record 5400.0
Game 80, Game Loss 0.4838363528251648, Mean Loss 0.8610564470291138, Actions 16, Mean reward 809.6648042284116, Final reward 0.0,  Reward 1080.0, Record 5400.0
Game 81, Game Loss 1.1334865093231201, Mean Loss 0.86441969871521, Actions 10, Mean reward 803.3726461515176, Final reward 0.0,  Reward 300.0, Record 5400.0
Game 82, Game Loss 0.8211299777030945, Mean Loss 0.8638917803764343, Actions 16, Mean reward 807.2339553447918, Final reward 0.0,  Reward 1120.0, Record 5400.0
Game 83, Game Loss 0.610323965549469, Mean Loss 0.8608367443084717, Actions 15, Mean reward 802.3275221478666, Final reward 0.0,  Reward 400.0, Record 5400.0
Game 84, Game Loss 1.851806640625, Mean Loss 0.8726339936256409, Actions 7, Mean reward 792.7760040270587, Final reward 0.0,  Reward 0.0, Record 5400.0
Game 85, Game Loss 1.7191658020019531, Mean Loss 0.8825931549072266, Actions 8, Mean reward 784.6256980973286, Final reward 0.0,  Reward 100.0, Record 5400.0
Game 86, Game Loss 1.0666954517364502, Mean Loss 0.8847338557243347, Actions 8, Mean reward 776.6649341659643, Final reward 0.0,  Reward 100.0, Record 5400.0
Game 87, Game Loss 1.9038907289505005, Mean Loss 0.8964483141899109, Actions 6, Mean reward 766.588325727275, Final reward 0.0,  Reward -100.0, Record 5400.0
Game 88, Game Loss 0.31153735518455505, Mean Loss 0.8898016214370728, Actions 29, Mean reward 778.331640207647, Final reward 0.0,  Reward 1800.0, Record 5400.0
Game 89, Game Loss 0.6868814826011658, Mean Loss 0.8875216245651245, Actions 17, Mean reward 783.5517112241341, Final reward 0.0,  Reward 1242.9179606750063, Record 5400.0
Game 90, Game Loss 1.3576322793960571, Mean Loss 0.8927451372146606, Actions 19, Mean reward 782.8011366549771, Final reward 0.0,  Reward 716.0, Record 5400.0
Game 91, Game Loss 1.2644422054290771, Mean Loss 0.8968297243118286, Actions 7, Mean reward 774.1989263620652, Final reward 0.0,  Reward 0.0, Record 5400.0
Game 92, Game Loss 1.6518478393554688, Mean Loss 0.905036449432373, Actions 6, Mean reward 764.9141554233472, Final reward 0.0,  Reward -80.0, Record 5400.0
Game 93, Game Loss 1.8363311290740967, Mean Loss 0.9150503873825073, Actions 6, Mean reward 757.9795946123435, Final reward 0.0,  Reward 120.0, Record 5400.0
Game 94, Game Loss 2.424961566925049, Mean Loss 0.9311133027076721, Actions 5, Mean reward 747.7883223292334, Final reward 0.0,  Reward -200.0, Record 5400.0
Game 95, Game Loss 0.45142892003059387, Mean Loss 0.9260640144348145, Actions 20, Mean reward 755.1589715678731, Final reward 0.0,  Reward 1448.0, Record 5400.0
Game 96, Game Loss 0.703106701374054, Mean Loss 0.9237415790557861, Actions 8, Mean reward 748.3343989473743, Final reward 0.0,  Reward 100.0, Record 5400.0
Game 97, Game Loss 1.2240687608718872, Mean Loss 0.9268377423286438, Actions 8, Mean reward 741.6505391644117, Final reward 0.0,  Reward 100.0, Record 5400.0
Game 98, Game Loss 2.2734909057617188, Mean Loss 0.9405790567398071, Actions 6, Mean reward 733.0622683566116, Final reward 0.0,  Reward -100.0, Record 5400.0
Game 99, Game Loss 1.596187949180603, Mean Loss 0.9472014307975769, Actions 5, Mean reward 723.6373969590701, Final reward 0.0,  Reward -200.0, Record 5400.0
Game 100, Game Loss 1.6926391124725342, Mean Loss 0.9546558260917664, Actions 7, Mean reward 712.6010229894794, Final reward 0.0,  Reward -380.0, Record 5400.0
Game 101, Game Loss 2.3930656909942627, Mean Loss 0.9688975214958191, Actions 5, Mean reward 703.5653692965143, Final reward 0.0,  Reward -200.0, Record 5400.0
Game 102, Game Loss 2.307814836502075, Mean Loss 0.9820241928100586, Actions 5, Mean reward 694.7068852838033, Final reward 0.0,  Reward -200.0, Record 5400.0
Game 103, Game Loss 2.2045233249664307, Mean Loss 0.9938930869102478, Actions 5, Mean reward 686.0204106693975, Final reward 0.0,  Reward -200.0, Record 5400.0
Game 104, Game Loss 1.364577293395996, Mean Loss 0.9974573850631714, Actions 5, Mean reward 677.8855990283456, Final reward 0.0,  Reward -160.0, Record 5400.0
Game 105, Game Loss 2.367810010910034, Mean Loss 1.010508418083191, Actions 6, Mean reward 670.4771647518851, Final reward 0.0,  Reward -100.0, Record 5400.0
Game 106, Game Loss 2.1086974143981934, Mean Loss 1.0208686590194702, Actions 5, Mean reward 662.2651160278108, Final reward 0.0,  Reward -200.0, Record 5400.0
Game 107, Game Loss 2.041128158569336, Mean Loss 1.030403733253479, Actions 5, Mean reward 654.2065635415695, Final reward 0.0,  Reward -200.0, Record 5400.0
Game 108, Game Loss 2.0033719539642334, Mean Loss 1.0394127368927002, Actions 5, Mean reward 646.2972435087772, Final reward 0.0,  Reward -200.0, Record 5400.0
Game 109, Game Loss 0.8144614696502686, Mean Loss 1.037348985671997, Actions 18, Mean reward 646.3128651279627, Final reward 0.0,  Reward 648.0, Record 5400.0
Game 110, Game Loss 0.7018466591835022, Mean Loss 1.0342988967895508, Actions 20, Mean reward 649.9645663540722, Final reward 0.0,  Reward 1048.0, Record 5400.0
Game 111, Game Loss 0.3184801936149597, Mean Loss 1.0278501510620117, Actions 17, Mean reward 652.6495702607922, Final reward 0.0,  Reward 948.0, Record 5400.0
Game 112, Game Loss 0.24724015593528748, Mean Loss 1.0208803415298462, Actions 18, Mean reward 655.8937705263208, Final reward 0.0,  Reward 1016.0, Record 5400.0
Game 113, Game Loss 1.7831159830093384, Mean Loss 1.0276257991790771, Actions 6, Mean reward 649.2044451234331, Final reward 0.0,  Reward -100.0, Record 5400.0
Game 114, Game Loss 0.37035971879959106, Mean Loss 1.0218603610992432, Actions 15, Mean reward 650.5272131486661, Final reward 0.0,  Reward 800.0, Record 5400.0
Game 115, Game Loss 0.1646515429019928, Mean Loss 1.0144063234329224, Actions 18, Mean reward 650.505237382156, Final reward 0.0,  Reward 648.0, Record 5400.0
Game 116, Game Loss 0.7059444785118103, Mean Loss 1.0117472410202026, Actions 24, Mean reward 661.4491577495512, Final reward 0.0,  Reward 1920.0, Record 5400.0
Game 117, Game Loss 0.43313834071159363, Mean Loss 1.0068018436431885, Actions 19, Mean reward 665.60771195682, Final reward 0.0,  Reward 1148.0, Record 5400.0
