Command main.py play --no-gui --agents ruly_train rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 47, Game Loss 0.45786288380622864, Mean Loss 0.9555013179779053, Actions 62, Mean reward 1851.063829787234, Reward 4100, Record 4600
Game 48, Game Loss 0.5451644659042358, Mean Loss 0.9469526410102844, Actions 68, Mean reward 1906.25, Reward 4500, Record 4600
Game 49, Game Loss 0.6668718457221985, Mean Loss 0.941236674785614, Actions 35, Mean reward 1908.1632653061224, Reward 2000, Record 4600
Game 50, Game Loss 0.8412584662437439, Mean Loss 0.939237117767334, Actions 18, Mean reward 1880.0, Reward 500, Record 4600
Game 51, Game Loss 0.541220486164093, Mean Loss 0.9314329028129578, Actions 61, Mean reward 1917.6470588235295, Reward 3800, Record 4600
Game 52, Game Loss 0.45038703083992004, Mean Loss 0.922182023525238, Actions 20, Mean reward 1898.076923076923, Reward 900, Record 4600
Game 53, Game Loss 0.47961947321891785, Mean Loss 0.9138317704200745, Actions 99, Mean reward 1971.698113207547, Reward 5800, Record 5800
Game 54, Game Loss 0.7476255893707275, Mean Loss 0.9107539057731628, Actions 30, Mean reward 1955.5555555555557, Reward 1100, Record 5800
Game 55, Game Loss 0.37720224261283875, Mean Loss 0.9010529518127441, Actions 28, Mean reward 1954.5454545454545, Reward 1900, Record 5800
Game 56, Game Loss 0.46629828214645386, Mean Loss 0.8932894468307495, Actions 80, Mean reward 2000.0, Reward 4500, Record 5800
Game 57, Game Loss 0.5504598617553711, Mean Loss 0.8872749209403992, Actions 27, Mean reward 1992.982456140351, Reward 1600, Record 5800
Game 58, Game Loss 0.5369473099708557, Mean Loss 0.8812347650527954, Actions 80, Mean reward 2046.551724137931, Reward 5100, Record 5800
Game 59, Game Loss 0.4070144295692444, Mean Loss 0.8731971383094788, Actions 25, Mean reward 2038.9830508474577, Reward 1600, Record 5800
Game 60, Game Loss 0.36306869983673096, Mean Loss 0.8646949529647827, Actions 42, Mean reward 2030.0, Reward 1500, Record 5800
Game 61, Game Loss 0.4986441433429718, Mean Loss 0.8586941957473755, Actions 38, Mean reward 2040.983606557377, Reward 2700, Record 5800
Game 62, Game Loss 0.6129159927368164, Mean Loss 0.8547300100326538, Actions 50, Mean reward 2054.8387096774195, Reward 2900, Record 5800
Game 63, Game Loss 0.41010740399360657, Mean Loss 0.8476724624633789, Actions 56, Mean reward 2087.3015873015875, Reward 4100, Record 5800
Game 64, Game Loss 0.3149168789386749, Mean Loss 0.8393481969833374, Actions 47, Mean reward 2107.8125, Reward 3400, Record 5800
Game 65, Game Loss 0.595866322517395, Mean Loss 0.835602343082428, Actions 58, Mean reward 2123.076923076923, Reward 3100, Record 5800
Game 66, Game Loss 0.31187301874160767, Mean Loss 0.8276670575141907, Actions 29, Mean reward 2118.181818181818, Reward 1800, Record 5800
Game 67, Game Loss 0.4633169174194336, Mean Loss 0.8222290277481079, Actions 60, Mean reward 2150.7462686567164, Reward 4300, Record 5800
Game 68, Game Loss 0.3532682955265045, Mean Loss 0.8153325319290161, Actions 40, Mean reward 2150.0, Reward 2100, Record 5800
Game 69, Game Loss 0.38367152214050293, Mean Loss 0.8090765476226807, Actions 29, Mean reward 2142.0289855072465, Reward 1600, Record 5800
Game 70, Game Loss 0.49766355752944946, Mean Loss 0.8046278357505798, Actions 21, Mean reward 2122.8571428571427, Reward 800, Record 5800
Game 71, Game Loss 0.44848892092704773, Mean Loss 0.7996118068695068, Actions 77, Mean reward 2166.1971830985917, Reward 5200, Record 5800
Game 72, Game Loss 0.48524123430252075, Mean Loss 0.7952455282211304, Actions 63, Mean reward 2188.8888888888887, Reward 3800, Record 5800
Game 73, Game Loss 0.3248955309391022, Mean Loss 0.7888023853302002, Actions 18, Mean reward 2173.972602739726, Reward 1100, Record 5800
Game 74, Game Loss 0.19426724314689636, Mean Loss 0.780768096446991, Actions 28, Mean reward 2167.5675675675675, Reward 1700, Record 5800
Game 75, Game Loss 0.5118123888969421, Mean Loss 0.7771820425987244, Actions 32, Mean reward 2158.6666666666665, Reward 1500, Record 5800
Game 76, Game Loss 0.6332674622535706, Mean Loss 0.7752884030342102, Actions 19, Mean reward 2143.4210526315787, Reward 1000, Record 5800
Game 77, Game Loss 0.45008474588394165, Mean Loss 0.7710649967193604, Actions 48, Mean reward 2158.4415584415583, Reward 3300, Record 5800
Game 78, Game Loss 0.3065350353717804, Mean Loss 0.7651094794273376, Actions 19, Mean reward 2146.153846153846, Reward 1200, Record 5800
Game 79, Game Loss 0.3678690493106842, Mean Loss 0.7600811123847961, Actions 71, Mean reward 2187.3417721518986, Reward 5400, Record 5800
Game 80, Game Loss 0.5363451838493347, Mean Loss 0.7572844624519348, Actions 24, Mean reward 2178.75, Reward 1500, Record 5800
Game 81, Game Loss 0.6105102896690369, Mean Loss 0.7554724216461182, Actions 7, Mean reward 2151.8518518518517, Reward 0, Record 5800
Game 82, Game Loss 0.39985334873199463, Mean Loss 0.7511355876922607, Actions 45, Mean reward 2162.1951219512193, Reward 3000, Record 5800
Game 83, Game Loss 0.41627073287963867, Mean Loss 0.7471011281013489, Actions 25, Mean reward 2160.240963855422, Reward 2000, Record 5800
Game 84, Game Loss 0.43406936526298523, Mean Loss 0.7433745265007019, Actions 45, Mean reward 2175.0, Reward 3400, Record 5800
Game 85, Game Loss 0.6738064289093018, Mean Loss 0.742556095123291, Actions 7, Mean reward 2151.764705882353, Reward 200, Record 5800
Game 86, Game Loss 0.4547651708126068, Mean Loss 0.7392097115516663, Actions 45, Mean reward 2156.9767441860463, Reward 2600, Record 5800
Game 87, Game Loss 0.4283030331134796, Mean Loss 0.7356360554695129, Actions 41, Mean reward 2152.8735632183907, Reward 1800, Record 5800
Game 88, Game Loss 0.5542759299278259, Mean Loss 0.7335751056671143, Actions 25, Mean reward 2142.0454545454545, Reward 1200, Record 5800
Game 89, Game Loss 0.5145561695098877, Mean Loss 0.7311142683029175, Actions 20, Mean reward 2130.3370786516853, Reward 1100, Record 5800
Game 90, Game Loss 0.4660246968269348, Mean Loss 0.7281688451766968, Actions 36, Mean reward 2132.222222222222, Reward 2300, Record 5800
Game 91, Game Loss 0.4467339813709259, Mean Loss 0.7250761389732361, Actions 58, Mean reward 2147.252747252747, Reward 3500, Record 5800
Game 92, Game Loss 0.4380687475204468, Mean Loss 0.7219564914703369, Actions 89, Mean reward 2180.4347826086955, Reward 5200, Record 5800
Game 93, Game Loss 0.4425230026245117, Mean Loss 0.7189518213272095, Actions 53, Mean reward 2184.94623655914, Reward 2600, Record 5800
Game 94, Game Loss 0.3401331603527069, Mean Loss 0.7149218320846558, Actions 38, Mean reward 2186.1702127659573, Reward 2300, Record 5800
Game 95, Game Loss 0.34879380464553833, Mean Loss 0.7110678553581238, Actions 15, Mean reward 2171.5789473684213, Reward 800, Record 5800
Game 96, Game Loss 0.5034040808677673, Mean Loss 0.7089046835899353, Actions 16, Mean reward 2160.4166666666665, Reward 1100, Record 5800
Game 97, Game Loss 0.5233127474784851, Mean Loss 0.7069913744926453, Actions 23, Mean reward 2152.577319587629, Reward 1400, Record 5800
Game 98, Game Loss 0.5416392683982849, Mean Loss 0.7053041458129883, Actions 31, Mean reward 2148.9795918367345, Reward 1800, Record 5800
Game 99, Game Loss 0.38247835636138916, Mean Loss 0.7020432353019714, Actions 39, Mean reward 2149.4949494949497, Reward 2200, Record 5800
Game 100, Game Loss 0.4478273391723633, Mean Loss 0.699501097202301, Actions 81, Mean reward 2176.0, Reward 4800, Record 5800
Game 101, Game Loss 0.5046162605285645, Mean Loss 0.6975715756416321, Actions 54, Mean reward 2183.168316831683, Reward 2900, Record 5800
Game 102, Game Loss 0.4323381185531616, Mean Loss 0.6949712038040161, Actions 59, Mean reward 2200.9803921568628, Reward 4000, Record 5800
Game 103, Game Loss 0.5263895988464355, Mean Loss 0.6933344602584839, Actions 66, Mean reward 2217.4757281553398, Reward 3900, Record 5800
Game 104, Game Loss 0.3514445126056671, Mean Loss 0.6900471448898315, Actions 35, Mean reward 2213.4615384615386, Reward 1800, Record 5800
Game 105, Game Loss 0.4375179708003998, Mean Loss 0.6876420378684998, Actions 17, Mean reward 2200.0, Reward 800, Record 5800
Game 106, Game Loss 0.4260552227497101, Mean Loss 0.685174286365509, Actions 34, Mean reward 2202.830188679245, Reward 2500, Record 5800
Game 107, Game Loss 0.4099690616130829, Mean Loss 0.6826022267341614, Actions 64, Mean reward 2220.5607476635514, Reward 4100, Record 5800
Game 108, Game Loss 0.3978610932826996, Mean Loss 0.6799656748771667, Actions 99, Mean reward 2259.259259259259, Reward 6400, Record 6400
Game 109, Game Loss 0.304207444190979, Mean Loss 0.6765183806419373, Actions 26, Mean reward 2248.623853211009, Reward 1100, Record 6400
Game 110, Game Loss 0.10003560036420822, Mean Loss 0.671277642250061, Actions 8, Mean reward 2232.7272727272725, Reward 500, Record 6400
Game 111, Game Loss 0.5305856466293335, Mean Loss 0.6700101494789124, Actions 74, Mean reward 2253.153153153153, Reward 4500, Record 6400
