Command main.py play --no-gui --agents train_rule_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 49, Game Loss 1.1616615056991577, Mean Loss 34013604.0, Actions 5, Mean reward 1795.9183673469388, Reward -200, Record 6500
Game 50, Game Loss 0.36087027192115784, Mean Loss 33333332.0, Actions 17, Mean reward 1788.0, Reward 1400, Record 6500
Game 51, Game Loss 0.9922153353691101, Mean Loss 32679738.0, Actions 7, Mean reward 1752.9411764705883, Reward 0, Record 6500
Game 52, Game Loss 0.23638108372688293, Mean Loss 32051282.0, Actions 37, Mean reward 1773.076923076923, Reward 2800, Record 6500
Game 53, Game Loss 22.684383392333984, Mean Loss 31446540.0, Actions 184, Mean reward 1832.0754716981132, Reward 4900, Record 6500
Game 54, Game Loss 3.379923105239868, Mean Loss 30864196.0, Actions 91, Mean reward 1868.5185185185185, Reward 3800, Record 6500
Game 55, Game Loss 5.39076042175293, Mean Loss 30303030.0, Actions 137, Mean reward 1965.4545454545455, Reward 7200, Record 7200
Game 56, Game Loss 3.1949639320373535, Mean Loss 29761904.0, Actions 45, Mean reward 1980.357142857143, Reward 2800, Record 7200
Game 57, Game Loss 2.7209033966064453, Mean Loss 29239766.0, Actions 13, Mean reward 1952.6315789473683, Reward 400, Record 7200
Game 58, Game Loss 3.2175114154815674, Mean Loss 28735632.0, Actions 27, Mean reward 1939.655172413793, Reward 1200, Record 7200
Game 59, Game Loss 21.028095245361328, Mean Loss 28248586.0, Actions 16, Mean reward 1928.8135593220338, Reward 1300, Record 7200
Game 60, Game Loss 13.300408363342285, Mean Loss 27777778.0, Actions 17, Mean reward 1910.0, Reward 800, Record 7200
Game 61, Game Loss 12.558906555175781, Mean Loss 27322404.0, Actions 20, Mean reward 1893.4426229508197, Reward 900, Record 7200
Game 62, Game Loss 4.432222366333008, Mean Loss 26881720.0, Actions 49, Mean reward 1917.741935483871, Reward 3400, Record 7200
Game 63, Game Loss 2.92718768119812, Mean Loss 26455026.0, Actions 29, Mean reward 1922.2222222222222, Reward 2200, Record 7200
Game 64, Game Loss 8.391766548156738, Mean Loss 26041666.0, Actions 29, Mean reward 1917.1875, Reward 1600, Record 7200
Game 65, Game Loss 3.273419141769409, Mean Loss 25641024.0, Actions 32, Mean reward 1923.076923076923, Reward 2300, Record 7200
Game 66, Game Loss 4.0840325355529785, Mean Loss 25252524.0, Actions 29, Mean reward 1915.1515151515152, Reward 1400, Record 7200
Game 67, Game Loss 3.020791530609131, Mean Loss 24875622.0, Actions 32, Mean reward 1920.8955223880596, Reward 2300, Record 7200
Game 68, Game Loss 1.852047324180603, Mean Loss 24509804.0, Actions 26, Mean reward 1923.5294117647059, Reward 2100, Record 7200
Game 69, Game Loss 7.118807315826416, Mean Loss 24154588.0, Actions 34, Mean reward 1917.391304347826, Reward 1500, Record 7200
Game 70, Game Loss 3.973461627960205, Mean Loss 23809524.0, Actions 20, Mean reward 1911.4285714285713, Reward 1500, Record 7200
Game 71, Game Loss 4.259361267089844, Mean Loss 23474178.0, Actions 39, Mean reward 1909.8591549295775, Reward 1800, Record 7200
Game 72, Game Loss 3.9222378730773926, Mean Loss 23148148.0, Actions 24, Mean reward 1906.9444444444443, Reward 1700, Record 7200
Game 73, Game Loss 3.7530877590179443, Mean Loss 22831050.0, Actions 88, Mean reward 1947.945205479452, Reward 4900, Record 7200
Game 74, Game Loss 3.496685028076172, Mean Loss 22522522.0, Actions 42, Mean reward 1955.4054054054054, Reward 2500, Record 7200
Game 75, Game Loss 3.953801393508911, Mean Loss 22222222.0, Actions 24, Mean reward 1944.0, Reward 1100, Record 7200
Game 76, Game Loss 3.4211339950561523, Mean Loss 21929824.0, Actions 65, Mean reward 1973.6842105263158, Reward 4200, Record 7200
Game 77, Game Loss 5.192319393157959, Mean Loss 21645022.0, Actions 34, Mean reward 1972.7272727272727, Reward 1900, Record 7200
Game 78, Game Loss 1.4788050651550293, Mean Loss 21367520.0, Actions 10, Mean reward 1956.4102564102564, Reward 700, Record 7200
Game 79, Game Loss 2.786473035812378, Mean Loss 21097046.0, Actions 18, Mean reward 1937.9746835443038, Reward 500, Record 7200
Game 80, Game Loss 2.419735908508301, Mean Loss 20833332.0, Actions 23, Mean reward 1928.75, Reward 1200, Record 7200
Game 81, Game Loss 3.773204803466797, Mean Loss 20576132.0, Actions 37, Mean reward 1934.567901234568, Reward 2400, Record 7200
Game 82, Game Loss 3.3697428703308105, Mean Loss 20325202.0, Actions 17, Mean reward 1923.1707317073171, Reward 1000, Record 7200
Game 83, Game Loss 3.912216901779175, Mean Loss 20080320.0, Actions 29, Mean reward 1921.686746987952, Reward 1800, Record 7200
Game 84, Game Loss 3.917081117630005, Mean Loss 19841270.0, Actions 28, Mean reward 1916.6666666666667, Reward 1500, Record 7200
Game 85, Game Loss 1.8531404733657837, Mean Loss 19607842.0, Actions 5, Mean reward 1896.4705882352941, Reward 200, Record 7200
Game 86, Game Loss 4.007664203643799, Mean Loss 19379844.0, Actions 28, Mean reward 1884.8837209302326, Reward 900, Record 7200
