Command main.py play --no-gui --agents ppo_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 48, Game Loss 0.2667524814605713, Mean Loss 0.31650373339653015, Actions 6, Mean reward -822.9166666666666, Reward -100, Record 100
Game 49, Game Loss 0.2332959920167923, Mean Loss 0.31480562686920166, Actions 10, Mean reward -808.1632653061224, Reward -100, Record 100
Game 50, Game Loss 0.43429699540138245, Mean Loss 0.31719544529914856, Actions 28, Mean reward -818.0, Reward -1300, Record 100
Game 51, Game Loss 0.29189440608024597, Mean Loss 0.316699355840683, Actions 20, Mean reward -807.843137254902, Reward -300, Record 100
Game 52, Game Loss 0.3630301058292389, Mean Loss 0.31759029626846313, Actions 6, Mean reward -801.9230769230769, Reward -500, Record 100
Game 53, Game Loss 0.3649446666240692, Mean Loss 0.31848376989364624, Actions 8, Mean reward -796.2264150943396, Reward -500, Record 100
Game 54, Game Loss 0.26107117533683777, Mean Loss 0.3174205720424652, Actions 55, Mean reward -822.2222222222222, Reward -2200, Record 100
Game 55, Game Loss 0.1354808509349823, Mean Loss 0.3141125738620758, Actions 6, Mean reward -812.7272727272727, Reward -300, Record 100
Game 56, Game Loss 0.38819459080696106, Mean Loss 0.3154354691505432, Actions 26, Mean reward -800.0, Reward -100, Record 100
Game 57, Game Loss 0.4004495441913605, Mean Loss 0.3169269561767578, Actions 15, Mean reward -785.9649122807018, Reward 0, Record 100
Game 58, Game Loss 0.2704413831233978, Mean Loss 0.3161254823207855, Actions 7, Mean reward -768.9655172413793, Reward 200, Record 200
Game 59, Game Loss 0.29637178778648376, Mean Loss 0.31579065322875977, Actions 52, Mean reward -788.1355932203389, Reward -1900, Record 200
Game 60, Game Loss 0.3327849805355072, Mean Loss 0.3160738945007324, Actions 15, Mean reward -775.0, Reward 0, Record 200
Game 61, Game Loss 0.3589988350868225, Mean Loss 0.3167775869369507, Actions 21, Mean reward -768.8524590163935, Reward -400, Record 200
Game 62, Game Loss 0.303710013628006, Mean Loss 0.3165668249130249, Actions 20, Mean reward -774.1935483870968, Reward -1100, Record 200
Game 63, Game Loss 0.18591228127479553, Mean Loss 0.31449297070503235, Actions 17, Mean reward -768.2539682539683, Reward -400, Record 200
Game 64, Game Loss 0.283053457736969, Mean Loss 0.31400173902511597, Actions 17, Mean reward -750.0, Reward 400, Record 400
Game 65, Game Loss 0.32259631156921387, Mean Loss 0.3141339421272278, Actions 20, Mean reward -752.3076923076923, Reward -900, Record 400
Game 66, Game Loss 0.21384181082248688, Mean Loss 0.312614381313324, Actions 9, Mean reward -746.969696969697, Reward -400, Record 400
Game 67, Game Loss 0.28757181763648987, Mean Loss 0.3122406005859375, Actions 13, Mean reward -741.7910447761194, Reward -400, Record 400
Game 68, Game Loss 0.25822511315345764, Mean Loss 0.31144624948501587, Actions 32, Mean reward -747.0588235294117, Reward -1100, Record 400
Game 69, Game Loss 0.25584328174591064, Mean Loss 0.310640424489975, Actions 16, Mean reward -740.5797101449275, Reward -300, Record 400
Game 70, Game Loss 0.09785735607147217, Mean Loss 0.30760064721107483, Actions 5, Mean reward -732.8571428571429, Reward -200, Record 400
Game 71, Game Loss 0.2767159342765808, Mean Loss 0.30716565251350403, Actions 44, Mean reward -715.4929577464789, Reward 500, Record 500
Game 72, Game Loss 0.3114308714866638, Mean Loss 0.3072248697280884, Actions 14, Mean reward -712.5, Reward -500, Record 500
Game 73, Game Loss 0.21714456379413605, Mean Loss 0.30599090456962585, Actions 7, Mean reward -702.7397260273973, Reward 0, Record 500
Game 74, Game Loss 0.2394043505191803, Mean Loss 0.30509108304977417, Actions 5, Mean reward -693.2432432432432, Reward 0, Record 500
Game 75, Game Loss 0.3357396125793457, Mean Loss 0.30549973249435425, Actions 21, Mean reward -689.3333333333334, Reward -400, Record 500
Game 76, Game Loss 0.2739061117172241, Mean Loss 0.3050840198993683, Actions 33, Mean reward -680.2631578947369, Reward 0, Record 500
Game 77, Game Loss 0.33770546317100525, Mean Loss 0.30550768971443176, Actions 29, Mean reward -674.025974025974, Reward -200, Record 500
Game 78, Game Loss 0.2272363305091858, Mean Loss 0.3045041859149933, Actions 38, Mean reward -661.5384615384615, Reward 300, Record 500
Game 79, Game Loss 0.4248545467853546, Mean Loss 0.3060276210308075, Actions 31, Mean reward -655.6962025316456, Reward -200, Record 500
Game 80, Game Loss 0.26306459307670593, Mean Loss 0.3054905831813812, Actions 12, Mean reward -656.25, Reward -700, Record 500
Game 81, Game Loss 0.2166774570941925, Mean Loss 0.3043941259384155, Actions 43, Mean reward -653.0864197530864, Reward -400, Record 500
Game 82, Game Loss 0.2397196739912033, Mean Loss 0.30360540747642517, Actions 12, Mean reward -646.3414634146342, Reward -100, Record 500
Game 83, Game Loss 0.2990104854106903, Mean Loss 0.3035500645637512, Actions 10, Mean reward -639.7590361445783, Reward -100, Record 500
Game 84, Game Loss 0.4026613235473633, Mean Loss 0.30472996830940247, Actions 33, Mean reward -627.3809523809524, Reward 400, Record 500
Game 85, Game Loss 0.2512272000312805, Mean Loss 0.30410051345825195, Actions 17, Mean reward -627.0588235294117, Reward -600, Record 500
Game 86, Game Loss 0.24685589969158173, Mean Loss 0.3034348785877228, Actions 30, Mean reward -623.2558139534884, Reward -300, Record 500
Game 87, Game Loss 0.16658946871757507, Mean Loss 0.3018619418144226, Actions 36, Mean reward -637.9310344827586, Reward -1900, Record 500
Game 88, Game Loss 0.21446487307548523, Mean Loss 0.30086877942085266, Actions 38, Mean reward -638.6363636363636, Reward -700, Record 500
Game 89, Game Loss 0.08740241080522537, Mean Loss 0.29847028851509094, Actions 5, Mean reward -635.9550561797753, Reward -400, Record 500
Game 90, Game Loss 0.09867677837610245, Mean Loss 0.2962503731250763, Actions 8, Mean reward -632.2222222222222, Reward -300, Record 500
Game 91, Game Loss 0.1787225604057312, Mean Loss 0.29495885968208313, Actions 37, Mean reward -640.6593406593406, Reward -1400, Record 500
Game 92, Game Loss 0.18007394671440125, Mean Loss 0.2937101125717163, Actions 11, Mean reward -635.8695652173913, Reward -200, Record 500
Game 93, Game Loss 0.15931454300880432, Mean Loss 0.29226499795913696, Actions 18, Mean reward -623.6559139784946, Reward 500, Record 500
Game 94, Game Loss 0.23269961774349213, Mean Loss 0.2916313409805298, Actions 9, Mean reward -621.2765957446809, Reward -400, Record 500
Game 95, Game Loss 0.35495299100875854, Mean Loss 0.292297899723053, Actions 5, Mean reward -618.9473684210526, Reward -400, Record 500
Game 96, Game Loss 0.14552608132362366, Mean Loss 0.2907690107822418, Actions 8, Mean reward -617.7083333333334, Reward -500, Record 500
Game 97, Game Loss 0.16850534081459045, Mean Loss 0.28950855135917664, Actions 21, Mean reward -623.7113402061856, Reward -1200, Record 500
Game 98, Game Loss 0.15680620074272156, Mean Loss 0.2881544530391693, Actions 41, Mean reward -627.5510204081633, Reward -1000, Record 500
Game 99, Game Loss 0.08949260413646698, Mean Loss 0.2861477732658386, Actions 20, Mean reward -622.2222222222222, Reward -100, Record 500
Game 100, Game Loss 0.13631731271743774, Mean Loss 0.28464949131011963, Actions 28, Mean reward -621.0, Reward -500, Record 500
Game 101, Game Loss 0.331281453371048, Mean Loss 0.2851111888885498, Actions 13, Mean reward -624.7524752475248, Reward -1000, Record 500
Game 102, Game Loss 0.14312078058719635, Mean Loss 0.28371915221214294, Actions 25, Mean reward -628.4313725490196, Reward -1000, Record 500
Game 103, Game Loss 0.1415930688381195, Mean Loss 0.28233927488327026, Actions 23, Mean reward -626.2135922330098, Reward -400, Record 500
Game 104, Game Loss 0.15110327303409576, Mean Loss 0.28107741475105286, Actions 30, Mean reward -625.0, Reward -500, Record 500
Game 105, Game Loss 0.3533655107021332, Mean Loss 0.2817658483982086, Actions 5, Mean reward -622.8571428571429, Reward -400, Record 500
Game 106, Game Loss 0.24147696793079376, Mean Loss 0.28138574957847595, Actions 7, Mean reward -620.7547169811321, Reward -400, Record 500
Game 107, Game Loss 0.1851276457309723, Mean Loss 0.280486136674881, Actions 35, Mean reward -616.8224299065421, Reward -200, Record 500
Game 108, Game Loss 0.2821865975856781, Mean Loss 0.2805019021034241, Actions 20, Mean reward -617.5925925925926, Reward -700, Record 500
Game 109, Game Loss 0.19460681080818176, Mean Loss 0.27971386909484863, Actions 33, Mean reward -615.5963302752293, Reward -400, Record 500
Game 110, Game Loss 0.25345247983932495, Mean Loss 0.2794751226902008, Actions 25, Mean reward -602.7272727272727, Reward 800, Record 800
Game 111, Game Loss 0.1750684678554535, Mean Loss 0.27853453159332275, Actions 38, Mean reward -605.4054054054054, Reward -900, Record 800
Game 112, Game Loss 0.2543486952781677, Mean Loss 0.2783185839653015, Actions 68, Mean reward -611.6071428571429, Reward -1300, Record 800
Game 113, Game Loss 0.32610833644866943, Mean Loss 0.2787415087223053, Actions 21, Mean reward -609.7345132743363, Reward -400, Record 800
Game 114, Game Loss 0.25490882992744446, Mean Loss 0.2785324454307556, Actions 37, Mean reward -607.8947368421053, Reward -400, Record 800
Game 115, Game Loss 0.2871674597263336, Mean Loss 0.2786075472831726, Actions 60, Mean reward -613.9130434782609, Reward -1300, Record 800
Game 116, Game Loss 0.24912278354167938, Mean Loss 0.27835336327552795, Actions 41, Mean reward -615.5172413793103, Reward -800, Record 800
Game 117, Game Loss 0.25696733593940735, Mean Loss 0.27817055583000183, Actions 8, Mean reward -612.8205128205128, Reward -300, Record 800
Game 118, Game Loss 0.22767357528209686, Mean Loss 0.2777426242828369, Actions 17, Mean reward -607.6271186440678, Reward 0, Record 800
Game 119, Game Loss 0.09697210043668747, Mean Loss 0.2762235403060913, Actions 19, Mean reward -604.2016806722689, Reward -200, Record 800
Game 120, Game Loss 0.15875788033008575, Mean Loss 0.27524465322494507, Actions 13, Mean reward -602.5, Reward -400, Record 800
Game 121, Game Loss 0.0870727151632309, Mean Loss 0.27368950843811035, Actions 5, Mean reward -600.8264462809917, Reward -400, Record 800
Game 122, Game Loss 0.1673874408006668, Mean Loss 0.2728182077407837, Actions 50, Mean reward -600.0, Reward -500, Record 800
Game 123, Game Loss 0.0919819325208664, Mean Loss 0.2713479995727539, Actions 32, Mean reward -592.6829268292682, Reward 300, Record 800
Game 124, Game Loss 0.19815745949745178, Mean Loss 0.2707577645778656, Actions 29, Mean reward -594.3548387096774, Reward -800, Record 800
Game 125, Game Loss 0.15974678099155426, Mean Loss 0.26986968517303467, Actions 16, Mean reward -590.4, Reward -100, Record 800
Game 126, Game Loss 0.2546338737010956, Mean Loss 0.2697487771511078, Actions 29, Mean reward -593.6507936507936, Reward -1000, Record 800
Game 127, Game Loss 0.2252740114927292, Mean Loss 0.26939857006073, Actions 19, Mean reward -588.9763779527559, Reward 0, Record 800
Game 128, Game Loss 0.3955443501472473, Mean Loss 0.2703841030597687, Actions 6, Mean reward -588.28125, Reward -500, Record 800
Game 129, Game Loss 0.2233552485704422, Mean Loss 0.27001953125, Actions 39, Mean reward -593.0232558139535, Reward -1200, Record 800
Game 130, Game Loss 0.2185821682214737, Mean Loss 0.26962384581565857, Actions 71, Mean reward -599.2307692307693, Reward -1400, Record 800
Game 131, Game Loss 0.14385071396827698, Mean Loss 0.26866376399993896, Actions 9, Mean reward -597.7099236641221, Reward -400, Record 800
Game 132, Game Loss 0.21881899237632751, Mean Loss 0.26828616857528687, Actions 11, Mean reward -594.6969696969697, Reward -200, Record 800
Game 133, Game Loss 0.1145731508731842, Mean Loss 0.26713043451309204, Actions 51, Mean reward -590.2255639097745, Reward 0, Record 800
Game 134, Game Loss 0.11825046688318253, Mean Loss 0.26601940393447876, Actions 24, Mean reward -589.5522388059702, Reward -500, Record 800
Game 135, Game Loss 0.16895771026611328, Mean Loss 0.2653004229068756, Actions 33, Mean reward -588.1481481481482, Reward -400, Record 800
