Command main.py play --no-gui --agents simple_net_ppo rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 38, Game Loss -5.226505212986707e+19, Mean Loss -1.2563519037247586e+19, Actions 22, Mean reward 408.63157894736844, Final reward 0.0,  Reward -110.0, Record 1848.0
Game 39, Game Loss -5.704744392557645e+19, Mean Loss -1.3704132608693109e+19, Actions 14, Mean reward 404.5128205128205, Final reward 0.0,  Reward 248.0, Record 1848.0
Game 40, Game Loss -7.050169272564816e+19, Mean Loss -1.5124070512105357e+19, Actions 10, Mean reward 401.9, Final reward 0.0,  Reward 300.0, Record 1848.0
Game 41, Game Loss -7.118707109979908e+19, Mean Loss -1.6491460555802935e+19, Actions 29, Mean reward 388.2439024390244, Final reward 0.0,  Reward -158.0, Record 1848.0
Game 42, Game Loss -9.242544880815283e+19, Mean Loss -1.8299413913634079e+19, Actions 17, Mean reward 368.23809523809524, Final reward 0.0,  Reward -452.0, Record 1848.0
Game 43, Game Loss -9.930466205458917e+19, Mean Loss -2.018325556401432e+19, Actions 27, Mean reward 364.3255813953488, Final reward 0.0,  Reward 200.0, Record 1848.0
Game 44, Game Loss -1.0291778920485644e+20, Mean Loss -2.2063587573278704e+19, Actions 10, Mean reward 362.8636363636364, Final reward 0.0,  Reward 300.0, Record 1848.0
Game 45, Game Loss -1.2377953580218529e+20, Mean Loss -2.432394158742805e+19, Actions 21, Mean reward 362.53333333333336, Final reward 0.0,  Reward 348.0, Record 1848.0
Game 46, Game Loss -1.3684415286574527e+20, Mean Loss -2.6770031702811083e+19, Actions 14, Mean reward 374.2173913043478, Final reward 0.0,  Reward 900.0, Record 1848.0
Game 47, Game Loss -1.3744701948930136e+20, Mean Loss -2.912486235308871e+19, Actions 13, Mean reward 377.9148936170213, Final reward 0.0,  Reward 548.0, Record 1848.0
Game 48, Game Loss -1.4965048145380114e+20, Mean Loss -3.1635814858417504e+19, Actions 20, Mean reward 362.7083333333333, Final reward 0.0,  Reward -352.0, Record 1848.0
Game 49, Game Loss -1.6245972154864737e+20, Mean Loss -3.4305690774425043e+19, Actions 22, Mean reward 378.0, Final reward 0.0,  Reward 1112.0, Record 1848.0
Game 50, Game Loss -1.509737656880621e+20, Mean Loss -3.6639052360658715e+19, Actions 7, Mean reward 366.44, Final reward 0.0,  Reward -200.0, Record 1848.0
Game 51, Game Loss -1.9028475444951882e+20, Mean Loss -3.965170982271844e+19, Actions 12, Mean reward 368.03921568627453, Final reward 0.0,  Reward 448.0, Record 1848.0
Game 52, Game Loss -1.8832319052119435e+20, Mean Loss -4.25107787045174e+19, Actions 8, Mean reward 366.7307692307692, Final reward 0.0,  Reward 300.0, Record 1848.0
Game 53, Game Loss -2.0729977605418962e+20, Mean Loss -4.562000407382144e+19, Actions 30, Mean reward 383.35849056603774, Final reward 0.0,  Reward 1248.0, Record 1848.0
Game 54, Game Loss -2.4459559749644452e+20, Mean Loss -4.930473581933599e+19, Actions 18, Mean reward 388.25925925925924, Final reward 0.0,  Reward 648.0, Record 1848.0
Game 55, Game Loss -1.882373758376697e+20, Mean Loss -5.183078022126764e+19, Actions 5, Mean reward 381.2, Final reward 0.0,  Reward 0.0, Record 1848.0
Game 56, Game Loss -2.479271529129779e+20, Mean Loss -5.533250045536213e+19, Actions 15, Mean reward 384.17857142857144, Final reward 0.0,  Reward 548.0, Record 1848.0
Game 57, Game Loss -2.7937471598755735e+20, Mean Loss -5.926306540866136e+19, Actions 22, Mean reward 389.719298245614, Final reward 0.0,  Reward 700.0, Record 1848.0
Game 58, Game Loss -2.847602470857065e+20, Mean Loss -6.3150947320570315e+19, Actions 16, Mean reward 395.0689655172414, Final reward 0.0,  Reward 700.0, Record 1848.0
Game 59, Game Loss -3.030324063051113e+20, Mean Loss -6.721673461189994e+19, Actions 21, Mean reward 404.9830508474576, Final reward 0.0,  Reward 980.0, Record 1848.0
Game 60, Game Loss -3.556481366735412e+20, Mean Loss -7.2023926991885435e+19, Actions 28, Mean reward 423.3535183758488, Final reward 0.0,  Reward 1507.211102550928, Record 1848.0
Game 61, Game Loss -3.904063908320054e+20, Mean Loss -7.724331308698462e+19, Actions 26, Mean reward 431.16739512378575, Final reward 0.0,  Reward 900.0, Record 1848.0
