Command main.py play --no-gui --agents simple_net_ppo rule_based_agent --train 1 --scenario empty --n-rounds 20001
Command main.py play --no-gui --agents simple_net_ppo rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 40, Game Loss -2.122029610219602e+17, Mean Loss -3.284471012917248e+16, Actions 6, Mean reward -195.0, Final reward 0.0,  Reward -100.0, Record 0.0
Game 41, Game Loss -2.39059185365418e+17, Mean Loss -3.787433587612058e+16, Actions 5, Mean reward -195.1219512195122, Final reward 0.0,  Reward -200.0, Record 0.0
Game 42, Game Loss -3.0293933347045376e+17, Mean Loss -4.418540806550323e+16, Actions 6, Mean reward -192.85714285714286, Final reward 0.0,  Reward -100.0, Record 0.0
Game 43, Game Loss -3.776310481308877e+17, Mean Loss -5.193995863352934e+16, Actions 5, Mean reward -193.02325581395348, Final reward 0.0,  Reward -200.0, Record 0.0
Game 44, Game Loss -4.362525069981778e+17, Mean Loss -6.067433297569382e+16, Actions 5, Mean reward -193.1818181818182, Final reward 0.0,  Reward -200.0, Record 0.0
Game 45, Game Loss -4.849371638891807e+17, Mean Loss -7.010239178080256e+16, Actions 5, Mean reward -193.33333333333334, Final reward 0.0,  Reward -200.0, Record 0.0
Game 46, Game Loss -5.629824920935465e+17, Mean Loss -8.081717983811994e+16, Actions 5, Mean reward -193.47826086956522, Final reward 0.0,  Reward -200.0, Record 0.0
Game 47, Game Loss -5.785878949863096e+17, Mean Loss -9.140803661411123e+16, Actions 5, Mean reward -193.61702127659575, Final reward 0.0,  Reward -200.0, Record 0.0
Game 48, Game Loss -6.555326120512717e+17, Mean Loss -1.0316063909399757e+17, Actions 6, Mean reward -191.66666666666666, Final reward 0.0,  Reward -100.0, Record 0.0
Game 49, Game Loss -7.03081473430782e+17, Mean Loss -1.1540392440758272e+17, Actions 5, Mean reward -191.83673469387756, Final reward 0.0,  Reward -200.0, Record 0.0
Game 50, Game Loss -7.210838460318351e+17, Mean Loss -1.2751751888869786e+17, Actions 6, Mean reward -190.0, Final reward 0.0,  Reward -100.0, Record 0.0
Game 51, Game Loss -1.029812623618605e+18, Mean Loss -1.4520958010261504e+17, Actions 5, Mean reward -190.19607843137254, Final reward 0.0,  Reward -200.0, Record 0.0
Game 52, Game Loss -9.46379894596567e+17, Mean Loss -1.6061669294525645e+17, Actions 7, Mean reward -190.3846153846154, Final reward 0.0,  Reward -200.0, Record 0.0
Game 53, Game Loss -1.0948576012140544e+18, Mean Loss -1.7824389156306944e+17, Actions 5, Mean reward -190.56603773584905, Final reward 0.0,  Reward -200.0, Record 0.0
Game 54, Game Loss -1.1509082300969124e+18, Mean Loss -1.9625619412851098e+17, Actions 6, Mean reward -188.88888888888889, Final reward 0.0,  Reward -100.0, Record 0.0
Game 55, Game Loss -1.4742882750017044e+18, Mean Loss -2.194931354309755e+17, Actions 5, Mean reward -189.0909090909091, Final reward 0.0,  Reward -200.0, Record 0.0
Game 56, Game Loss -1.7797265578839245e+18, Mean Loss -2.4735443366130483e+17, Actions 5, Mean reward -189.28571428571428, Final reward 0.0,  Reward -200.0, Record 0.0
Game 57, Game Loss -1.9801227225286574e+18, Mean Loss -2.7775388576487834e+17, Actions 5, Mean reward -189.47368421052633, Final reward 0.0,  Reward -200.0, Record 0.0
