Command main.py play --no-gui --agents brand_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 31, Game Loss 4.25762414932251, Mean Loss 2.9961419105529785, Actions 16, Mean reward 1114.1373534539007, Final reward 2.0,  Reward 1916.0, Record nan
Game 32, Game Loss 2.442553997039795, Mean Loss 2.978842258453369, Actions 62, Mean reward 1275.174727825133, Final reward 1.0,  Reward 6267.333333333334, Record nan
Game 33, Game Loss 2.835872173309326, Mean Loss 2.9745097160339355, Actions 5, Mean reward 1249.2603421334622, Final reward 0.0,  Reward 420.0, Record nan
Game 34, Game Loss 5.177711486816406, Mean Loss 3.0393097400665283, Actions 9, Mean reward 1236.0468026589488, Final reward 0.0,  Reward 800.0, Record nan
Game 35, Game Loss 1.2391657829284668, Mean Loss 2.987877130508423, Actions 13, Mean reward 1239.3982249939577, Final reward 0.5,  Reward 1353.3465843842648, Record nan
Game 36, Game Loss 0.9235597848892212, Mean Loss 2.930535078048706, Actions 26, Mean reward 1277.9280988610847, Final reward 0.5,  Reward 2626.4736842105267, Record nan
Game 37, Game Loss 0.975295901298523, Mean Loss 2.8776907920837402, Actions 35, Mean reward 1337.5423082473753, Final reward 0.5,  Reward 3483.6538461538457, Record nan
Game 38, Game Loss 1.0380637645721436, Mean Loss 2.8292794227600098, Actions 62, Mean reward 1468.189691113046, Final reward 1.5,  Reward 6302.142857142857, Record nan
Game 39, Game Loss 1.623174786567688, Mean Loss 2.798353672027588, Actions 15, Mean reward 1466.8386733921986, Final reward 0.5,  Reward 1415.5, Record nan
Game 40, Game Loss 1.897046685218811, Mean Loss 2.7758212089538574, Actions 8, Mean reward 1448.7677065573937, Final reward 0.5,  Reward 744.0, Record nan
Game 41, Game Loss 1.190869688987732, Mean Loss 2.737163782119751, Actions 17, Mean reward 1454.856028077674, Final reward 1.0,  Reward 1698.388888888889, Record nan
Game 42, Game Loss 2.9363954067230225, Mean Loss 2.7419073581695557, Actions 16, Mean reward 1465.5393501604808, Final reward 2.5,  Reward 1903.5555555555557, Record nan
Game 43, Game Loss 0.8151556253433228, Mean Loss 2.697099208831787, Actions 24, Mean reward 1487.951315700041, Final reward 1.0,  Reward 2429.2538683615753, Record nan
Game 44, Game Loss 3.310811996459961, Mean Loss 2.7110471725463867, Actions 13, Mean reward 1491.160755494737, Final reward 2.5,  Reward 1629.166666666667, Record nan
Game 45, Game Loss 1.3681838512420654, Mean Loss 2.681205987930298, Actions 15, Mean reward 1486.8905164837429, Final reward 0.0,  Reward 1299.0, Record nan
Game 46, Game Loss 2.6067848205566406, Mean Loss 2.6795880794525146, Actions 28, Mean reward 1516.0708353685568, Final reward 1.0,  Reward 2829.185185185186, Record nan
Game 47, Game Loss 2.2890067100524902, Mean Loss 2.6712777614593506, Actions 6, Mean reward 1494.8778388713536, Final reward 0.0,  Reward 520.0, Record nan
Game 48, Game Loss 1.3612390756607056, Mean Loss 2.6439852714538574, Actions 44, Mean reward 1558.3734394504227, Final reward 1.5,  Reward 4542.666666666667, Record nan
Game 49, Game Loss 1.474505066871643, Mean Loss 2.6201183795928955, Actions 28, Mean reward 1586.2751651260876, Final reward 2.0,  Reward 2925.5579975579976, Record nan
Game 50, Game Loss 3.0752782821655273, Mean Loss 2.6292214393615723, Actions 5, Mean reward 1562.999661823566, Final reward 0.5,  Reward 422.5, Record nan
Game 51, Game Loss 0.4331434667110443, Mean Loss 2.586160898208618, Actions 37, Mean reward 1605.4702566897704, Final reward 0.0,  Reward 3729.0, Record nan
Game 52, Game Loss 2.6307199001312256, Mean Loss 2.5870180130004883, Actions 8, Mean reward 1589.468264373746, Final reward 0.0,  Reward 773.3666562565054, Record nan
Game 53, Game Loss 2.052328109741211, Mean Loss 2.5769293308258057, Actions 7, Mean reward 1571.1764103289584, Final reward 0.0,  Reward 620.0, Record nan
Game 54, Game Loss 1.5336254835128784, Mean Loss 2.5576090812683105, Actions 6, Mean reward 1551.3398101376815, Final reward 0.0,  Reward 500.0, Record nan
Game 55, Game Loss 1.3759790658950806, Mean Loss 2.5361247062683105, Actions 6, Mean reward 1532.2245408624508, Final reward 0.0,  Reward 500.0, Record nan
Game 56, Game Loss 1.7134523391723633, Mean Loss 2.5214343070983887, Actions 20, Mean reward 1544.523549818728, Final reward 2.0,  Reward 2220.9690424139662, Record nan
Command main.py play --no-gui --agents brand_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents brand_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 7.304608345031738, Mean Loss 7.304608345031738, Actions 11, Mean reward 1020.0, Final reward 0.0,  Reward 1020.0, Record 1020.0
Game 2, Game Loss 8.338577270507812, Mean Loss 7.821592807769775, Actions 9, Mean reward 910.0, Final reward 0.0,  Reward 800.0, Record 1020.0
Game 3, Game Loss 46.336334228515625, Mean Loss 20.659839630126953, Actions 5, Mean reward 781.6666666666666, Final reward 1.0,  Reward 525.0, Record 1020.0
Game 4, Game Loss 5.69343376159668, Mean Loss 16.918237686157227, Actions 6, Mean reward 711.25, Final reward 0.0,  Reward 500.0, Record 1020.0
Game 5, Game Loss 5.277392864227295, Mean Loss 14.590067863464355, Actions 7, Mean reward 689.0, Final reward 0.0,  Reward 600.0, Record 1020.0
Game 6, Game Loss 3.7209973335266113, Mean Loss 12.778556823730469, Actions 5, Mean reward 647.5, Final reward 0.0,  Reward 440.0, Record 1020.0
Game 7, Game Loss 1.4750653505325317, Mean Loss 11.163772583007812, Actions 42, Mean reward 1160.880271707858, Final reward 1.5,  Reward 4241.161901955005, Record 4241.161901955005
Game 8, Game Loss 10.794327735900879, Mean Loss 11.117591857910156, Actions 26, Mean reward 1358.5670610011553, Final reward 2.0,  Reward 2742.3745860542363, Record 4241.161901955005
Command main.py play --no-gui --agents brand_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 5.7744035720825195, Mean Loss 5.7744035720825195, Actions 75, Mean reward 7796.452380952381, Final reward 2.5,  Reward 7796.452380952381, Record 7796.452380952381
Game 2, Game Loss 30.334632873535156, Mean Loss 18.05451774597168, Actions 19, Mean reward 4889.309523809524, Final reward 0.5,  Reward 1982.1666666666665, Record 7796.452380952381
Game 3, Game Loss 28.018278121948242, Mean Loss 21.375770568847656, Actions 6, Mean reward 3426.2063492063494, Final reward 0.0,  Reward 500.0, Record 7796.452380952381
Game 4, Game Loss 138.8208770751953, Mean Loss 50.73704528808594, Actions 24, Mean reward 3170.3609923781432, Final reward 0.5,  Reward 2402.824921893526, Record 7796.452380952381
Game 5, Game Loss 1.9812877178192139, Mean Loss 40.98589324951172, Actions 44, Mean reward 3417.1823003960208, Final reward 1.0,  Reward 4404.46753246753, Record 7796.452380952381
Game 6, Game Loss 1.7356393337249756, Mean Loss 34.44418716430664, Actions 25, Mean reward 3243.608057347561, Final reward 1.0,  Reward 2375.7368421052624, Record 7796.452380952381
Game 7, Game Loss 2.684140920639038, Mean Loss 29.90703773498535, Actions 41, Mean reward 3390.3384918285915, Final reward 1.5,  Reward 4270.721098714772, Record 7796.452380952381
Game 8, Game Loss 2.5048017501831055, Mean Loss 26.48175811767578, Actions 10, Mean reward 3094.6711803500175, Final reward 0.5,  Reward 1025.0, Record 7796.452380952381
Game 9, Game Loss 2.28898549079895, Mean Loss 23.793672561645508, Actions 30, Mean reward 3078.469620628587, Final reward 1.0,  Reward 2948.857142857143, Record 7796.452380952381
Game 10, Game Loss 2.5557644367218018, Mean Loss 21.66988182067871, Actions 13, Mean reward 2911.9059918990615, Final reward 1.5,  Reward 1412.8333333333335, Record 7796.452380952381
Game 11, Game Loss 3.298527956008911, Mean Loss 19.999757766723633, Actions 5, Mean reward 2687.414538090056, Final reward 0.5,  Reward 442.5, Record 7796.452380952381
Game 12, Game Loss 1.5223103761672974, Mean Loss 18.459970474243164, Actions 5, Mean reward 2496.796659915885, Final reward 0.0,  Reward 400.0, Record 7796.452380952381
