Command main.py play --no-gui --agents simple_net_q rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_q rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_q rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 36, Game Loss 0.9758768081665039, Mean Loss 167740224.0, Actions 11, Mean reward 989.4833742436074, Final reward 0.0,  Reward 320.0, Record 3640.166666666667
Game 37, Game Loss 0.9569920301437378, Mean Loss 163206704.0, Actions 14, Mean reward 1016.9465005510517, Final reward 3.0,  Reward 2005.6190476190477, Record 3640.166666666667
Game 38, Game Loss 0.9408525228500366, Mean Loss 158911792.0, Actions 8, Mean reward 1000.3733470277783, Final reward 0.5,  Reward 387.16666666666674, Record 3640.166666666667
Game 39, Game Loss 1.26583993434906, Mean Loss 154837120.0, Actions 18, Mean reward 999.338133001425, Final reward 0.0,  Reward 960.0, Record 3640.166666666667
Game 40, Game Loss 2.0795016288757324, Mean Loss 150966192.0, Actions 9, Mean reward 975.7671796763894, Final reward 0.5,  Reward 56.5, Record 3640.166666666667
Game 41, Game Loss 1.2408329248428345, Mean Loss 147284096.0, Actions 6, Mean reward 946.6021265135506, Final reward 0.0,  Reward -220.0, Record 3640.166666666667
Game 42, Game Loss 1.0925291776657104, Mean Loss 143777328.0, Actions 19, Mean reward 910.0758854060851, Final reward 0.5,  Reward -587.5, Record 3640.166666666667
Game 43, Game Loss 0.9654914140701294, Mean Loss 140433664.0, Actions 10, Mean reward 894.4927252803623, Final reward 0.0,  Reward 240.0, Record 3640.166666666667
Game 44, Game Loss 1.0681304931640625, Mean Loss 137242000.0, Actions 24, Mean reward 920.0307694027782, Final reward 1.5,  Reward 2018.1666666666665, Record 3640.166666666667
Game 45, Game Loss 0.9392074346542358, Mean Loss 134192176.0, Actions 37, Mean reward 968.6340072068996, Final reward 1.0,  Reward 3107.1764705882356, Record 3640.166666666667
Game 46, Game Loss 1.362492322921753, Mean Loss 131274952.0, Actions 54, Mean reward 1025.7015344358856, Final reward 1.5,  Reward 3593.74025974026, Record 3640.166666666667
Game 47, Game Loss 1.1212857961654663, Mean Loss 128481872.0, Actions 13, Mean reward 1017.9206507244838, Final reward 0.0,  Reward 660.0, Record 3640.166666666667
Game 48, Game Loss 1.0784337520599365, Mean Loss 125805160.0, Actions 32, Mean reward 1040.713970501057, Final reward 0.0,  Reward 2112.0, Record 3640.166666666667
Game 49, Game Loss 0.9256856441497803, Mean Loss 123237712.0, Actions 6, Mean reward 1015.3932772255254, Final reward 0.0,  Reward -200.0, Record 3640.166666666667
Game 50, Game Loss 0.9359807372093201, Mean Loss 120772960.0, Actions 31, Mean reward 1061.222334757938, Final reward 1.0,  Reward 3306.8461538461543, Record 3640.166666666667
Game 51, Game Loss 0.8466795682907104, Mean Loss 118404856.0, Actions 33, Mean reward 1092.4587368066036, Final reward 0.5,  Reward 2654.2788392398866, Record 3640.166666666667
Game 52, Game Loss 0.9381465315818787, Mean Loss 116127840.0, Actions 6, Mean reward 1075.3088893039126, Final reward 0.5,  Reward 200.66666666666663, Record 3640.166666666667
Game 53, Game Loss 1.0084880590438843, Mean Loss 113936752.0, Actions 16, Mean reward 1090.154813225402, Final reward 1.5,  Reward 1862.1428571428573, Record 3640.166666666667
Game 54, Game Loss 1.1290985345840454, Mean Loss 111826808.0, Actions 14, Mean reward 1098.1920697706105, Final reward 1.5,  Reward 1524.1666666666667, Record 3640.166666666667
Game 55, Game Loss 1.0211782455444336, Mean Loss 109793600.0, Actions 17, Mean reward 1109.8845371889226, Final reward 2.5,  Reward 1741.2777777777778, Record 3640.166666666667
Game 56, Game Loss 1.1688833236694336, Mean Loss 107833000.0, Actions 73, Mean reward 1200.7339492552494, Final reward 1.0,  Reward 6197.451612903225, Record 6197.451612903225
