Command main.py play --no-gui --agents train_rule_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Command main.py play --no-gui --agents train_rule_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 49, Game Loss 4.822711944580078, Mean Loss 7.741739273071289, Actions 9, Mean reward -369.38775510204084, Reward 800, Record 800
Game 50, Game Loss 7.188582420349121, Mean Loss 7.73067569732666, Actions 7, Mean reward -358.0, Reward 200, Record 800
Game 51, Game Loss 4.247012138366699, Mean Loss 7.662368297576904, Actions 5, Mean reward -350.98039215686276, Reward 0, Record 800
Game 52, Game Loss 7.441832542419434, Mean Loss 7.658127307891846, Actions 15, Mean reward -336.53846153846155, Reward 400, Record 800
Game 53, Game Loss 3.6610074043273926, Mean Loss 7.582710266113281, Actions 10, Mean reward -320.75471698113205, Reward 500, Record 800
Game 54, Game Loss 1.346015453338623, Mean Loss 7.467215538024902, Actions 9, Mean reward -307.4074074074074, Reward 400, Record 800
Game 55, Game Loss 2.7418789863586426, Mean Loss 7.381300449371338, Actions 17, Mean reward -290.90909090909093, Reward 600, Record 800
Game 56, Game Loss 0.1288706362247467, Mean Loss 7.251792907714844, Actions 7, Mean reward -278.57142857142856, Reward 400, Record 800
Game 57, Game Loss 5.870936870574951, Mean Loss 7.227567672729492, Actions 7, Mean reward -273.6842105263158, Reward 0, Record 800
Game 58, Game Loss 2.502018451690674, Mean Loss 7.146092414855957, Actions 8, Mean reward -263.7931034482759, Reward 300, Record 800
Game 59, Game Loss 3.172750234603882, Mean Loss 7.078747749328613, Actions 14, Mean reward -261.0169491525424, Reward -100, Record 800
Game 60, Game Loss 3.2473368644714355, Mean Loss 7.014891147613525, Actions 12, Mean reward -255.0, Reward 100, Record 800
Game 61, Game Loss 6.6730828285217285, Mean Loss 7.0092878341674805, Actions 7, Mean reward -244.2622950819672, Reward 400, Record 800
Game 62, Game Loss 6.177565097808838, Mean Loss 6.995872974395752, Actions 5, Mean reward -243.5483870967742, Reward -200, Record 800
Game 63, Game Loss 2.671114444732666, Mean Loss 6.927225589752197, Actions 21, Mean reward -226.984126984127, Reward 800, Record 800
Game 64, Game Loss 9.22819709777832, Mean Loss 6.963178634643555, Actions 7, Mean reward -223.4375, Reward 0, Record 800
Game 65, Game Loss 3.4650042057037354, Mean Loss 6.909360408782959, Actions 29, Mean reward -189.23076923076923, Reward 2000, Record 2000
Game 66, Game Loss 2.9089202880859375, Mean Loss 6.848747253417969, Actions 40, Mean reward -157.57575757575756, Reward 1900, Record 2000
Game 67, Game Loss 2.445996046066284, Mean Loss 6.783034801483154, Actions 36, Mean reward -147.76119402985074, Reward 500, Record 2000
Game 68, Game Loss 2.7234926223754883, Mean Loss 6.723335266113281, Actions 25, Mean reward -136.76470588235293, Reward 600, Record 2000
Game 69, Game Loss 1.3685343265533447, Mean Loss 6.6457295417785645, Actions 5, Mean reward -134.7826086956522, Reward 0, Record 2000
Game 70, Game Loss 0.776056706905365, Mean Loss 6.5618767738342285, Actions 38, Mean reward -111.42857142857143, Reward 1500, Record 2000
Game 71, Game Loss 1.6406090259552002, Mean Loss 6.492563247680664, Actions 7, Mean reward -104.22535211267606, Reward 400, Record 2000
Game 72, Game Loss 0.16018043458461761, Mean Loss 6.404613494873047, Actions 25, Mean reward -83.33333333333333, Reward 1400, Record 2000
Game 73, Game Loss 0.30796322226524353, Mean Loss 6.321097373962402, Actions 7, Mean reward -79.45205479452055, Reward 200, Record 2000
Game 74, Game Loss 0.7909561991691589, Mean Loss 6.246366024017334, Actions 38, Mean reward -50.0, Reward 2100, Record 2100
Game 75, Game Loss 0.09463321417570114, Mean Loss 6.164342880249023, Actions 9, Mean reward -41.333333333333336, Reward 600, Record 2100
Game 76, Game Loss 1.278892159461975, Mean Loss 6.100060939788818, Actions 7, Mean reward -35.526315789473685, Reward 400, Record 2100
Game 77, Game Loss 0.6493560075759888, Mean Loss 6.029272079467773, Actions 16, Mean reward -20.77922077922078, Reward 1100, Record 2100
Game 78, Game Loss 1.9881608486175537, Mean Loss 5.977463245391846, Actions 14, Mean reward -16.666666666666668, Reward 300, Record 2100
Game 79, Game Loss 1.0674998760223389, Mean Loss 5.915311813354492, Actions 30, Mean reward 2.5316455696202533, Reward 1500, Record 2100
Game 80, Game Loss 1.5395257472991943, Mean Loss 5.86061429977417, Actions 7, Mean reward 5.0, Reward 200, Record 2100
Game 81, Game Loss 0.884814977645874, Mean Loss 5.799184799194336, Actions 35, Mean reward 29.62962962962963, Reward 2000, Record 2100
Game 82, Game Loss 0.4682157635688782, Mean Loss 5.734172821044922, Actions 52, Mean reward 52.4390243902439, Reward 1900, Record 2100
Game 83, Game Loss 2.734480857849121, Mean Loss 5.698031902313232, Actions 14, Mean reward 57.83132530120482, Reward 500, Record 2100
Game 84, Game Loss 0.2723595201969147, Mean Loss 5.6334404945373535, Actions 9, Mean reward 59.523809523809526, Reward 200, Record 2100
Game 85, Game Loss 1.3213011026382446, Mean Loss 5.582709312438965, Actions 9, Mean reward 65.88235294117646, Reward 600, Record 2100
Game 86, Game Loss 2.962697744369507, Mean Loss 5.552244186401367, Actions 6, Mean reward 66.27906976744185, Reward 100, Record 2100
Game 87, Game Loss 0.20203909277915955, Mean Loss 5.490747451782227, Actions 16, Mean reward 78.16091954022988, Reward 1100, Record 2100
Game 88, Game Loss 0.33345916867256165, Mean Loss 5.43214225769043, Actions 51, Mean reward 102.27272727272727, Reward 2200, Record 2200
Game 89, Game Loss 0.07500644028186798, Mean Loss 5.371949672698975, Actions 10, Mean reward 104.49438202247191, Reward 300, Record 2200
Game 90, Game Loss 0.031373780220746994, Mean Loss 5.312609672546387, Actions 10, Mean reward 108.88888888888889, Reward 500, Record 2200
Game 91, Game Loss 2.2990944385528564, Mean Loss 5.279494285583496, Actions 11, Mean reward 107.6923076923077, Reward 0, Record 2200
Game 92, Game Loss 0.9554657340049744, Mean Loss 5.232494354248047, Actions 64, Mean reward 118.47826086956522, Reward 1100, Record 2200
Game 93, Game Loss 0.8928482532501221, Mean Loss 5.185831546783447, Actions 7, Mean reward 119.35483870967742, Reward 200, Record 2200
Game 94, Game Loss 1.7325525283813477, Mean Loss 5.149094104766846, Actions 44, Mean reward 131.91489361702128, Reward 1300, Record 2200
Game 95, Game Loss 0.04239238053560257, Mean Loss 5.095339298248291, Actions 9, Mean reward 138.94736842105263, Reward 800, Record 2200
Game 96, Game Loss 0.2701753079891205, Mean Loss 5.045077323913574, Actions 9, Mean reward 141.66666666666666, Reward 400, Record 2200
Game 97, Game Loss 2.5631263256073, Mean Loss 5.0194902420043945, Actions 7, Mean reward 144.3298969072165, Reward 400, Record 2200
Game 98, Game Loss 1.2253700494766235, Mean Loss 4.980774879455566, Actions 16, Mean reward 150.0, Reward 700, Record 2200
Game 99, Game Loss 0.4746154546737671, Mean Loss 4.935257911682129, Actions 11, Mean reward 152.5252525252525, Reward 400, Record 2200
Game 100, Game Loss 0.6089433431625366, Mean Loss 4.891994953155518, Actions 46, Mean reward 154.0, Reward 300, Record 2200
