Command main.py play --no-gui --agents q_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 37, Game Loss 1.6062482595443726, Mean Loss 2.3083672523498535, Actions 5, Mean reward 768.3796938130962, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 38, Game Loss 1.5188664197921753, Mean Loss 2.287590980529785, Actions 5, Mean reward 744.2381229232778, Final reward 0.5,  Reward -149.0, Record 4833.060440136944
Game 39, Game Loss 1.4928020238876343, Mean Loss 2.2672119140625, Actions 5, Mean reward 720.0268890021681, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 40, Game Loss 1.1600983142852783, Mean Loss 2.2395339012145996, Actions 5, Mean reward 697.526216777114, Final reward 0.0,  Reward -180.0, Record 4833.060440136944
Game 41, Game Loss 3.6083192825317383, Mean Loss 2.272919178009033, Actions 6, Mean reward 680.976796855721, Final reward 1.0,  Reward 19.0, Record 4833.060440136944
Game 42, Game Loss 0.5815457701683044, Mean Loss 2.2326481342315674, Actions 5, Mean reward 660.0011588353466, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 43, Game Loss 0.9510937333106995, Mean Loss 2.2028446197509766, Actions 6, Mean reward 637.6755504903385, Final reward 0.0,  Reward -300.0, Record 4833.060440136944
Game 44, Game Loss 3.2113795280456543, Mean Loss 2.2257659435272217, Actions 5, Mean reward 623.6374697973763, Final reward 0.0,  Reward 20.0, Record 4833.060440136944
Game 45, Game Loss 1.2047011852264404, Mean Loss 2.203075647354126, Actions 10, Mean reward 598.6677482463235, Final reward 0.0,  Reward -500.0, Record 4833.060440136944
Game 46, Game Loss 0.6954757571220398, Mean Loss 2.170301675796509, Actions 5, Mean reward 581.3054058931426, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 47, Game Loss 0.5822257995605469, Mean Loss 2.1365129947662354, Actions 40, Mean reward 642.3168280228481, Final reward 1.5,  Reward 3448.842245989305, Record 4833.060440136944
Game 48, Game Loss 1.13672935962677, Mean Loss 2.1156840324401855, Actions 29, Mean reward 665.9963698784708, Final reward 3.0,  Reward 1778.9348370927319, Record 4833.060440136944
Game 49, Game Loss 0.08990079909563065, Mean Loss 2.0743415355682373, Actions 26, Mean reward 688.1393011054407, Final reward 0.5,  Reward 1751.0, Record 4833.060440136944
Game 50, Game Loss 2.536257028579712, Mean Loss 2.0835797786712646, Actions 9, Mean reward 684.0465150833319, Final reward 0.5,  Reward 483.5, Record 4833.060440136944
Game 51, Game Loss 0.657378613948822, Mean Loss 2.055614948272705, Actions 12, Mean reward 682.5750147875802, Final reward 1.0,  Reward 609.0, Record 4833.060440136944
Game 52, Game Loss 0.5018696188926697, Mean Loss 2.025735378265381, Actions 11, Mean reward 688.1280593749987, Final reward 1.0,  Reward 971.3333333333334, Record 4833.060440136944
Game 53, Game Loss 1.0268338918685913, Mean Loss 2.0068881511688232, Actions 12, Mean reward 690.7881169549253, Final reward 2.0,  Reward 829.1111111111113, Record 4833.060440136944
Game 54, Game Loss 2.8674209117889404, Mean Loss 2.0228238105773926, Actions 7, Mean reward 675.1840160236612, Final reward 0.5,  Reward -151.83333333333334, Record 4833.060440136944
Game 55, Game Loss 0.5810327529907227, Mean Loss 1.9966094493865967, Actions 16, Mean reward 671.9988520959582, Final reward 0.0,  Reward 500.0, Record 4833.060440136944
Game 56, Game Loss 0.207326740026474, Mean Loss 1.9646580219268799, Actions 29, Mean reward 700.7578011656733, Final reward 0.5,  Reward 2282.5, Record 4833.060440136944
Game 57, Game Loss 0.4318634569644928, Mean Loss 1.9377669095993042, Actions 44, Mean reward 726.1831028996089, Final reward 0.0,  Reward 2150.0, Record 4833.060440136944
Game 58, Game Loss 0.7626315951347351, Mean Loss 1.9175059795379639, Actions 26, Mean reward 741.5535091714546, Final reward 1.0,  Reward 1617.6666666666665, Record 4833.060440136944
Game 59, Game Loss 0.19169627130031586, Mean Loss 1.888255000114441, Actions 43, Mean reward 772.7136191854978, Final reward 0.0,  Reward 2580.0, Record 4833.060440136944
Game 60, Game Loss 0.39976099133491516, Mean Loss 1.8634467124938965, Actions 75, Mean reward 820.4168828601594, Final reward 2.5,  Reward 3634.9094396651926, Record 4833.060440136944
Game 61, Game Loss 1.724007248878479, Mean Loss 1.8611607551574707, Actions 5, Mean reward 803.688737239501, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 62, Game Loss 1.337234616279602, Mean Loss 1.8527103662490845, Actions 5, Mean reward 791.0485963162832, Final reward 0.0,  Reward 20.0, Record 4833.060440136944
Game 63, Game Loss 1.8452820777893066, Mean Loss 1.8525924682617188, Actions 5, Mean reward 782.6509995493582, Final reward 0.5,  Reward 262.0, Record 4833.060440136944
Game 64, Game Loss 1.6363015174865723, Mean Loss 1.849212884902954, Actions 5, Mean reward 767.6095776813994, Final reward 0.0,  Reward -180.0, Record 4833.060440136944
Game 65, Game Loss 1.0992941856384277, Mean Loss 1.83767569065094, Actions 5, Mean reward 752.723276486301, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 66, Game Loss 1.0184046030044556, Mean Loss 1.825262427330017, Actions 14, Mean reward 748.8941359334782, Final reward 0.0,  Reward 500.0, Record 4833.060440136944
Game 67, Game Loss 0.745754063129425, Mean Loss 1.8091503381729126, Actions 16, Mean reward 751.4479548001427, Final reward 0.0,  Reward 920.0, Record 4833.060440136944
Game 68, Game Loss 0.4881385862827301, Mean Loss 1.7897236347198486, Actions 63, Mean reward 792.762281212231, Final reward 1.5,  Reward 3560.82215082215, Record 4833.060440136944
Game 69, Game Loss 1.1256380081176758, Mean Loss 1.7800992727279663, Actions 15, Mean reward 799.3638577493156, Final reward 2.0,  Reward 1248.2710622710624, Record 4833.060440136944
Game 70, Game Loss 1.0367742776870728, Mean Loss 1.7694803476333618, Actions 16, Mean reward 803.1962578976377, Final reward 1.5,  Reward 1067.6318681318685, Record 4833.060440136944
Game 71, Game Loss 1.2717591524124146, Mean Loss 1.7624702453613281, Actions 32, Mean reward 799.4466489973051, Final reward 1.5,  Reward 536.9740259740261, Record 4833.060440136944
Game 72, Game Loss 0.530517041683197, Mean Loss 1.7453597784042358, Actions 28, Mean reward 799.5273932323166, Final reward 1.5,  Reward 805.2602339181285, Record 4833.060440136944
Game 73, Game Loss 0.4856005609035492, Mean Loss 1.7281028032302856, Actions 16, Mean reward 792.6845522291342, Final reward 0.0,  Reward 300.0, Record 4833.060440136944
Game 74, Game Loss 0.21714657545089722, Mean Loss 1.7076845169067383, Actions 19, Mean reward 801.8171934152269, Final reward 0.5,  Reward 1468.5, Record 4833.060440136944
Game 75, Game Loss 0.12629656493663788, Mean Loss 1.6865993738174438, Actions 16, Mean reward 803.1262975030239, Final reward 0.0,  Reward 900.0, Record 4833.060440136944
Game 76, Game Loss 0.8278008103370667, Mean Loss 1.6752994060516357, Actions 10, Mean reward 794.177267272721, Final reward 0.5,  Reward 123.0, Record 4833.060440136944
Game 77, Game Loss 0.2581760585308075, Mean Loss 1.6568952798843384, Actions 28, Mean reward 809.6972688835212, Final reward 1.0,  Reward 1989.2173913043475, Record 4833.060440136944
Game 78, Game Loss 0.6517108082771301, Mean Loss 1.6440083980560303, Actions 11, Mean reward 804.8379021884333, Final reward 0.5,  Reward 430.66666666666663, Record 4833.060440136944
Game 79, Game Loss 0.18776331841945648, Mean Loss 1.6255748271942139, Actions 65, Mean reward 850.3141412026775, Final reward 0.5,  Reward 4397.460784313726, Record 4833.060440136944
Game 80, Game Loss 1.0736199617385864, Mean Loss 1.6186754703521729, Actions 7, Mean reward 838.1393811043106, Final reward 1.0,  Reward -123.66666666666666, Record 4833.060440136944
Game 81, Game Loss 1.0912548303604126, Mean Loss 1.61216402053833, Actions 6, Mean reward 826.5574134363562, Final reward 0.0,  Reward -100.0, Record 4833.060440136944
Game 82, Game Loss 1.4172899723052979, Mean Loss 1.6097875833511353, Actions 7, Mean reward 819.1603718090836, Final reward 0.0,  Reward 220.0, Record 4833.060440136944
Game 83, Game Loss 0.8400793671607971, Mean Loss 1.6005138158798218, Actions 6, Mean reward 808.8271143174078, Final reward 0.5,  Reward -38.5, Record 4833.060440136944
Game 84, Game Loss 1.0588990449905396, Mean Loss 1.5940660238265991, Actions 13, Mean reward 802.0236169247403, Final reward 0.5,  Reward 237.33333333333337, Record 4833.060440136944
Game 85, Game Loss 0.39560189843177795, Mean Loss 1.579966425895691, Actions 48, Mean reward 831.6468684903315, Final reward 0.0,  Reward 3320.0, Record 4833.060440136944
Game 86, Game Loss 0.6663633584976196, Mean Loss 1.5693432092666626, Actions 46, Mean reward 848.720742112537, Final reward 0.0,  Reward 2300.0, Record 4833.060440136944
Game 87, Game Loss 0.2839898467063904, Mean Loss 1.554569125175476, Actions 31, Mean reward 869.6287138780743, Final reward 0.5,  Reward 2667.714285714286, Record 4833.060440136944
Game 88, Game Loss 1.045803427696228, Mean Loss 1.5487877130508423, Actions 11, Mean reward 864.2920239476417, Final reward 0.0,  Reward 400.0, Record 4833.060440136944
Game 89, Game Loss 0.6916626691818237, Mean Loss 1.5391571521759033, Actions 10, Mean reward 856.187619184185, Final reward 0.5,  Reward 143.0, Record 4833.060440136944
Game 90, Game Loss 1.580363154411316, Mean Loss 1.5396150350570679, Actions 14, Mean reward 852.7905850316334, Final reward 0.5,  Reward 550.4545454545454, Record 4833.060440136944
Game 91, Game Loss 0.8672134876251221, Mean Loss 1.5322260856628418, Actions 24, Mean reward 859.5511280532638, Final reward 0.0,  Reward 1468.0, Record 4833.060440136944
Game 92, Game Loss 0.8622643947601318, Mean Loss 1.5249438285827637, Actions 35, Mean reward 867.5994853570328, Final reward 0.0,  Reward 1600.0, Record 4833.060440136944
