Command main.py play --no-gui --agents q_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 40, Game Loss 3.9912760257720947, Mean Loss 7.169066429138184, Actions 22, Mean reward 656.6057322230469, Final reward 0.0,  Reward 1100.0, Record 2148.0
Game 41, Game Loss 7.119067192077637, Mean Loss 7.167847633361816, Actions 18, Mean reward 651.5177875346799, Final reward 0.0,  Reward 448.0, Record 2148.0
Game 42, Game Loss 7.44495153427124, Mean Loss 7.174445152282715, Actions 12, Mean reward 638.8626021171874, Final reward 0.0,  Reward 120.0, Record 2148.0
Game 43, Game Loss 8.17534065246582, Mean Loss 7.1977219581604, Actions 11, Mean reward 628.6564950912064, Final reward 0.0,  Reward 200.0, Record 2148.0
Game 44, Game Loss 1.549704670906067, Mean Loss 7.0693583488464355, Actions 18, Mean reward 632.4597565664062, Final reward 0.0,  Reward 796.0, Record 2148.0
Game 45, Game Loss 1.8441283702850342, Mean Loss 6.95324182510376, Actions 19, Mean reward 639.4717619760416, Final reward 0.0,  Reward 948.0, Record 2148.0
Game 46, Game Loss 5.44372034072876, Mean Loss 6.920425891876221, Actions 22, Mean reward 653.8310714983016, Final reward 0.0,  Reward 1300.0, Record 2148.0
Game 47, Game Loss 5.800858497619629, Mean Loss 6.896605968475342, Actions 18, Mean reward 646.302750828125, Final reward 0.0,  Reward 300.0, Record 2148.0
Game 48, Game Loss 3.5929388999938965, Mean Loss 6.827779293060303, Actions 16, Mean reward 647.4214435192057, Final reward 0.0,  Reward 700.0, Record 2148.0
Game 49, Game Loss 2.3362348079681396, Mean Loss 6.736114978790283, Actions 18, Mean reward 659.6781487535076, Final reward 0.0,  Reward 1248.0, Record 2148.0
Game 50, Game Loss 2.3844993114471436, Mean Loss 6.649082660675049, Actions 17, Mean reward 665.4445857784375, Final reward 0.0,  Reward 948.0, Record 2148.0
Game 51, Game Loss 1.2800689935684204, Mean Loss 6.543807506561279, Actions 19, Mean reward 679.063319390625, Final reward 0.0,  Reward 1360.0, Record 2148.0
Game 52, Game Loss 9.636716842651367, Mean Loss 6.6032867431640625, Actions 14, Mean reward 671.7736401715745, Final reward 0.0,  Reward 300.0, Record 2148.0
Game 53, Game Loss 8.312164306640625, Mean Loss 6.635529518127441, Actions 19, Mean reward 680.7590431872052, Final reward 0.0,  Reward 1148.0, Record 2148.0
Game 54, Game Loss 2.6021766662597656, Mean Loss 6.560837745666504, Actions 38, Mean reward 699.6338757207754, Final reward 0.0,  Reward 1700.0, Record 2148.0
Game 55, Game Loss 2.733902931213379, Mean Loss 6.491257667541504, Actions 30, Mean reward 720.5132597985795, Final reward 0.0,  Reward 1848.0, Record 2148.0
Game 56, Game Loss 11.195207595825195, Mean Loss 6.575256824493408, Actions 19, Mean reward 712.9326658736048, Final reward 0.0,  Reward 296.0, Record 2148.0
Game 57, Game Loss 4.423482418060303, Mean Loss 6.537506580352783, Actions 29, Mean reward 731.0917419109101, Final reward 0.0,  Reward 1748.0, Record 2148.0
Game 58, Game Loss 16.714296340942383, Mean Loss 6.712968349456787, Actions 6, Mean reward 713.3142980848598, Final reward 0.0,  Reward -300.0, Record 2148.0
Game 59, Game Loss 2.817784070968628, Mean Loss 6.646948337554932, Actions 19, Mean reward 721.5632082868115, Final reward 0.0,  Reward 1200.0, Record 2148.0
Game 60, Game Loss 7.1780242919921875, Mean Loss 6.655799388885498, Actions 12, Mean reward 718.2038214820312, Final reward 0.0,  Reward 520.0, Record 2148.0
Game 61, Game Loss 18.162281036376953, Mean Loss 6.844430446624756, Actions 21, Mean reward 680.2004801462602, Final reward 0.0,  Reward -1600.0, Record 2148.0
Game 62, Game Loss 14.5495023727417, Mean Loss 6.968705654144287, Actions 9, Mean reward 669.2295046600302, Final reward 0.0,  Reward 0.0, Record 2148.0
Game 63, Game Loss 13.650163650512695, Mean Loss 7.074760913848877, Actions 6, Mean reward 653.8449093479662, Final reward 0.0,  Reward -300.0, Record 2148.0
Game 64, Game Loss 15.03501033782959, Mean Loss 7.199139595031738, Actions 9, Mean reward 640.5035826394043, Final reward 0.0,  Reward -200.0, Record 2148.0
