Command main.py play --no-gui --agents ppo2_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 36, Game Loss -6.691315093025587e+17, Mean Loss -1.5494118572136858e+17, Actions 7, Mean reward 1232.7141916568203, Final reward 1.0,  Reward 753.6666666666667, Record 3376.529304029304
Game 37, Game Loss -7.859646527973622e+17, Mean Loss -1.7199588237849395e+17, Actions 11, Mean reward 1228.194889179609, Final reward 0.5,  Reward 1065.5, Record 3376.529304029304
Game 38, Game Loss -8.907832265770271e+17, Mean Loss -1.9091133066693837e+17, Actions 11, Mean reward 1222.7160763064612, Final reward 0.0,  Reward 1020.0, Record 3376.529304029304
Game 39, Game Loss -8.361018332681339e+17, Mean Loss -2.07454668517802e+17, Actions 10, Mean reward 1214.9541256319367, Final reward 0.0,  Reward 920.0, Record 3376.529304029304
Game 40, Game Loss -9.243537217547141e+17, Mean Loss -2.2537715472714957e+17, Actions 7, Mean reward 1201.0802724911382, Final reward 0.0,  Reward 660.0, Record 3376.529304029304
Game 41, Game Loss -1.1057565789438607e+18, Mean Loss -2.468498265436324e+17, Actions 14, Mean reward 1209.7368512108665, Final reward 1.5,  Reward 1556.0, Record 3376.529304029304
Game 42, Game Loss -1.2020672004672717e+18, Mean Loss -2.6959310430509466e+17, Actions 20, Mean reward 1227.1240690391792, Final reward 0.0,  Reward 1940.0, Record 3376.529304029304
Game 43, Game Loss -1.5470418599000146e+18, Mean Loss -2.993012212928348e+17, Actions 31, Mean reward 1287.7112164532937, Final reward 4.5,  Reward 3832.3714078460953, Record 3832.3714078460953
Game 44, Game Loss -1.7684026876294595e+18, Mean Loss -3.326898847350784e+17, Actions 17, Mean reward 1299.024597897537, Final reward 1.5,  Reward 1785.5, Record 3832.3714078460953
Game 45, Game Loss -1.8862620877898383e+18, Mean Loss -3.672136908537856e+17, Actions 6, Mean reward 1281.268495722036, Final reward 0.0,  Reward 500.0, Record 3832.3714078460953
Game 46, Game Loss -2.1055669662142956e+18, Mean Loss -4.0500397421992346e+17, Actions 12, Mean reward 1277.7626588585135, Final reward 0.0,  Reward 1120.0, Record 3832.3714078460953
Game 47, Game Loss -1.3623555173929452e+18, Mean Loss -4.253731486789796e+17, Actions 5, Mean reward 1259.5655810104602, Final reward 0.5,  Reward 422.5, Record 3832.3714078460953
Game 48, Game Loss -2.2716848937904374e+18, Mean Loss -4.638380167884964e+17, Actions 23, Mean reward 1283.723440929885, Final reward 2.0,  Reward 2419.142857142857, Record 3832.3714078460953
Game 49, Game Loss -2.625132114948915e+18, Mean Loss -5.079460596080968e+17, Actions 57, Mean reward 1388.2913572299792, Final reward 1.5,  Reward 6407.551339634509, Record 6407.551339634509
Game 50, Game Loss -2.942985808254075e+18, Mean Loss -5.566468655761326e+17, Actions 5, Mean reward 1368.9255300853797, Final reward 0.0,  Reward 420.0, Record 6407.551339634509
Game 51, Game Loss -3.1712339768199086e+18, Mean Loss -6.079132444886303e+17, Actions 6, Mean reward 1352.3387549856664, Final reward 0.5,  Reward 523.0, Record 6407.551339634509
Game 52, Game Loss -4.21619443469543e+18, Mean Loss -6.773032858786202e+17, Actions 36, Mean reward 1394.498907133378, Final reward 0.5,  Reward 3544.6666666666683, Record 6407.551339634509
Game 53, Game Loss -5.086222042835976e+18, Mean Loss -7.604904802102804e+17, Actions 7, Mean reward 1379.8857202063332, Final reward 0.0,  Reward 620.0, Record 6407.551339634509
Game 54, Game Loss -4.701033432812093e+18, Mean Loss -8.334634176783319e+17, Actions 14, Mean reward 1380.7046503993743, Final reward 0.5,  Reward 1424.107950630559, Record 6407.551339634509
Game 55, Game Loss -5.783123298845983e+18, Mean Loss -9.23457276180693e+17, Actions 13, Mean reward 1378.410020392113, Final reward 0.5,  Reward 1254.5, Record 6407.551339634509
Game 56, Game Loss -6.236315053780369e+18, Mean Loss -1.0183297364949729e+18, Actions 16, Mean reward 1380.938412885111, Final reward 0.0,  Reward 1520.0, Record 6407.551339634509
Game 57, Game Loss -6.548146447022293e+18, Mean Loss -1.1153440454601605e+18, Actions 8, Mean reward 1369.2433147829734, Final reward 0.0,  Reward 714.3178210632764, Record 6407.551339634509
Game 58, Game Loss -7.71790422342946e+18, Mean Loss -1.2291812946471813e+18, Actions 20, Mean reward 1379.4131008917311, Final reward 0.5,  Reward 1959.0909090909095, Record 6407.551339634509
Game 59, Game Loss -6.643451015406289e+18, Mean Loss -1.320948459246715e+18, Actions 35, Mean reward 1425.8463735965522, Final reward 1.5,  Reward 4118.976190476189, Record 6407.551339634509
Game 60, Game Loss -8.956767405153976e+18, Mean Loss -1.4482122572373688e+18, Actions 10, Mean reward 1418.577911265838, Final reward 0.5,  Reward 989.7386337537059, Record 6407.551339634509
Game 61, Game Loss -9.705501288564785e+18, Mean Loss -1.5835776692183368e+18, Actions 12, Mean reward 1414.109420917218, Final reward 0.5,  Reward 1146.0, Record 6407.551339634509
Game 62, Game Loss -8.690387623581057e+18, Mean Loss -1.6982036805593334e+18, Actions 16, Mean reward 1418.0108818701658, Final reward 1.0,  Reward 1656.0, Record 6407.551339634509
Game 63, Game Loss -9.393718273834484e+18, Mean Loss -1.8203546120418755e+18, Actions 23, Mean reward 1430.4234075547665, Final reward 0.0,  Reward 2200.0, Record 6407.551339634509
Game 64, Game Loss -1.0517612671468044e+19, Mean Loss -1.956249301432664e+18, Actions 7, Mean reward 1417.8152293117232, Final reward 0.5,  Reward 623.5, Record 6407.551339634509
Game 65, Game Loss -1.1011439627385962e+19, Mean Loss -2.0955598985730458e+18, Actions 19, Mean reward 1428.5215684411933, Final reward 0.5,  Reward 2113.727272727274, Record 6407.551339634509
Game 66, Game Loss -1.359393405579926e+19, Mean Loss -2.2697776534331064e+18, Actions 8, Mean reward 1418.453059828448, Final reward 0.5,  Reward 764.0, Record 6407.551339634509
Game 67, Game Loss -1.0511540068747837e+19, Mean Loss -2.3927890902033367e+18, Actions 18, Mean reward 1425.3346374503137, Final reward 0.5,  Reward 1879.518760493449, Record 6407.551339634509
Game 68, Game Loss -1.0094551383425417e+19, Mean Loss -2.5060503327363564e+18, Actions 6, Mean reward 1411.726775134868, Final reward 0.0,  Reward 500.0, Record 6407.551339634509
Game 69, Game Loss -1.4437860907163845e+19, Mean Loss -2.678974924483199e+18, Actions 40, Mean reward 1448.1655175242176, Final reward 0.5,  Reward 3926.0, Record 6407.551339634509
Game 70, Game Loss -1.2362133587015762e+19, Mean Loss -2.817305856763232e+18, Actions 6, Mean reward 1436.5155339405383, Final reward 1.0,  Reward 632.6666666666667, Record 6407.551339634509
Game 71, Game Loss -1.3648278517513716e+19, Mean Loss -2.969854848779944e+18, Actions 6, Mean reward 1423.325174307573, Final reward 0.0,  Reward 500.0, Record 6407.551339634509
Game 72, Game Loss -1.3831359298166325e+19, Mean Loss -3.120709218500346e+18, Actions 5, Mean reward 1409.1123246644122, Final reward 0.0,  Reward 400.0, Record 6407.551339634509
Game 73, Game Loss -1.4173198562753511e+19, Mean Loss -3.272113069156729e+18, Actions 13, Mean reward 1406.5217448744888, Final reward 0.0,  Reward 1220.0, Record 6407.551339634509
Game 74, Game Loss -1.9636642154358505e+19, Mean Loss -3.493255368950153e+18, Actions 15, Mean reward 1406.8728023761848, Final reward 0.5,  Reward 1432.5, Record 6407.551339634509
Game 75, Game Loss -1.807452310382366e+19, Mean Loss -3.68767238936304e+18, Actions 14, Mean reward 1407.1817510917551, Final reward 1.0,  Reward 1430.043956043956, Record 6407.551339634509
Game 76, Game Loss -1.3457791426536407e+19, Mean Loss -3.8162267391267963e+18, Actions 5, Mean reward 1394.4556754194953, Final reward 0.0,  Reward 440.0, Record 6407.551339634509
