Game 38, Game Loss 27.558115005493164, Mean Loss 588.6204833984375, Actions 11, Mean reward 339.3747435289959, Final reward 0.5,  Reward 165.0, Record 899.9228345184227
Game 39, Game Loss 7.195580005645752, Mean Loss 573.712158203125, Actions 20, Mean reward 338.19846805389346, Final reward 0.5,  Reward 293.5, Record 899.9228345184227
Game 40, Game Loss 22.78947639465332, Mean Loss 559.9390869140625, Actions 8, Mean reward 332.63100635254614, Final reward 0.5,  Reward 115.5, Record 899.9228345184227
Game 41, Game Loss 7.304419994354248, Mean Loss 546.460205078125, Actions 8, Mean reward 326.2741525390694, Final reward 0.0,  Reward 72.0, Record 899.9228345184227
Game 42, Game Loss 8.301621437072754, Mean Loss 533.6468505859375, Actions 18, Mean reward 325.63198296202086, Final reward 1.0,  Reward 299.30303030303037, Record 899.9228345184227
Game 43, Game Loss 66.76112365722656, Mean Loss 522.7890625, Actions 12, Mean reward 326.99145092375016, Final reward 1.5,  Reward 384.0891053163818, Record 899.9228345184227
Game 44, Game Loss 17.33038902282715, Mean Loss 511.3013610839844, Actions 31, Mean reward 334.13245549761746, Final reward 2.0,  Reward 641.195652173913, Record 899.9228345184227
Game 45, Game Loss 29.6771297454834, Mean Loss 500.5986022949219, Actions 5, Mean reward 327.6850675976704, Final reward 0.0,  Reward 44.0, Record 899.9228345184227
Game 46, Game Loss 12.310585975646973, Mean Loss 489.983642578125, Actions 23, Mean reward 330.14230414376345, Final reward 2.0,  Reward 440.7179487179487, Record 899.9228345184227
Game 47, Game Loss 19.028501510620117, Mean Loss 479.9633483886719, Actions 11, Mean reward 326.96906363006633, Final reward 0.5,  Reward 181.0, Record 899.9228345184227
Game 48, Game Loss 3.3923661708831787, Mean Loss 470.0347900390625, Actions 16, Mean reward 324.7405414711066, Final reward 0.0,  Reward 220.0, Record 899.9228345184227
Game 49, Game Loss 62.262550354003906, Mean Loss 461.712890625, Actions 13, Mean reward 324.18172073752714, Final reward 1.0,  Reward 297.35832552571236, Record 899.9228345184227
Game 50, Game Loss 82.26042938232422, Mean Loss 454.12384033203125, Actions 13, Mean reward 326.2035408682312, Final reward 1.0,  Reward 425.27272727272725, Record 899.9228345184227
Game 51, Game Loss 42.409271240234375, Mean Loss 446.051025390625, Actions 17, Mean reward 326.76164137408284, Final reward 0.5,  Reward 354.66666666666663, Record 899.9228345184227
Game 52, Game Loss 77.47125244140625, Mean Loss 438.9629211425781, Actions 20, Mean reward 332.53637171395854, Final reward 3.0,  Reward 627.047619047619, Record 899.9228345184227
Game 53, Game Loss 117.35790252685547, Mean Loss 432.8948974609375, Actions 6, Mean reward 328.5734213042612, Final reward 0.5,  Reward 122.5, Record 899.9228345184227
Game 54, Game Loss 21.67366600036621, Mean Loss 425.2796936035156, Actions 5, Mean reward 322.9331727615897, Final reward 0.0,  Reward 24.0, Record 899.9228345184227
Game 55, Game Loss 17.995546340942383, Mean Loss 417.8745422363281, Actions 41, Mean reward 331.573386484765, Final reward 1.0,  Reward 798.144927536232, Record 899.9228345184227
Game 56, Game Loss 9.079909324645996, Mean Loss 410.57464599609375, Actions 7, Mean reward 326.6524331546799, Final reward 0.0,  Reward 56.0, Record 899.9228345184227
Game 57, Game Loss 13.398381233215332, Mean Loss 403.60662841796875, Actions 12, Mean reward 324.1058992396855, Final reward 0.5,  Reward 181.5, Record 899.9228345184227
Game 58, Game Loss 55.89597702026367, Mean Loss 397.61163330078125, Actions 7, Mean reward 320.74200442520817, Final reward 0.5,  Reward 129.0, Record 899.9228345184227
Game 59, Game Loss 69.68357849121094, Mean Loss 392.05352783203125, Actions 41, Mean reward 337.76736189661307, Final reward 5.0,  Reward 1325.2380952380952, Record 1325.2380952380952
Game 60, Game Loss 13.529233932495117, Mean Loss 385.7447814941406, Actions 11, Mean reward 334.5545725316695, Final reward 0.5,  Reward 145.0, Record 1325.2380952380952
Game 61, Game Loss 59.181419372558594, Mean Loss 380.39129638671875, Actions 5, Mean reward 330.8405631459044, Final reward 1.0,  Reward 108.0, Record 1325.2380952380952
Game 62, Game Loss 4.443410396575928, Mean Loss 374.3276062011719, Actions 17, Mean reward 328.98829599838984, Final reward 0.0,  Reward 216.0, Record 1325.2380952380952
Game 63, Game Loss 12.735804557800293, Mean Loss 368.58807373046875, Actions 7, Mean reward 324.97260876032016, Final reward 0.0,  Reward 76.0, Record 1325.2380952380952
Game 64, Game Loss 10.649261474609375, Mean Loss 362.9952697753906, Actions 16, Mean reward 324.07459924844017, Final reward 0.5,  Reward 267.5, Record 1325.2380952380952
Game 65, Game Loss 16.390417098999023, Mean Loss 357.66290283203125, Actions 5, Mean reward 319.45806695231033, Final reward 0.0,  Reward 24.0, Record 1325.2380952380952
Game 66, Game Loss 24.633987426757812, Mean Loss 352.61700439453125, Actions 48, Mean reward 329.0514151442306, Final reward 1.0,  Reward 952.6190476190477, Record 1325.2380952380952
Game 67, Game Loss 2.1903164386749268, Mean Loss 347.3867492675781, Actions 25, Mean reward 329.5730358137197, Final reward 0.0,  Reward 364.0, Record 1325.2380952380952
Game 68, Game Loss 5.674450874328613, Mean Loss 342.361572265625, Actions 23, Mean reward 331.11466823416555, Final reward 1.0,  Reward 434.4040404040405, Record 1325.2380952380952
Game 69, Game Loss 6.7157368659973145, Mean Loss 337.4971008300781, Actions 21, Mean reward 331.0985136220762, Final reward 0.5,  Reward 330.0, Record 1325.2380952380952
Game 70, Game Loss 17.650203704833984, Mean Loss 332.9278869628906, Actions 35, Mean reward 335.197106284618, Final reward 1.0,  Reward 618.0, Record 1325.2380952380952
Game 71, Game Loss 60.99345016479492, Mean Loss 329.0978088378906, Actions 42, Mean reward 343.8213046224517, Final reward 2.0,  Reward 947.5151882708105, Record 1325.2380952380952
Game 72, Game Loss 29.154075622558594, Mean Loss 324.93194580078125, Actions 6, Mean reward 339.6015642804732, Final reward 0.0,  Reward 40.0, Record 1325.2380952380952
Game 73, Game Loss 19.327238082885742, Mean Loss 320.7455749511719, Actions 12, Mean reward 337.4966722279249, Final reward 0.5,  Reward 185.94444444444446, Record 1325.2380952380952
Game 74, Game Loss 19.410070419311523, Mean Loss 316.6734924316406, Actions 7, Mean reward 333.962933414034, Final reward 0.0,  Reward 76.0, Record 1325.2380952380952
Game 75, Game Loss 100.6041488647461, Mean Loss 313.79254150390625, Actions 9, Mean reward 333.46564985740247, Final reward 1.5,  Reward 296.66666666666663, Record 1325.2380952380952
Game 76, Game Loss 35.88974380493164, Mean Loss 310.1359558105469, Actions 6, Mean reward 329.6042597276998, Final reward 0.0,  Reward 40.0, Record 1325.2380952380952
Game 77, Game Loss 11.12827205657959, Mean Loss 306.25274658203125, Actions 25, Mean reward 331.8811274834839, Final reward 1.5,  Reward 504.9230769230769, Record 1325.2380952380952
Game 78, Game Loss 36.84947204589844, Mean Loss 302.7988586425781, Actions 5, Mean reward 328.21598482343927, Final reward 0.5,  Reward 46.0, Record 1325.2380952380952
Game 79, Game Loss 24.030803680419922, Mean Loss 299.2701416015625, Actions 11, Mean reward 326.31873607039995, Final reward 0.5,  Reward 178.33333333333331, Record 1325.2380952380952
Game 80, Game Loss 137.6659393310547, Mean Loss 297.2500915527344, Actions 9, Mean reward 325.3730852028533, Final reward 2.0,  Reward 250.66666666666669, Record 1325.2380952380952
Game 81, Game Loss 55.096107482910156, Mean Loss 294.2605285644531, Actions 18, Mean reward 325.5042816818304, Final reward 1.5,  Reward 336.0, Record 1325.2380952380952
Game 82, Game Loss 101.23076629638672, Mean Loss 291.9065246582031, Actions 17, Mean reward 324.93309125481625, Final reward 1.0,  Reward 278.6666666666667, Record 1325.2380952380952
Game 83, Game Loss 15.489482879638672, Mean Loss 288.5762023925781, Actions 16, Mean reward 323.66883714331243, Final reward 0.0,  Reward 220.0, Record 1325.2380952380952
Game 84, Game Loss 42.98085021972656, Mean Loss 285.6524353027344, Actions 5, Mean reward 320.36325574874917, Final reward 0.5,  Reward 46.0, Record 1325.2380952380952
Game 85, Game Loss 27.94075584411621, Mean Loss 282.62054443359375, Actions 88, Mean reward 337.8835158676305, Final reward 1.0,  Reward 1809.585365853659, Record 1809.585365853659
Game 86, Game Loss 9.270528793334961, Mean Loss 279.44207763671875, Actions 12, Mean reward 335.5360331249836, Final reward 0.0,  Reward 136.0, Record 1809.585365853659
Game 87, Game Loss 3.935762882232666, Mean Loss 276.27532958984375, Actions 18, Mean reward 334.3459637787194, Final reward 0.0,  Reward 232.0, Record 1809.585365853659
Game 88, Game Loss 2.827059268951416, Mean Loss 273.1679382324219, Actions 14, Mean reward 332.68294146305215, Final reward 0.0,  Reward 188.0, Record 1809.585365853659
Game 89, Game Loss 14.130945205688477, Mean Loss 270.2574157714844, Actions 22, Mean reward 333.7651556039167, Final reward 1.0,  Reward 429.0, Record 1809.585365853659
Game 90, Game Loss 19.69089126586914, Mean Loss 267.4733581542969, Actions 5, Mean reward 330.32332054165096, Final reward 0.0,  Reward 24.0, Record 1809.585365853659
Game 91, Game Loss 6.951159477233887, Mean Loss 264.6104736328125, Actions 10, Mean reward 327.83625108514934, Final reward 0.0,  Reward 104.0, Record 1809.585365853659
Game 92, Game Loss 53.691566467285156, Mean Loss 262.31787109375, Actions 30, Mean reward 333.21303096465857, Final reward 2.5,  Reward 822.5, Record 1809.585365853659
Game 93, Game Loss 67.46082305908203, Mean Loss 260.2226257324219, Actions 10, Mean reward 331.1193424596622, Final reward 0.5,  Reward 138.5, Record 1809.585365853659
Game 94, Game Loss 17.763837814331055, Mean Loss 257.6432800292969, Actions 14, Mean reward 329.9815480363325, Final reward 1.0,  Reward 224.16666666666666, Record 1809.585365853659
Game 95, Game Loss 9.732044219970703, Mean Loss 255.03369140625, Actions 24, Mean reward 330.6531708389576, Final reward 0.5,  Reward 393.78571428571433, Record 1809.585365853659
Game 96, Game Loss 21.51091194152832, Mean Loss 252.60118103027344, Actions 10, Mean reward 328.59949197605175, Final reward 0.5,  Reward 133.5, Record 1809.585365853659
Game 97, Game Loss 46.49889373779297, Mean Loss 250.4763946533203, Actions 9, Mean reward 327.37945362560845, Final reward 0.5,  Reward 210.2557719830484, Record 1809.585365853659
