Command main.py play --no-gui --agents simple_net_imitation rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_imitation rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_imitation rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_imitation rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 46, Game Loss 10.459327697753906, Mean Loss 9.600432395935059, Actions 46, Mean reward -667.3913043478261, Reward -1100, Record 600
Game 47, Game Loss 9.776771545410156, Mean Loss 9.6041841506958, Actions 37, Mean reward -670.2127659574468, Reward -800, Record 600
Game 48, Game Loss 10.195425033569336, Mean Loss 9.616501808166504, Actions 17, Mean reward -681.25, Reward -1200, Record 600
Game 49, Game Loss 9.941703796386719, Mean Loss 9.623139381408691, Actions 129, Mean reward -691.8367346938776, Reward -1200, Record 600
Game 50, Game Loss 10.981396675109863, Mean Loss 9.650303840637207, Actions 84, Mean reward -692.0, Reward -700, Record 600
Game 51, Game Loss 9.42418098449707, Mean Loss 9.645870208740234, Actions 74, Mean reward -684.3137254901961, Reward -300, Record 600
Game 52, Game Loss 8.686273574829102, Mean Loss 9.627416610717773, Actions 11, Mean reward -675.0, Reward -200, Record 600
Game 53, Game Loss 9.932269096374512, Mean Loss 9.633169174194336, Actions 16, Mean reward -675.4716981132076, Reward -700, Record 600
Game 54, Game Loss 9.864701271057129, Mean Loss 9.637456893920898, Actions 21, Mean reward -677.7777777777778, Reward -800, Record 600
Game 55, Game Loss 10.174002647399902, Mean Loss 9.647212028503418, Actions 60, Mean reward -670.9090909090909, Reward -300, Record 600
Game 56, Game Loss 12.296324729919434, Mean Loss 9.694518089294434, Actions 19, Mean reward -651.7857142857143, Reward 400, Record 600
Game 57, Game Loss 10.35753345489502, Mean Loss 9.70615005493164, Actions 39, Mean reward -647.3684210526316, Reward -400, Record 600
Game 58, Game Loss 9.78487491607666, Mean Loss 9.707507133483887, Actions 14, Mean reward -644.8275862068965, Reward -500, Record 600
Game 59, Game Loss 10.37824821472168, Mean Loss 9.71887493133545, Actions 21, Mean reward -637.2881355932203, Reward -200, Record 600
Game 60, Game Loss 17.396621704101562, Mean Loss 9.846837043762207, Actions 46, Mean reward -651.6666666666666, Reward -1500, Record 600
Game 61, Game Loss 9.77455997467041, Mean Loss 9.845651626586914, Actions 7, Mean reward -647.5409836065573, Reward -400, Record 600
Game 62, Game Loss 14.953291893005371, Mean Loss 9.928033828735352, Actions 42, Mean reward -648.3870967741935, Reward -700, Record 600
Game 63, Game Loss 10.763420104980469, Mean Loss 9.941293716430664, Actions 41, Mean reward -631.7460317460317, Reward 400, Record 600
Game 64, Game Loss 9.99524974822998, Mean Loss 9.942136764526367, Actions 34, Mean reward -614.0625, Reward 500, Record 600
Game 65, Game Loss 9.519073486328125, Mean Loss 9.935627937316895, Actions 18, Mean reward -606.1538461538462, Reward -100, Record 600
Game 66, Game Loss 16.307491302490234, Mean Loss 10.032171249389648, Actions 5, Mean reward -600.0, Reward -200, Record 600
Game 67, Game Loss 9.007752418518066, Mean Loss 10.016880989074707, Actions 13, Mean reward -602.9850746268656, Reward -800, Record 600
Game 68, Game Loss 9.282136917114258, Mean Loss 10.00607681274414, Actions 18, Mean reward -610.2941176470588, Reward -1100, Record 600
Game 69, Game Loss 10.808144569396973, Mean Loss 10.017701148986816, Actions 27, Mean reward -607.2463768115942, Reward -400, Record 600
Game 70, Game Loss 13.721720695495605, Mean Loss 10.070615768432617, Actions 22, Mean reward -600.0, Reward -100, Record 600
Game 71, Game Loss 9.388334274291992, Mean Loss 10.061005592346191, Actions 16, Mean reward -592.9577464788732, Reward -100, Record 600
Game 72, Game Loss 9.166718482971191, Mean Loss 10.048585891723633, Actions 50, Mean reward -586.1111111111111, Reward -100, Record 600
Game 73, Game Loss 9.820273399353027, Mean Loss 10.04545783996582, Actions 19, Mean reward -575.3424657534247, Reward 200, Record 600
Game 74, Game Loss 9.833220481872559, Mean Loss 10.04258918762207, Actions 29, Mean reward -559.4594594594595, Reward 600, Record 600
Game 75, Game Loss 8.454558372497559, Mean Loss 10.021414756774902, Actions 12, Mean reward -564.0, Reward -900, Record 600
Game 76, Game Loss 11.916956901550293, Mean Loss 10.046356201171875, Actions 35, Mean reward -546.0526315789474, Reward 800, Record 800
Game 77, Game Loss 9.549373626708984, Mean Loss 10.039901733398438, Actions 39, Mean reward -544.1558441558442, Reward -400, Record 800
Game 78, Game Loss 11.903785705566406, Mean Loss 10.063797950744629, Actions 93, Mean reward -560.2564102564103, Reward -1800, Record 800
Game 79, Game Loss 14.008540153503418, Mean Loss 10.113731384277344, Actions 9, Mean reward -560.7594936708861, Reward -600, Record 800
Game 80, Game Loss 12.741844177246094, Mean Loss 10.14658260345459, Actions 7, Mean reward -558.75, Reward -400, Record 800
Game 81, Game Loss 10.93976879119873, Mean Loss 10.15637493133545, Actions 24, Mean reward -548.1481481481482, Reward 300, Record 800
Game 82, Game Loss 13.578288078308105, Mean Loss 10.198105812072754, Actions 24, Mean reward -542.6829268292682, Reward -100, Record 800
Game 83, Game Loss 11.904430389404297, Mean Loss 10.218664169311523, Actions 19, Mean reward -553.0120481927711, Reward -1400, Record 800
Game 84, Game Loss 16.79271125793457, Mean Loss 10.296926498413086, Actions 11, Mean reward -558.3333333333334, Reward -1000, Record 800
Game 85, Game Loss 10.578370094299316, Mean Loss 10.300237655639648, Actions 23, Mean reward -537.6470588235294, Reward 1200, Record 1200
Game 86, Game Loss 11.895340919494629, Mean Loss 10.318785667419434, Actions 15, Mean reward -531.3953488372093, Reward 0, Record 1200
Game 87, Game Loss 12.069574356079102, Mean Loss 10.338909149169922, Actions 31, Mean reward -532.183908045977, Reward -600, Record 1200
Game 88, Game Loss 14.744651794433594, Mean Loss 10.3889741897583, Actions 46, Mean reward -527.2727272727273, Reward -100, Record 1200
Game 89, Game Loss 11.199090957641602, Mean Loss 10.398077011108398, Actions 42, Mean reward -526.9662921348314, Reward -500, Record 1200
Game 90, Game Loss 10.067319869995117, Mean Loss 10.394401550292969, Actions 60, Mean reward -526.6666666666666, Reward -500, Record 1200
