Command main.py play --no-gui --agents simple_net_q rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 38, Game Loss 4.275847911834717, Mean Loss 151240176.0, Actions 12, Mean reward 487.1061283561682, Final reward 0.5,  Reward 599.5, Record 2495.0341191067
Game 39, Game Loss 3.8425161838531494, Mean Loss 147362224.0, Actions 5, Mean reward 466.4110994239588, Final reward 0.0,  Reward -320.0, Record 2495.0341191067
Game 40, Game Loss 1.725142478942871, Mean Loss 143678176.0, Actions 5, Mean reward 446.75082193835976, Final reward 0.0,  Reward -320.0, Record 2495.0341191067
Game 41, Game Loss 2.9328839778900146, Mean Loss 140173824.0, Actions 43, Mean reward 516.9065947421502, Final reward 1.5,  Reward 3323.1375068937655, Record 3323.1375068937655
Game 42, Game Loss 1.644399642944336, Mean Loss 136836352.0, Actions 5, Mean reward 509.36119962924187, Final reward 0.0,  Reward 200.0, Record 3323.1375068937655
Game 43, Game Loss 1.9262059926986694, Mean Loss 133654112.0, Actions 12, Mean reward 493.3295438239107, Final reward 0.0,  Reward -180.0, Record 3323.1375068937655
Game 44, Game Loss 2.088874340057373, Mean Loss 130616520.0, Actions 26, Mean reward 483.85614510063994, Final reward 0.5,  Reward 76.5, Record 3323.1375068937655
Game 45, Game Loss 1.762439489364624, Mean Loss 127713928.0, Actions 13, Mean reward 497.4049407217801, Final reward 1.5,  Reward 1093.5519480519479, Record 3323.1375068937655
Game 46, Game Loss 1.5781618356704712, Mean Loss 124937536.0, Actions 6, Mean reward 487.4613550539153, Final reward 0.0,  Reward 40.0, Record 3323.1375068937655
Game 47, Game Loss 2.8523471355438232, Mean Loss 122279296.0, Actions 31, Mean reward 502.3377554551734, Final reward 1.0,  Reward 1186.6521739130435, Record 3323.1375068937655
Game 48, Game Loss 3.06266713142395, Mean Loss 119731808.0, Actions 16, Mean reward 518.5274781424499, Final reward 1.0,  Reward 1279.4444444444446, Record 3323.1375068937655
Game 49, Game Loss 3.0966620445251465, Mean Loss 117288304.0, Actions 5, Mean reward 505.4963051191346, Final reward 0.0,  Reward -120.0, Record 3323.1375068937655
Game 50, Game Loss 3.1789231300354004, Mean Loss 114942536.0, Actions 22, Mean reward 520.1863790167519, Final reward 0.0,  Reward 1240.0, Record 3323.1375068937655
Game 51, Game Loss 2.7898366451263428, Mean Loss 112688760.0, Actions 5, Mean reward 516.3918748530248, Final reward 0.5,  Reward 326.66666666666663, Record 3323.1375068937655
Game 52, Game Loss 1.8001095056533813, Mean Loss 110521672.0, Actions 22, Mean reward 533.780858944679, Final reward 1.0,  Reward 1420.6190476190468, Record 3323.1375068937655
Game 53, Game Loss 1.718013048171997, Mean Loss 108436352.0, Actions 33, Mean reward 558.1087202694495, Final reward 2.0,  Reward 1823.1575091575096, Record 3323.1375068937655
Game 54, Game Loss 2.5439748764038086, Mean Loss 106428272.0, Actions 12, Mean reward 553.9400402644596, Final reward 1.5,  Reward 333.0, Record 3323.1375068937655
Game 55, Game Loss 1.782192349433899, Mean Loss 104493216.0, Actions 23, Mean reward 579.838965939305, Final reward 1.5,  Reward 1978.3809523809523, Record 3323.1375068937655
Game 56, Game Loss 1.900850772857666, Mean Loss 102627264.0, Actions 14, Mean reward 592.1244894551795, Final reward 1.0,  Reward 1267.828282828283, Record 3323.1375068937655
Game 57, Game Loss 2.0002169609069824, Mean Loss 100826784.0, Actions 19, Mean reward 594.7948200495332, Final reward 1.0,  Reward 744.3333333333335, Record 3323.1375068937655
Game 58, Game Loss 1.602290391921997, Mean Loss 99088392.0, Actions 14, Mean reward 611.2121507383343, Final reward 1.0,  Reward 1547.0, Record 3323.1375068937655
Game 59, Game Loss 2.4786059856414795, Mean Loss 97408928.0, Actions 19, Mean reward 618.3271990309049, Final reward 1.0,  Reward 1031.0, Record 3323.1375068937655
Game 60, Game Loss 2.0841386318206787, Mean Loss 95785448.0, Actions 18, Mean reward 615.8884123803898, Final reward 0.0,  Reward 472.0, Record 3323.1375068937655
Game 61, Game Loss 2.0643556118011475, Mean Loss 94215192.0, Actions 5, Mean reward 601.2017170954655, Final reward 0.0,  Reward -280.0, Record 3323.1375068937655
Game 62, Game Loss 5.251887321472168, Mean Loss 92695592.0, Actions 53, Mean reward 667.9921116821753, Final reward 2.5,  Reward 4742.206181471474, Record 4742.206181471474
Game 63, Game Loss 7.840470790863037, Mean Loss 91224232.0, Actions 39, Mean reward 715.5597783482274, Final reward 1.0,  Reward 3664.755111643454, Record 4742.206181471474
Game 64, Game Loss 3.607196807861328, Mean Loss 89798856.0, Actions 7, Mean reward 702.5041568115363, Final reward 0.0,  Reward -120.0, Record 4742.206181471474
Game 65, Game Loss 2.855832099914551, Mean Loss 88417336.0, Actions 13, Mean reward 707.4132503697471, Final reward 1.5,  Reward 1021.5952380952381, Record 4742.206181471474
Game 66, Game Loss 2.1184990406036377, Mean Loss 87077680.0, Actions 7, Mean reward 691.8463829399025, Final reward 0.0,  Reward -320.0, Record 4742.206181471474
Game 67, Game Loss 2.3364193439483643, Mean Loss 85778008.0, Actions 23, Mean reward 714.4481782194064, Final reward 1.5,  Reward 2206.166666666667, Record 4742.206181471474
Game 68, Game Loss 4.474783420562744, Mean Loss 84516568.0, Actions 29, Mean reward 726.995508931866, Final reward 0.5,  Reward 1567.6666666666665, Record 4742.206181471474
Game 69, Game Loss 3.0589606761932373, Mean Loss 83291696.0, Actions 5, Mean reward 716.7491972082157, Final reward 0.0,  Reward 20.0, Record 4742.206181471474
Game 70, Game Loss 1.613772988319397, Mean Loss 82101808.0, Actions 7, Mean reward 708.6742086766699, Final reward 0.5,  Reward 151.5, Record 4742.206181471474
Game 71, Game Loss 1.5832276344299316, Mean Loss 80945448.0, Actions 8, Mean reward 713.0402996342754, Final reward 1.5,  Reward 1018.6666666666666, Record 4742.206181471474
Game 72, Game Loss 1.5095927715301514, Mean Loss 79821208.0, Actions 5, Mean reward 703.8591843615771, Final reward 0.5,  Reward 52.0, Record 4742.206181471474
Game 73, Game Loss 1.447005033493042, Mean Loss 78727768.0, Actions 28, Mean reward 717.0166906423383, Final reward 0.5,  Reward 1664.3571428571427, Record 4742.206181471474
Game 74, Game Loss 2.0188589096069336, Mean Loss 77663872.0, Actions 12, Mean reward 707.8678164444689, Final reward 0.0,  Reward 40.0, Record 4742.206181471474
Game 75, Game Loss 1.6406495571136475, Mean Loss 76628360.0, Actions 5, Mean reward 697.0895788918759, Final reward 0.5,  Reward -100.5, Record 4742.206181471474
Game 76, Game Loss 2.3198249340057373, Mean Loss 75620088.0, Actions 10, Mean reward 693.6748663876596, Final reward 0.5,  Reward 437.5714285714283, Record 4742.206181471474
Game 77, Game Loss 2.8376059532165527, Mean Loss 74638008.0, Actions 25, Mean reward 705.7719095028538, Final reward 0.0,  Reward 1625.1471862576147, Record 4742.206181471474
Game 78, Game Loss 1.8363351821899414, Mean Loss 73681112.0, Actions 5, Mean reward 698.5312439964069, Final reward 1.0,  Reward 141.0, Record 4742.206181471474
Game 79, Game Loss 1.6141546964645386, Mean Loss 72748440.0, Actions 20, Mean reward 714.6553210766212, Final reward 1.0,  Reward 1972.3333333333335, Record 4742.206181471474
Game 80, Game Loss 1.7169560194015503, Mean Loss 71839088.0, Actions 34, Mean reward 760.2625745460749, Final reward 2.5,  Reward 4363.235598632921, Record 4742.206181471474
Game 81, Game Loss 6.3726606369018555, Mean Loss 70952184.0, Actions 17, Mean reward 765.7901970825432, Final reward 1.0,  Reward 1208.0, Record 4742.206181471474
Game 82, Game Loss 2.3545453548431396, Mean Loss 70086912.0, Actions 5, Mean reward 757.5976337034878, Final reward 0.5,  Reward 94.0, Record 4742.206181471474
Game 83, Game Loss 3.6014344692230225, Mean Loss 69242488.0, Actions 33, Mean reward 783.6800224231554, Final reward 1.5,  Reward 2922.4358974358993, Record 4742.206181471474
Game 84, Game Loss 2.2673680782318115, Mean Loss 68418176.0, Actions 21, Mean reward 790.3878360090268, Final reward 0.5,  Reward 1347.136363636364, Record 4742.206181471474
Game 85, Game Loss 4.770698547363281, Mean Loss 67613256.0, Actions 31, Mean reward 787.1930771540186, Final reward 1.5,  Reward 518.8333333333333, Record 4742.206181471474
Game 86, Game Loss 3.9377877712249756, Mean Loss 66827056.0, Actions 5, Mean reward 781.295483233623, Final reward 0.0,  Reward 280.0, Record 4742.206181471474
Game 87, Game Loss 3.4194858074188232, Mean Loss 66058928.0, Actions 64, Mean reward 813.9246800392438, Final reward 1.5,  Reward 3620.0356053226333, Record 4742.206181471474
Game 88, Game Loss 3.328705072402954, Mean Loss 65308260.0, Actions 25, Mean reward 824.5997783721311, Final reward 1.0,  Reward 1753.3333333333335, Record 4742.206181471474
Game 89, Game Loss 7.119889736175537, Mean Loss 64574460.0, Actions 30, Mean reward 833.0205312401491, Final reward 1.0,  Reward 1574.0467836257303, Record 4742.206181471474
Game 90, Game Loss 5.527434349060059, Mean Loss 63856964.0, Actions 23, Mean reward 847.4287687237241, Final reward 2.5,  Reward 2129.7619047619046, Record 4742.206181471474
Game 91, Game Loss 2.4378931522369385, Mean Loss 63155240.0, Actions 26, Mean reward 849.6121641114426, Final reward 0.5,  Reward 1046.1177490060918, Record 4742.206181471474
Game 92, Game Loss 3.3643369674682617, Mean Loss 62468768.0, Actions 24, Mean reward 858.8150446141864, Final reward 1.0,  Reward 1696.2771703638648, Record 4742.206181471474
Game 93, Game Loss 20.26470184326172, Mean Loss 61797064.0, Actions 10, Mean reward 863.3038912073433, Final reward 0.5,  Reward 1276.2777777777778, Record 4742.206181471474
Game 94, Game Loss 4.885036945343018, Mean Loss 61139648.0, Actions 22, Mean reward 881.9534360999365, Final reward 2.5,  Reward 2616.3611111111113, Record 4742.206181471474
Game 95, Game Loss 2.9995086193084717, Mean Loss 60496072.0, Actions 5, Mean reward 871.4065578252004, Final reward 0.0,  Reward -120.0, Record 4742.206181471474
Game 96, Game Loss 7.260014533996582, Mean Loss 59865904.0, Actions 31, Mean reward 872.3294061811879, Final reward 0.0,  Reward 960.0, Record 4742.206181471474
Game 97, Game Loss 2.7657504081726074, Mean Loss 59248728.0, Actions 12, Mean reward 867.6662164267426, Final reward 0.0,  Reward 420.0, Record 4742.206181471474
Game 98, Game Loss 3.3889784812927246, Mean Loss 58644152.0, Actions 56, Mean reward 907.9871263062187, Final reward 1.5,  Reward 4819.115384615386, Record 4819.115384615386
Game 99, Game Loss 9.546659469604492, Mean Loss 58051784.0, Actions 23, Mean reward 924.4091663804128, Final reward 2.0,  Reward 2533.7690936514473, Record 4819.115384615386
Game 100, Game Loss 8.409357070922852, Mean Loss 57471268.0, Actions 13, Mean reward 910.5650747166087, Final reward 0.0,  Reward -460.0, Record 4819.115384615386
Game 101, Game Loss 5.601382732391357, Mean Loss 56902244.0, Actions 15, Mean reward 907.6320871781603, Final reward 1.0,  Reward 614.3333333333335, Record 4819.115384615386
Game 102, Game Loss 2.085268020629883, Mean Loss 56344380.0, Actions 5, Mean reward 895.5964784803352, Final reward 0.0,  Reward -320.0, Record 4819.115384615386
Game 103, Game Loss 1.6645716428756714, Mean Loss 55797348.0, Actions 25, Mean reward 916.5471291399247, Final reward 2.0,  Reward 3053.5134964180415, Record 4819.115384615386
Game 104, Game Loss 1.450000524520874, Mean Loss 55260836.0, Actions 19, Mean reward 929.5341020106207, Final reward 1.5,  Reward 2267.1923076923076, Record 4819.115384615386
Game 105, Game Loss 1.364727258682251, Mean Loss 54734540.0, Actions 5, Mean reward 919.6337772295672, Final reward 0.5,  Reward -110.0, Record 4819.115384615386
Game 106, Game Loss 2.2353219985961914, Mean Loss 54218176.0, Actions 16, Mean reward 920.0994963123071, Final reward 0.5,  Reward 969.0, Record 4819.115384615386
Game 107, Game Loss 5.211577415466309, Mean Loss 53711464.0, Actions 17, Mean reward 918.4163234495753, Final reward 0.0,  Reward 740.0, Record 4819.115384615386
Game 108, Game Loss 1.486009120941162, Mean Loss 53214136.0, Actions 5, Mean reward 907.3198760102273, Final reward 0.0,  Reward -280.0, Record 4819.115384615386
Game 109, Game Loss 1.6345733404159546, Mean Loss 52725932.0, Actions 13, Mean reward 916.5432410621213, Final reward 1.5,  Reward 1912.6666666666665, Record 4819.115384615386
