Command main.py play --no-gui --agents imitation_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 49, Game Loss 6.549670696258545, Mean Loss 7.4469709396362305, Actions 67, Mean reward -477.55102040816325, Reward 0, Record 2400
Game 50, Game Loss 7.153072357177734, Mean Loss 7.4410929679870605, Actions 26, Mean reward -474.0, Reward -300, Record 2400
Game 51, Game Loss 6.524649143218994, Mean Loss 7.423123836517334, Actions 111, Mean reward -452.94117647058823, Reward 600, Record 2400
Game 52, Game Loss 6.725179672241211, Mean Loss 7.409701824188232, Actions 23, Mean reward -444.2307692307692, Reward 0, Record 2400
Game 53, Game Loss 7.14835786819458, Mean Loss 7.404770851135254, Actions 45, Mean reward -428.3018867924528, Reward 400, Record 2400
Game 54, Game Loss 6.84079647064209, Mean Loss 7.394326686859131, Actions 38, Mean reward -396.2962962962963, Reward 1300, Record 2400
Game 55, Game Loss 6.668010711669922, Mean Loss 7.381120681762695, Actions 51, Mean reward -374.54545454545456, Reward 800, Record 2400
Game 56, Game Loss 7.098323345184326, Mean Loss 7.376070976257324, Actions 98, Mean reward -376.7857142857143, Reward -500, Record 2400
Game 57, Game Loss 7.391369342803955, Mean Loss 7.376338958740234, Actions 17, Mean reward -377.1929824561403, Reward -400, Record 2400
Game 58, Game Loss 7.501259803771973, Mean Loss 7.378492832183838, Actions 37, Mean reward -374.13793103448273, Reward -200, Record 2400
Game 59, Game Loss 7.121405124664307, Mean Loss 7.3741350173950195, Actions 81, Mean reward -344.06779661016947, Reward 1400, Record 2400
Game 60, Game Loss 6.9595465660095215, Mean Loss 7.367225170135498, Actions 34, Mean reward -343.3333333333333, Reward -300, Record 2400
Game 61, Game Loss 6.45286750793457, Mean Loss 7.352235794067383, Actions 13, Mean reward -331.1475409836066, Reward 400, Record 2400
Game 62, Game Loss 5.818113327026367, Mean Loss 7.3274922370910645, Actions 37, Mean reward -332.258064516129, Reward -400, Record 2400
Game 63, Game Loss 6.218420028686523, Mean Loss 7.309887409210205, Actions 36, Mean reward -303.1746031746032, Reward 1500, Record 2400
Game 64, Game Loss 5.997376441955566, Mean Loss 7.289379596710205, Actions 81, Mean reward -326.5625, Reward -1800, Record 2400
Game 65, Game Loss 6.761314392089844, Mean Loss 7.281255722045898, Actions 81, Mean reward -312.3076923076923, Reward 600, Record 2400
Game 66, Game Loss 7.223302364349365, Mean Loss 7.280377388000488, Actions 41, Mean reward -286.3636363636364, Reward 1400, Record 2400
Game 67, Game Loss 7.889552116394043, Mean Loss 7.2894697189331055, Actions 6, Mean reward -280.5970149253731, Reward 100, Record 2400
Game 68, Game Loss 7.035556316375732, Mean Loss 7.285735607147217, Actions 136, Mean reward -307.3529411764706, Reward -2100, Record 2400
Game 69, Game Loss 7.39199686050415, Mean Loss 7.287275791168213, Actions 44, Mean reward -292.7536231884058, Reward 700, Record 2400
Game 70, Game Loss 6.956639766693115, Mean Loss 7.282552242279053, Actions 42, Mean reward -298.57142857142856, Reward -700, Record 2400
Game 71, Game Loss 7.707733631134033, Mean Loss 7.288540840148926, Actions 9, Mean reward -294.36619718309856, Reward 0, Record 2400
Game 72, Game Loss 6.974125385284424, Mean Loss 7.284173965454102, Actions 13, Mean reward -290.27777777777777, Reward 0, Record 2400
Game 73, Game Loss 6.762380599975586, Mean Loss 7.277026176452637, Actions 79, Mean reward -321.9178082191781, Reward -2600, Record 2400
Game 74, Game Loss 6.3632988929748535, Mean Loss 7.264678001403809, Actions 109, Mean reward -333.7837837837838, Reward -1200, Record 2400
Game 75, Game Loss 6.767365455627441, Mean Loss 7.258047580718994, Actions 79, Mean reward -340.0, Reward -800, Record 2400
Game 76, Game Loss 7.050064563751221, Mean Loss 7.255311012268066, Actions 13, Mean reward -330.2631578947368, Reward 400, Record 2400
Game 77, Game Loss 5.948731422424316, Mean Loss 7.23834228515625, Actions 70, Mean reward -329.87012987012986, Reward -300, Record 2400
Game 78, Game Loss 5.698955059051514, Mean Loss 7.218606948852539, Actions 8, Mean reward -329.4871794871795, Reward -300, Record 2400
Game 79, Game Loss 6.048985958099365, Mean Loss 7.20380163192749, Actions 9, Mean reward -325.3164556962025, Reward 0, Record 2400
Game 80, Game Loss 6.025233268737793, Mean Loss 7.1890692710876465, Actions 32, Mean reward -312.5, Reward 700, Record 2400
Game 81, Game Loss 5.786183834075928, Mean Loss 7.171750068664551, Actions 25, Mean reward -301.2345679012346, Reward 600, Record 2400
