Command main.py play --no-gui --agents simple_net_q rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 39, Game Loss 30.530296325683594, Mean Loss 454059808.0, Actions 5, Mean reward -82.78088578088577, Final reward 0.0,  Reward -280.0, Record 1384.2121212121215
Game 40, Game Loss 32.5449333190918, Mean Loss 442708320.0, Actions 5, Mean reward -87.18636363636362, Final reward 0.5,  Reward -259.0, Record 1384.2121212121215
Game 41, Game Loss 30.378093719482422, Mean Loss 431910560.0, Actions 5, Mean reward -90.91352549889135, Final reward 0.0,  Reward -240.0, Record 1384.2121212121215
Game 42, Game Loss 30.274072647094727, Mean Loss 421626976.0, Actions 5, Mean reward -94.46320346320346, Final reward 0.0,  Reward -240.0, Record 1384.2121212121215
Game 43, Game Loss 30.8576717376709, Mean Loss 411821696.0, Actions 5, Mean reward -97.84778012684988, Final reward 0.0,  Reward -240.0, Record 1384.2121212121215
Game 44, Game Loss 33.64244079589844, Mean Loss 402462112.0, Actions 5, Mean reward -101.51033057851238, Final reward 0.5,  Reward -259.0, Record 1384.2121212121215
Game 45, Game Loss 32.55134201049805, Mean Loss 393518528.0, Actions 5, Mean reward -105.47676767676766, Final reward 0.0,  Reward -280.0, Record 1384.2121212121215
Game 46, Game Loss 31.68474006652832, Mean Loss 384963776.0, Actions 5, Mean reward -103.6185770750988, Final reward 0.0,  Reward -20.0, Record 1384.2121212121215
Game 47, Game Loss 31.558643341064453, Mean Loss 376773056.0, Actions 6, Mean reward -104.39264990328819, Final reward 0.0,  Reward -140.0, Record 1384.2121212121215
Game 48, Game Loss 33.332374572753906, Mean Loss 368923616.0, Actions 5, Mean reward -107.61363636363636, Final reward 0.5,  Reward -259.0, Record 1384.2121212121215
Game 49, Game Loss 32.523746490478516, Mean Loss 361394560.0, Actions 5, Mean reward -111.1317254174397, Final reward 0.0,  Reward -280.0, Record 1384.2121212121215
Game 50, Game Loss 33.431217193603516, Mean Loss 354166656.0, Actions 5, Mean reward -114.5090909090909, Final reward 0.0,  Reward -280.0, Record 1384.2121212121215
Game 51, Game Loss 32.4359130859375, Mean Loss 347222208.0, Actions 5, Mean reward -117.86512180629828, Final reward 0.5,  Reward -285.6666666666667, Record 1384.2121212121215
Game 52, Game Loss 33.393402099609375, Mean Loss 340544864.0, Actions 5, Mean reward -120.98310023310023, Final reward 0.0,  Reward -280.0, Record 1384.2121212121215
Game 53, Game Loss 31.790443420410156, Mean Loss 334119488.0, Actions 5, Mean reward -119.45511720983419, Final reward 0.0,  Reward -40.0, Record 1384.2121212121215
Game 54, Game Loss 35.356815338134766, Mean Loss 327932096.0, Actions 5, Mean reward -123.168911335578, Final reward 0.0,  Reward -320.0, Record 1384.2121212121215
Game 55, Game Loss 29.7912540435791, Mean Loss 321969696.0, Actions 5, Mean reward -121.65674931129476, Final reward 0.0,  Reward -40.0, Record 1384.2121212121215
Game 56, Game Loss 34.200340270996094, Mean Loss 316220224.0, Actions 5, Mean reward -123.39502164502164, Final reward 0.5,  Reward -219.0, Record 1384.2121212121215
Game 57, Game Loss 34.42107391357422, Mean Loss 310672512.0, Actions 5, Mean reward -126.1424774056353, Final reward 0.0,  Reward -280.0, Record 1384.2121212121215
Game 58, Game Loss 35.74732208251953, Mean Loss 305316096.0, Actions 5, Mean reward -128.7951933124347, Final reward 0.0,  Reward -280.0, Record 1384.2121212121215
Game 59, Game Loss 35.802494049072266, Mean Loss 300141248.0, Actions 5, Mean reward -126.24781715459682, Final reward 0.5,  Reward 21.5, Record 1384.2121212121215
Game 60, Game Loss 33.9253044128418, Mean Loss 295138880.0, Actions 5, Mean reward -126.14368686868687, Final reward 0.0,  Reward -120.0, Record 1384.2121212121215
Game 61, Game Loss 31.639095306396484, Mean Loss 290300544.0, Actions 5, Mean reward -127.02657724788872, Final reward 0.0,  Reward -180.0, Record 1384.2121212121215
Game 62, Game Loss 37.98225021362305, Mean Loss 285618272.0, Actions 5, Mean reward -129.49389051808407, Final reward 0.0,  Reward -280.0, Record 1384.2121212121215
Game 63, Game Loss 40.15970230102539, Mean Loss 281084640.0, Actions 5, Mean reward -127.3908128908129, Final reward 1.0,  Reward 3.0, Record 1384.2121212121215
Game 64, Game Loss 31.729076385498047, Mean Loss 276692704.0, Actions 6, Mean reward -130.38470643939394, Final reward 0.5,  Reward -319.0, Record 1384.2121212121215
Game 65, Game Loss 32.86998748779297, Mean Loss 272435904.0, Actions 5, Mean reward -132.07109557109558, Final reward 0.0,  Reward -240.0, Record 1384.2121212121215
