Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 37, Game Loss -5.304245852775121e+18, Mean Loss -1.397032052548698e+18, Actions 19, Mean reward 753.7624622311062, Final reward 0.0,  Reward 1200.0, Record 2707.2111025509275
Game 38, Game Loss -5.700425730786066e+18, Mean Loss -1.5102792763084636e+18, Actions 14, Mean reward 741.8213448039718, Final reward 0.0,  Reward 300.0, Record 2707.2111025509275
Game 39, Game Loss -6.499393551690891e+18, Mean Loss -1.6382053926158991e+18, Actions 30, Mean reward 775.3131051936135, Final reward 0.0,  Reward 2048.0, Record 2707.2111025509275
Game 40, Game Loss -6.062320637219701e+18, Mean Loss -1.74880815347191e+18, Actions 9, Mean reward 755.9302775637732, Final reward 0.0,  Reward 0.0, Record 2707.2111025509275
Game 41, Game Loss -7.71918955252233e+18, Mean Loss -1.8944271985766564e+18, Actions 20, Mean reward 772.8100268914861, Final reward 0.0,  Reward 1448.0, Record 2707.2111025509275
Game 42, Game Loss -6.437643879163363e+18, Mean Loss -2.0025989392236544e+18, Actions 8, Mean reward 752.0288357750221, Final reward 0.0,  Reward -100.0, Record 2707.2111025509275
Game 43, Game Loss -5.981441111636312e+18, Mean Loss -2.0951301269655388e+18, Actions 7, Mean reward 729.8886302918821, Final reward 0.0,  Reward -200.0, Record 2707.2111025509275
Game 44, Game Loss -8.406791139184607e+18, Mean Loss -2.2385769494106604e+18, Actions 16, Mean reward 733.7547977852483, Final reward 0.0,  Reward 900.0, Record 2707.2111025509275
Game 45, Game Loss -8.321304110125023e+18, Mean Loss -2.373748572467233e+18, Actions 15, Mean reward 734.0713578344651, Final reward 0.0,  Reward 748.0, Record 2707.2111025509275
Game 46, Game Loss -1.0054859013662704e+19, Mean Loss -2.5407292043543183e+18, Actions 31, Mean reward 760.4611109250202, Final reward 0.0,  Reward 1948.0, Record 2707.2111025509275
Game 47, Game Loss -8.404733403173224e+18, Mean Loss -2.665495461682479e+18, Actions 8, Mean reward 746.4087468627857, Final reward 0.0,  Reward 100.0, Record 2707.2111025509275
Game 48, Game Loss -1.1339774690160804e+19, Mean Loss -2.846209543556301e+18, Actions 18, Mean reward 748.5252313031443, Final reward 0.0,  Reward 848.0, Record 2707.2111025509275
Game 49, Game Loss -1.2342175251948372e+19, Mean Loss -3.0400047901436805e+18, Actions 17, Mean reward 753.6573694398148, Final reward 0.0,  Reward 1000.0, Record 2707.2111025509275
Game 50, Game Loss -9.291749565474537e+18, Mean Loss -3.1650398780648325e+18, Actions 5, Mean reward 734.5842220510186, Final reward 0.0,  Reward -200.0, Record 2707.2111025509275
Game 51, Game Loss -1.194282163362385e+19, Mean Loss -3.3371533051082834e+18, Actions 16, Mean reward 738.2198255402143, Final reward 0.0,  Reward 920.0, Record 2707.2111025509275
Game 52, Game Loss -7.843616335635415e+18, Mean Loss -3.423815986975867e+18, Actions 5, Mean reward 720.1771365875179, Final reward 0.0,  Reward -200.0, Record 2707.2111025509275
Game 53, Game Loss -1.3160131638664888e+19, Mean Loss -3.6075201907214254e+18, Actions 22, Mean reward 735.2681340103949, Final reward 0.0,  Reward 1520.0, Record 2707.2111025509275
Game 54, Game Loss -1.154404196036903e+19, Mean Loss -3.754492734639964e+18, Actions 6, Mean reward 719.800205602795, Final reward 0.0,  Reward -100.0, Record 2707.2111025509275
Game 55, Game Loss -1.1096951945212985e+19, Mean Loss -3.887992137949643e+18, Actions 7, Mean reward 703.076565500926, Final reward 0.0,  Reward -200.0, Record 2707.2111025509275
Game 56, Game Loss -1.1142184754068062e+19, Mean Loss -4.017531375253979e+18, Actions 6, Mean reward 688.7359125455523, Final reward 0.0,  Reward -100.0, Record 2707.2111025509275
Game 57, Game Loss -1.295135197273627e+19, Mean Loss -4.1742648336480993e+18, Actions 15, Mean reward 687.1791421500163, Final reward 0.0,  Reward 600.0, Record 2707.2111025509275
Game 58, Game Loss -1.3646840356304585e+19, Mean Loss -4.3375851913263186e+18, Actions 19, Mean reward 692.5726052163953, Final reward 0.0,  Reward 1000.0, Record 2707.2111025509275
Game 59, Game Loss -9.491950841683247e+18, Mean Loss -4.4249474374670746e+18, Actions 5, Mean reward 677.4442559754394, Final reward 0.0,  Reward -200.0, Record 2707.2111025509275
Game 60, Game Loss -1.645743946701629e+19, Mean Loss -4.625488737646674e+18, Actions 17, Mean reward 678.6201850425155, Final reward 0.0,  Reward 748.0, Record 2707.2111025509275
Game 61, Game Loss -1.623259813522912e+19, Mean Loss -4.815769120437961e+18, Actions 17, Mean reward 676.4788705336218, Final reward 0.0,  Reward 548.0, Record 2707.2111025509275
Game 62, Game Loss -1.7869633510034113e+19, Mean Loss -5.026315701552415e+18, Actions 29, Mean reward 694.600179073402, Final reward 0.0,  Reward 1800.0, Record 2707.2111025509275
Game 63, Game Loss -1.9680233392353313e+19, Mean Loss -5.258917386408428e+18, Actions 21, Mean reward 696.273192103983, Final reward 0.0,  Reward 800.0, Record 2707.2111025509275
Game 64, Game Loss -2.2620778284793725e+19, Mean Loss -5.530196591794717e+18, Actions 32, Mean reward 719.7064234773583, Final reward 0.0,  Reward 2196.0, Record 2707.2111025509275
Game 65, Game Loss -2.1885543655392936e+19, Mean Loss -5.781817628787999e+18, Actions 10, Mean reward 710.1724785007835, Final reward 0.0,  Reward 100.0, Record 2707.2111025509275
Game 66, Game Loss -2.2265512883719766e+19, Mean Loss -6.031570595525689e+18, Actions 17, Mean reward 717.8971379174383, Final reward 0.0,  Reward 1220.0, Record 2707.2111025509275
Game 67, Game Loss -2.6336203996909273e+19, Mean Loss -6.334624587443077e+18, Actions 19, Mean reward 720.5553895903124, Final reward 0.0,  Reward 896.0, Record 2707.2111025509275
Game 68, Game Loss -2.739655761757366e+19, Mean Loss -6.644359212010832e+18, Actions 20, Mean reward 731.2531044492783, Final reward 0.0,  Reward 1448.0, Record 2707.2111025509275
Game 69, Game Loss -2.948118548434859e+19, Mean Loss -6.975327605134197e+18, Actions 26, Mean reward 742.1045087326222, Final reward 0.0,  Reward 1480.0, Record 2707.2111025509275
Game 70, Game Loss -2.2681680233856238e+19, Mean Loss -7.199704393258631e+18, Actions 6, Mean reward 730.0744443221562, Final reward 0.0,  Reward -100.0, Record 2707.2111025509275
Game 71, Game Loss -3.4081451975009894e+19, Mean Loss -7.578320122771669e+18, Actions 31, Mean reward 751.0593113035342, Final reward 0.0,  Reward 2220.0, Record 2707.2111025509275
Game 72, Game Loss -3.49168015361662e+19, Mean Loss -7.958021070261322e+18, Actions 17, Mean reward 751.0168208687629, Final reward 0.0,  Reward 748.0, Record 2707.2111025509275
Game 73, Game Loss -3.355673863795612e+19, Mean Loss -8.308688313707921e+18, Actions 14, Mean reward 744.8385082541223, Final reward 0.0,  Reward 300.0, Record 2707.2111025509275
Game 74, Game Loss -3.70178165242415e+19, Mean Loss -8.696649892057055e+18, Actions 16, Mean reward 749.3677176020395, Final reward 0.0,  Reward 1080.0, Record 2707.2111025509275
Game 75, Game Loss -4.179947824423004e+19, Mean Loss -9.138020247725408e+18, Actions 32, Mean reward 766.682814700679, Final reward 0.0,  Reward 2048.0, Record 2707.2111025509275
Game 76, Game Loss -4.0284056552038466e+19, Mean Loss -9.547836818699846e+18, Actions 8, Mean reward 757.910672401986, Final reward 0.0,  Reward 100.0, Record 2707.2111025509275
Game 77, Game Loss -4.767346518399543e+19, Mean Loss -1.00429754919897e+19, Actions 18, Mean reward 761.6780662668951, Final reward 0.0,  Reward 1048.0, Record 2707.2111025509275
Game 78, Game Loss -4.2442164780897665e+19, Mean Loss -1.0458348994730918e+19, Actions 19, Mean reward 769.6052705455247, Final reward 0.0,  Reward 1380.0, Record 2707.2111025509275
Game 79, Game Loss -4.881233932804581e+19, Mean Loss -1.0943842752021922e+19, Actions 18, Mean reward 768.0659633234295, Final reward 0.0,  Reward 648.0, Record 2707.2111025509275
Game 80, Game Loss -4.816448948477415e+19, Mean Loss -1.1409101097315336e+19, Actions 10, Mean reward 762.4651387818866, Final reward 0.0,  Reward 320.0, Record 2707.2111025509275
Game 81, Game Loss -3.816292270019812e+19, Mean Loss -1.1739395489810874e+19, Actions 5, Mean reward 750.5828531179127, Final reward 0.0,  Reward -200.0, Record 2707.2111025509275
Game 82, Game Loss -5.353228765939053e+19, Mean Loss -1.2249065308773417e+19, Actions 30, Mean reward 768.8440378359869, Final reward 0.0,  Reward 2248.0, Record 2707.2111025509275
Game 83, Game Loss -5.6434884007509885e+19, Mean Loss -1.2781424649686745e+19, Actions 31, Mean reward 785.845916898204, Final reward 0.0,  Reward 2180.0, Record 2707.2111025509275
