Command main.py play --no-gui --agents ppo_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 38, Game Loss -2175608570249216.0, Mean Loss -788895633506304.0, Actions 21, Mean reward 2539.565001408362, Final reward 0.5,  Reward 2006.0, Record 8014.5
Game 39, Game Loss -932690266161152.0, Mean Loss -792582661603328.0, Actions 39, Mean reward 2582.5871442293933, Final reward 2.0,  Reward 4217.428571428571, Record 8014.5
Game 40, Game Loss -1659793466982400.0, Mean Loss -814262985424896.0, Actions 41, Mean reward 2621.2141322903253, Final reward 1.0,  Reward 4127.666666666667, Record 8014.5
Game 41, Game Loss -5002392433065984.0, Mean Loss -916412474327040.0, Actions 27, Mean reward 2622.7386661058435, Final reward 0.5,  Reward 2683.7200187265885, Record 8014.5
Game 42, Game Loss -1636644801216512.0, Mean Loss -933560869453824.0, Actions 38, Mean reward 2648.7741923707226, Final reward 0.5,  Reward 3716.2307692307695, Record 8014.5
Game 43, Game Loss -5545447561101312.0, Mean Loss -1040813987463168.0, Actions 58, Mean reward 2721.4052365227776, Final reward 0.5,  Reward 5771.909090909094, Record 8014.5
Game 44, Game Loss -5274618734575616.0, Mean Loss -1137036891258880.0, Actions 27, Mean reward 2720.8960266018057, Final reward 1.0,  Reward 2699.0, Record 8014.5
Game 45, Game Loss -6641660653993984.0, Mean Loss -1259361854816256.0, Actions 12, Mean reward 2686.34278156621, Final reward 0.5,  Reward 1166.0, Record 8014.5
Game 46, Game Loss -9117513342255104.0, Mean Loss -1430191226224640.0, Actions 33, Mean reward 2697.944025445205, Final reward 0.0,  Reward 3220.0, Record 8014.5
Game 47, Game Loss -8565520924147712.0, Mean Loss -1582006777413632.0, Actions 7, Mean reward 2655.08351426552, Final reward 0.5,  Reward 683.5, Record 8014.5
Game 48, Game Loss -8733036996722688.0, Mean Loss -1730986576445440.0, Actions 16, Mean reward 2635.7692743849884, Final reward 1.5,  Reward 1728.0, Record 8014.5
Game 49, Game Loss -3203974198984704.0, Mean Loss -1761047589421056.0, Actions 47, Mean reward 2681.3250034791727, Final reward 1.0,  Reward 4868.0, Record 8014.5
Game 50, Game Loss -8333663020253184.0, Mean Loss -1892499895353344.0, Actions 16, Mean reward 2657.698503409589, Final reward 0.0,  Reward 1500.0, Record 8014.5
Game 51, Game Loss -4070381845479424.0, Mean Loss -1935203413000192.0, Actions 15, Mean reward 2636.378301366484, Final reward 0.5,  Reward 1570.3681992112188, Record 8014.5
Game 52, Game Loss -1.10685602185216e+16, Mean Loss -2110844892610560.0, Actions 42, Mean reward 2665.8026502718294, Final reward 1.0,  Reward 4166.444444444444, Record 8014.5
Game 53, Game Loss -1.1422119778844672e+16, Mean Loss -2286529456111616.0, Actions 15, Mean reward 2643.9276676521454, Final reward 1.0,  Reward 1506.4285714285716, Record 8014.5
Game 54, Game Loss -1.1543453678698496e+16, Mean Loss -2457953948925952.0, Actions 35, Mean reward 2664.913575041303, Final reward 1.5,  Reward 3777.1666666666665, Record 8014.5
Game 55, Game Loss -4113647735406592.0, Mean Loss -2488057643139072.0, Actions 29, Mean reward 2670.3211676556643, Final reward 1.5,  Reward 2962.3311688311687, Record 8014.5
Game 56, Game Loss -4487634965495808.0, Mean Loss -2523764122189824.0, Actions 24, Mean reward 2667.922575376099, Final reward 1.5,  Reward 2536.0, Record 8014.5
Game 57, Game Loss -1.1226043784364032e+16, Mean Loss -2676435714048000.0, Actions 15, Mean reward 2646.687091597571, Final reward 0.5,  Reward 1457.5, Record 8014.5
Game 58, Game Loss -1.0259684732698624e+16, Mean Loss -2807181497860096.0, Actions 17, Mean reward 2630.400090357311, Final reward 0.5,  Reward 1702.0410196624969, Record 8014.5
Game 59, Game Loss -6110295890067456.0, Mean Loss -2863166396563456.0, Actions 39, Mean reward 2661.0373769614243, Final reward 4.0,  Reward 4438.0, Record 8014.5
Game 60, Game Loss -1.8014060280807424e+16, Mean Loss -3115681214103552.0, Actions 12, Mean reward 2635.0200873454005, Final reward 0.0,  Reward 1100.0, Record 8014.5
Game 61, Game Loss -7133432798773248.0, Mean Loss -3181545879764992.0, Actions 11, Mean reward 2610.273856405312, Final reward 0.5,  Reward 1125.5, Record 8014.5
Game 62, Game Loss -1.438364146335744e+16, Mean Loss -3362224684924928.0, Actions 30, Mean reward 2619.0719809109933, Final reward 2.0,  Reward 3155.7575757575755, Record 8014.5
Game 63, Game Loss -9837972631322624.0, Mean Loss -3465014258171904.0, Actions 28, Mean reward 2622.640399514647, Final reward 0.5,  Reward 2843.8823529411757, Record 8014.5
Game 64, Game Loss -7876627497222144.0, Mean Loss -3533945798918144.0, Actions 16, Mean reward 2606.012629091347, Final reward 0.5,  Reward 1558.4630924234552, Record 8014.5
Game 65, Game Loss -1.73133084491776e+16, Mean Loss -3745935989407744.0, Actions 15, Mean reward 2587.7662809514804, Final reward 0.0,  Reward 1420.0, Record 8014.5
Game 66, Game Loss -9229881497878528.0, Mean Loss -3829026158280704.0, Actions 6, Mean reward 2557.088003967367, Final reward 0.5,  Reward 563.0, Record 8014.5
Game 67, Game Loss -8940922003783680.0, Mean Loss -3905323031068672.0, Actions 13, Mean reward 2537.049377042481, Final reward 0.5,  Reward 1214.5, Record 8014.5
Game 68, Game Loss -2.027059422219469e+16, Mean Loss -4145988839145472.0, Actions 14, Mean reward 2518.8574744389152, Final reward 0.0,  Reward 1300.0, Record 8014.5
Game 69, Game Loss -1.7239707742109696e+16, Mean Loss -4335752842313728.0, Actions 47, Mean reward 2557.8555142618616, Final reward 2.5,  Reward 5209.722222222223, Record 8014.5
Game 70, Game Loss -2.866121011940557e+16, Mean Loss -4683259183104000.0, Actions 27, Mean reward 2558.457578343835, Final reward 0.0,  Reward 2600.0, Record 8014.5
Game 71, Game Loss -5.25071520146391e+16, Mean Loss -5356835146039296.0, Actions 11, Mean reward 2536.789161747443, Final reward 0.0,  Reward 1020.0, Record 8014.5
Game 72, Game Loss -1.5796625574199296e+16, Mean Loss -5501832168210432.0, Actions 40, Mean reward 2555.555978945395, Final reward 0.5,  Reward 3888.0, Record 8014.5
Game 73, Game Loss -8.044490925277184e+16, Mean Loss -6528449611038720.0, Actions 8, Mean reward 2530.529672961575, Final reward 0.0,  Reward 728.6356421265527, Record 8014.5
Game 74, Game Loss -4.081048289384858e+16, Mean Loss -6991720352841728.0, Actions 9, Mean reward 2508.2310094273457, Final reward 1.0,  Reward 880.4285714285714, Record 8014.5
Game 75, Game Loss -7.30404285841408e+16, Mean Loss -7872369574019072.0, Actions 7, Mean reward 2484.0368181905365, Final reward 1.0,  Reward 693.6666666666667, Record 8014.5
Game 76, Game Loss -7.212469001702605e+16, Mean Loss -8717794157789184.0, Actions 11, Mean reward 2464.5100179511874, Final reward 0.0,  Reward 1000.0, Record 8014.5
Game 77, Game Loss -1.0116754663538688e+16, Mean Loss -8735962406322176.0, Actions 14, Mean reward 2450.776121614159, Final reward 0.5,  Reward 1407.0, Record 8014.5
Game 78, Game Loss -5.602174522779238e+16, Mean Loss -9342190597701632.0, Actions 12, Mean reward 2433.9200174909006, Final reward 0.5,  Reward 1136.0, Record 8014.5
Game 79, Game Loss -1.5691508397113344e+16, Mean Loss -9422562320711680.0, Actions 10, Mean reward 2416.7691311935473, Final reward 1.5,  Reward 1079.0, Record 8014.5
Game 80, Game Loss -2.401045847002317e+16, Mean Loss -9604910525972480.0, Actions 22, Mean reward 2412.809517053628, Final reward 0.0,  Reward 2100.0, Record 8014.5
Game 81, Game Loss -1.2100545296728064e+16, Mean Loss -9635721547612160.0, Actions 11, Mean reward 2397.6287411229246, Final reward 1.5,  Reward 1183.1666666666667, Record 8014.5
Game 82, Game Loss -1.1425785533431808e+17, Mean Loss -1.091160063868928e+16, Actions 5, Mean reward 2373.2674150116695, Final reward 0.0,  Reward 400.0, Record 8014.5
Game 83, Game Loss -3.3197996959072256e+16, Mean Loss -1.118011125661696e+16, Actions 53, Mean reward 2407.643711216348, Final reward 0.5,  Reward 5226.5, Record 8014.5
Game 84, Game Loss -6.372882352229581e+16, Mean Loss -1.1805691496890368e+16, Actions 16, Mean reward 2396.838428939963, Final reward 0.0,  Reward 1500.0, Record 8014.5
Game 85, Game Loss -1.5550631322320896e+16, Mean Loss -1.1849749271412736e+16, Actions 35, Mean reward 2411.328098216673, Final reward 1.0,  Reward 3628.460317460317, Record 8014.5
Game 86, Game Loss -1.6471028855209984e+16, Mean Loss -1.1903484680994816e+16, Actions 25, Mean reward 2415.3910365374136, Final reward 3.5,  Reward 2760.7407938003585, Record 8014.5
Game 87, Game Loss -1.5765974540091392e+16, Mean Loss -1.1947880684191744e+16, Actions 13, Mean reward 2402.7830935887077, Final reward 0.5,  Reward 1318.5, Record 8014.5
Game 88, Game Loss -1.4786166872080384e+16, Mean Loss -1.1980133741101056e+16, Actions 26, Mean reward 2415.1605584342906, Final reward 3.0,  Reward 3492.0, Record 8014.5
Game 89, Game Loss -4.962718316914278e+16, Mean Loss -1.240313540640768e+16, Actions 30, Mean reward 2420.83291171031, Final reward 0.0,  Reward 2920.0, Record 8014.5
Game 90, Game Loss -3.4991317603844096e+16, Mean Loss -1.2654115041574912e+16, Actions 47, Mean reward 2453.4184066357634, Final reward 2.0,  Reward 5353.527455001139, Record 8014.5
Game 91, Game Loss -9.533250285128909e+16, Mean Loss -1.356266920214528e+16, Actions 11, Mean reward 2437.9467757936122, Final reward 0.5,  Reward 1045.5, Record 8014.5
Game 92, Game Loss -4.88863957998633e+16, Mean Loss -1.3946622098538496e+16, Actions 13, Mean reward 2426.6321369262905, Final reward 1.0,  Reward 1397.0, Record 8014.5
Game 93, Game Loss -1.7244663060627456e+17, Mean Loss -1.5650923103649792e+16, Actions 6, Mean reward 2405.915662335685, Final reward 0.0,  Reward 500.0, Record 8014.5
Game 94, Game Loss -4.241509985550336e+16, Mean Loss -1.5935647223119872e+16, Actions 18, Mean reward 2398.714431885305, Final reward 0.5,  Reward 1729.0, Record 8014.5
Game 95, Game Loss -6.489488137335603e+16, Mean Loss -1.6451006791417856e+16, Actions 9, Mean reward 2381.885858918092, Final reward 0.0,  Reward 800.0, Record 8014.5
Game 96, Game Loss -4.224775074978202e+16, Mean Loss -1.6719723567775744e+16, Actions 14, Mean reward 2372.312973813621, Final reward 1.0,  Reward 1462.888888888889, Record 8014.5
Game 97, Game Loss -8.320183158020506e+16, Mean Loss -1.7405105858936832e+16, Actions 18, Mean reward 2365.5880977949237, Final reward 0.0,  Reward 1720.0, Record 8014.5
Game 98, Game Loss -1.4452331304819098e+17, Mean Loss -1.870222893200179e+16, Actions 9, Mean reward 2350.754108458824, Final reward 1.0,  Reward 911.8571428571429, Record 8014.5
Game 99, Game Loss -2.3825583750250496e+16, Mean Loss -1.8753981140434944e+16, Actions 15, Mean reward 2342.3222487774215, Final reward 0.0,  Reward 1516.0, Record 8014.5
Game 100, Game Loss -6.005103443679642e+16, Mean Loss -1.9166952983363584e+16, Actions 56, Mean reward 2373.8990262896473, Final reward 0.0,  Reward 5500.0, Record 8014.5
Game 101, Game Loss -5.070201161986867e+16, Mean Loss -1.94791799259136e+16, Actions 34, Mean reward 2384.527088735624, Final reward 1.0,  Reward 3447.3333333333335, Record 8014.5
