Command main.py play --no-gui --agents simple_net_q rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 38, Game Loss 7.711543083190918, Mean Loss 109649128.0, Actions 43, Mean reward 829.0614118385963, Final reward 0.0,  Reward 2240.0, Record 7168.460466362905
Game 39, Game Loss 10.317414283752441, Mean Loss 106837608.0, Actions 39, Mean reward 865.8639414538568, Final reward 2.5,  Reward 2264.3600668337517, Record 7168.460466362905
Game 40, Game Loss 11.220938682556152, Mean Loss 104166672.0, Actions 30, Mean reward 880.7173429175103, Final reward 0.0,  Reward 1460.0, Record 7168.460466362905
Game 41, Game Loss 12.771280288696289, Mean Loss 101626016.0, Actions 26, Mean reward 911.1951847441286, Final reward 2.5,  Reward 2130.308857808858, Record 7168.460466362905
Game 42, Game Loss 17.422164916992188, Mean Loss 99206352.0, Actions 11, Mean reward 898.4048232026017, Final reward 0.5,  Reward 374.0, Record 7168.460466362905
Game 43, Game Loss 14.890103340148926, Mean Loss 96899224.0, Actions 15, Mean reward 882.2675017327738, Final reward 0.5,  Reward 204.5, Record 7168.460466362905
Game 44, Game Loss 11.269327163696289, Mean Loss 94696968.0, Actions 30, Mean reward 925.4649919367349, Final reward 2.5,  Reward 2782.9570707070707, Record 7168.460466362905
Game 45, Game Loss 22.139453887939453, Mean Loss 92592592.0, Actions 9, Mean reward 919.6546587825853, Final reward 0.5,  Reward 664.0, Record 7168.460466362905
Game 46, Game Loss 19.382190704345703, Mean Loss 90579712.0, Actions 30, Mean reward 920.639768308392, Final reward 2.0,  Reward 964.9696969696972, Record 7168.460466362905
Game 47, Game Loss 12.813508987426758, Mean Loss 88652488.0, Actions 12, Mean reward 919.7502696919015, Final reward 0.5,  Reward 878.8333333333335, Record 7168.460466362905
Game 48, Game Loss 17.459300994873047, Mean Loss 86805560.0, Actions 8, Mean reward 901.8388057399869, Final reward 0.0,  Reward 60.0, Record 7168.460466362905
Game 49, Game Loss 14.395223617553711, Mean Loss 85034016.0, Actions 14, Mean reward 896.0869933779463, Final reward 0.0,  Reward 620.0, Record 7168.460466362905
