Command main.py play --no-gui --agents ppo_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 42, Game Loss -32801650900992.0, Mean Loss -5930830790656.0, Actions 5, Mean reward 447.5833333333333, Final reward 0.0,  Reward 400.0, Record 949.0
Game 43, Game Loss -36345779060736.0, Mean Loss -6638155071488.0, Actions 5, Mean reward 446.4767441860465, Final reward 0.0,  Reward 400.0, Record 949.0
Game 44, Game Loss -31436585304064.0, Mean Loss -7201755758592.0, Actions 6, Mean reward 450.0113636363636, Final reward 1.0,  Reward 602.0, Record 949.0
Game 45, Game Loss -44588945375232.0, Mean Loss -8032581844992.0, Actions 5, Mean reward 449.4, Final reward 0.5,  Reward 422.5, Record 949.0
Game 46, Game Loss -44933788467200.0, Mean Loss -8834782330880.0, Actions 5, Mean reward 448.32608695652175, Final reward 0.0,  Reward 400.0, Record 949.0
Game 47, Game Loss -46993195925504.0, Mean Loss -9646663270400.0, Actions 5, Mean reward 447.77659574468083, Final reward 0.5,  Reward 422.5, Record 949.0
Game 48, Game Loss -55409666686976.0, Mean Loss -10600058978304.0, Actions 5, Mean reward 446.78125, Final reward 0.0,  Reward 400.0, Record 949.0
Game 49, Game Loss -65987122561024.0, Mean Loss -11730407129088.0, Actions 5, Mean reward 446.2857142857143, Final reward 0.5,  Reward 422.5, Record 949.0
Game 50, Game Loss -40861056368640.0, Mean Loss -12313020071936.0, Actions 7, Mean reward 449.76, Final reward 0.0,  Reward 620.0, Record 949.0
Game 51, Game Loss -62826458644480.0, Mean Loss -13303479795712.0, Actions 5, Mean reward 449.22549019607845, Final reward 0.5,  Reward 422.5, Record 949.0
Game 52, Game Loss -94991665856512.0, Mean Loss -14874406027264.0, Actions 5, Mean reward 448.71153846153845, Final reward 0.5,  Reward 422.5, Record 949.0
Game 53, Game Loss -99056978231296.0, Mean Loss -16462756446208.0, Actions 5, Mean reward 448.2169811320755, Final reward 0.5,  Reward 422.5, Record 949.0
Game 54, Game Loss -102283127816192.0, Mean Loss -18052022272000.0, Actions 5, Mean reward 447.3240740740741, Final reward 0.0,  Reward 400.0, Record 949.0
Game 55, Game Loss -103000118919168.0, Mean Loss -19596532776960.0, Actions 5, Mean reward 446.46363636363634, Final reward 0.0,  Reward 400.0, Record 949.0
Game 56, Game Loss -111882136453120.0, Mean Loss -21244489498624.0, Actions 5, Mean reward 445.63392857142856, Final reward 0.0,  Reward 400.0, Record 949.0
Game 57, Game Loss -102529216020480.0, Mean Loss -22670538178560.0, Actions 6, Mean reward 446.5877192982456, Final reward 0.0,  Reward 500.0, Record 949.0
Game 58, Game Loss -131075221225472.0, Mean Loss -24539582955520.0, Actions 5, Mean reward 447.25, Final reward 1.0,  Reward 485.0, Record 949.0
Game 59, Game Loss -123714360311808.0, Mean Loss -26220511100928.0, Actions 5, Mean reward 446.7881355932203, Final reward 0.0,  Reward 420.0, Record 949.0
Game 60, Game Loss -118872086675456.0, Mean Loss -27764704935936.0, Actions 6, Mean reward 447.675, Final reward 0.0,  Reward 500.0, Record 949.0
Game 61, Game Loss -150720720404480.0, Mean Loss -29780376289280.0, Actions 6, Mean reward 448.5327868852459, Final reward 0.0,  Reward 500.0, Record 949.0
Game 62, Game Loss -183936940507136.0, Mean Loss -32266772283392.0, Actions 5, Mean reward 447.75, Final reward 0.0,  Reward 400.0, Record 949.0
Game 63, Game Loss -115889466769408.0, Mean Loss -33594118504448.0, Actions 7, Mean reward 450.1666666666667, Final reward 0.0,  Reward 600.0, Record 949.0
Game 64, Game Loss -162344478965760.0, Mean Loss -35605840920576.0, Actions 6, Mean reward 450.9453125, Final reward 0.0,  Reward 500.0, Record 949.0
Game 65, Game Loss -181803113512960.0, Mean Loss -37855028051968.0, Actions 7, Mean reward 453.6, Final reward 0.5,  Reward 623.5, Record 949.0
Game 66, Game Loss -217760294502400.0, Mean Loss -40580864278528.0, Actions 6, Mean reward 454.3030303030303, Final reward 0.0,  Reward 500.0, Record 949.0
Game 67, Game Loss -239130659258368.0, Mean Loss -43544295243776.0, Actions 5, Mean reward 453.7910447761194, Final reward 0.0,  Reward 420.0, Record 949.0
Game 68, Game Loss -229298539593728.0, Mean Loss -46275974135808.0, Actions 5, Mean reward 453.29411764705884, Final reward 0.0,  Reward 420.0, Record 949.0
Game 69, Game Loss -293274224951296.0, Mean Loss -49855661604864.0, Actions 5, Mean reward 452.5217391304348, Final reward 0.0,  Reward 400.0, Record 949.0
Game 70, Game Loss -243030271459328.0, Mean Loss -52615295533056.0, Actions 5, Mean reward 452.09285714285716, Final reward 0.5,  Reward 422.5, Record 949.0
Game 71, Game Loss -231193509363712.0, Mean Loss -55130485424128.0, Actions 5, Mean reward 451.67605633802816, Final reward 0.5,  Reward 422.5, Record 949.0
Game 72, Game Loss -208513431240704.0, Mean Loss -57260801785856.0, Actions 7, Mean reward 454.0625, Final reward 0.5,  Reward 623.5, Record 949.0
Game 73, Game Loss -327348247330816.0, Mean Loss -60960630898688.0, Actions 5, Mean reward 453.32191780821915, Final reward 0.0,  Reward 400.0, Record 949.0
Game 74, Game Loss -383881693888512.0, Mean Loss -65324426723328.0, Actions 5, Mean reward 452.60135135135135, Final reward 0.0,  Reward 400.0, Record 949.0
Game 75, Game Loss -377446893355008.0, Mean Loss -69486065483776.0, Actions 5, Mean reward 452.6444444444445, Final reward 0.5,  Reward 455.8333333333333, Record 949.0
Game 76, Game Loss -460663495327744.0, Mean Loss -74633134997504.0, Actions 5, Mean reward 451.95175438596493, Final reward 0.0,  Reward 400.0, Record 949.0
Game 77, Game Loss -488905019228160.0, Mean Loss -80013294567424.0, Actions 5, Mean reward 451.5692640692641, Final reward 0.5,  Reward 422.5, Record 949.0
Game 78, Game Loss -490056338898944.0, Mean Loss -85270259040256.0, Actions 5, Mean reward 450.9081196581197, Final reward 0.0,  Reward 400.0, Record 949.0
Game 79, Game Loss -423847908081664.0, Mean Loss -89556049199104.0, Actions 5, Mean reward 451.05485232067514, Final reward 0.5,  Reward 462.5, Record 949.0
Game 80, Game Loss -464349516791808.0, Mean Loss -94240960937984.0, Actions 5, Mean reward 451.11458333333337, Final reward 0.5,  Reward 455.8333333333333, Record 949.0
Game 81, Game Loss -609668795727872.0, Mean Loss -100604273754112.0, Actions 5, Mean reward 450.76131687242804, Final reward 0.5,  Reward 422.5, Record 949.0
Game 82, Game Loss -594339654795264.0, Mean Loss -106625440415744.0, Actions 5, Mean reward 450.14227642276427, Final reward 0.0,  Reward 400.0, Record 949.0
Game 83, Game Loss -472151257776128.0, Mean Loss -111029367341056.0, Actions 5, Mean reward 449.53815261044184, Final reward 0.0,  Reward 400.0, Record 949.0
Game 84, Game Loss -497484484837376.0, Mean Loss -115630032289792.0, Actions 5, Mean reward 448.94841269841277, Final reward 0.0,  Reward 400.0, Record 949.0
Game 85, Game Loss -557245599318016.0, Mean Loss -120825499877376.0, Actions 6, Mean reward 449.5490196078432, Final reward 0.0,  Reward 500.0, Record 949.0
Game 86, Game Loss -711204708286464.0, Mean Loss -127690375954432.0, Actions 5, Mean reward 448.9728682170543, Final reward 0.0,  Reward 400.0, Record 949.0
Game 87, Game Loss -789642555162624.0, Mean Loss -135299019571200.0, Actions 5, Mean reward 448.4099616858238, Final reward 0.0,  Reward 400.0, Record 949.0
Game 88, Game Loss -743826863947776.0, Mean Loss -142214118244352.0, Actions 5, Mean reward 448.49431818181824, Final reward 0.5,  Reward 455.8333333333333, Record 949.0
Game 89, Game Loss -813268499169280.0, Mean Loss -149754050772992.0, Actions 5, Mean reward 447.9494382022473, Final reward 0.0,  Reward 400.0, Record 949.0
Game 90, Game Loss -671909716951040.0, Mean Loss -155555779837952.0, Actions 6, Mean reward 448.5277777777779, Final reward 0.0,  Reward 500.0, Record 949.0
Game 91, Game Loss -826125215334400.0, Mean Loss -162924668649472.0, Actions 5, Mean reward 448.2142857142858, Final reward 0.0,  Reward 420.0, Record 949.0
Game 92, Game Loss -883870782193664.0, Mean Loss -170761054584832.0, Actions 5, Mean reward 448.2608695652175, Final reward 0.5,  Reward 452.5, Record 949.0
Game 93, Game Loss -973368639619072.0, Mean Loss -179391237718016.0, Actions 5, Mean reward 447.74193548387103, Final reward 0.0,  Reward 400.0, Record 949.0
Game 94, Game Loss -1083960826265600.0, Mean Loss -189014313271296.0, Actions 5, Mean reward 447.23404255319156, Final reward 0.0,  Reward 400.0, Record 949.0
Game 95, Game Loss -807640749834240.0, Mean Loss -195526171557888.0, Actions 5, Mean reward 446.9736842105264, Final reward 0.5,  Reward 422.5, Record 949.0
Game 96, Game Loss -1117780808040448.0, Mean Loss -205132989988864.0, Actions 5, Mean reward 446.48437500000006, Final reward 0.0,  Reward 400.0, Record 949.0
Game 97, Game Loss -1163122643566592.0, Mean Loss -215009166622720.0, Actions 5, Mean reward 446.44329896907226, Final reward 0.5,  Reward 442.5, Record 949.0
Game 98, Game Loss -1015771576664064.0, Mean Loss -223180224462848.0, Actions 5, Mean reward 446.1989795918368, Final reward 0.5,  Reward 422.5, Record 949.0
Game 99, Game Loss -1253933687242752.0, Mean Loss -233591862722560.0, Actions 5, Mean reward 445.7323232323233, Final reward 0.0,  Reward 400.0, Record 949.0
Game 100, Game Loss -1236553699426304.0, Mean Loss -243621483773952.0, Actions 5, Mean reward 445.2750000000001, Final reward 0.0,  Reward 400.0, Record 949.0
Game 101, Game Loss -1003855793881088.0, Mean Loss -251148548177920.0, Actions 5, Mean reward 444.8267326732674, Final reward 0.0,  Reward 400.0, Record 949.0
Game 102, Game Loss -1045887686017024.0, Mean Loss -258940105392128.0, Actions 5, Mean reward 444.38725490196083, Final reward 0.0,  Reward 400.0, Record 949.0
Game 103, Game Loss -1278511906029568.0, Mean Loss -268838847381504.0, Actions 5, Mean reward 444.1504854368933, Final reward 0.0,  Reward 420.0, Record 949.0
Game 104, Game Loss -1503561615671296.0, Mean Loss -280711177175040.0, Actions 5, Mean reward 443.7259615384616, Final reward 0.0,  Reward 400.0, Record 949.0
Game 105, Game Loss -1221892962779136.0, Mean Loss -289674807476224.0, Actions 6, Mean reward 444.2619047619048, Final reward 0.0,  Reward 500.0, Record 949.0
Game 106, Game Loss -1521326674149376.0, Mean Loss -301294170406912.0, Actions 5, Mean reward 443.8443396226416, Final reward 0.0,  Reward 400.0, Record 949.0
Game 107, Game Loss -1183252484194304.0, Mean Loss -309536783073280.0, Actions 5, Mean reward 443.95638629283496, Final reward 0.5,  Reward 455.8333333333333, Record 949.0
Game 108, Game Loss -1657649741430784.0, Mean Loss -322019300212736.0, Actions 5, Mean reward 443.5493827160495, Final reward 0.0,  Reward 400.0, Record 949.0
Game 109, Game Loss -1757797909790720.0, Mean Loss -335191595810816.0, Actions 5, Mean reward 443.1498470948013, Final reward 0.0,  Reward 400.0, Record 949.0
Game 110, Game Loss -1752341690712064.0, Mean Loss -348074786422784.0, Actions 5, Mean reward 443.3257575757577, Final reward 0.5,  Reward 462.5, Record 949.0
Game 111, Game Loss -1513842156765184.0, Mean Loss -358577189421056.0, Actions 5, Mean reward 442.9354354354355, Final reward 0.0,  Reward 400.0, Record 949.0
Game 112, Game Loss -1520138310385664.0, Mean Loss -368948260372480.0, Actions 6, Mean reward 443.44494047619054, Final reward 0.0,  Reward 500.0, Record 949.0
Game 113, Game Loss -2171419098087424.0, Mean Loss -384899332702208.0, Actions 5, Mean reward 443.0604719764013, Final reward 0.0,  Reward 400.0, Record 949.0
Game 114, Game Loss -2192174661763072.0, Mean Loss -400752627417088.0, Actions 5, Mean reward 442.68274853801177, Final reward 0.0,  Reward 400.0, Record 949.0
Game 115, Game Loss -1814490001702912.0, Mean Loss -413045998223360.0, Actions 5, Mean reward 442.5072463768117, Final reward 0.5,  Reward 422.5, Record 949.0
Game 116, Game Loss -1477604309729280.0, Mean Loss -422223236038656.0, Actions 5, Mean reward 442.1408045977012, Final reward 0.0,  Reward 400.0, Record 949.0
Game 117, Game Loss -2189748676329472.0, Mean Loss -437330313740288.0, Actions 5, Mean reward 441.78062678062685, Final reward 0.0,  Reward 400.0, Record 949.0
Game 118, Game Loss -1735491326050304.0, Mean Loss -448331704696832.0, Actions 5, Mean reward 441.42655367231646, Final reward 0.0,  Reward 400.0, Record 949.0
Game 119, Game Loss -2474514537512960.0, Mean Loss -465358431453184.0, Actions 5, Mean reward 441.24649859943986, Final reward 0.0,  Reward 420.0, Record 949.0
Game 120, Game Loss -2762901458780160.0, Mean Loss -484504623906816.0, Actions 5, Mean reward 440.9027777777779, Final reward 0.0,  Reward 400.0, Record 949.0
Game 121, Game Loss -1981961648209920.0, Mean Loss -496880303734784.0, Actions 5, Mean reward 440.5647382920111, Final reward 0.0,  Reward 400.0, Record 949.0
Game 122, Game Loss -1829369647464448.0, Mean Loss -507802338459648.0, Actions 5, Mean reward 440.23224043715857, Final reward 0.0,  Reward 400.0, Record 949.0
Game 123, Game Loss -2347375452487680.0, Mean Loss -522758219890688.0, Actions 5, Mean reward 440.0880758807589, Final reward 0.5,  Reward 422.5, Record 949.0
Game 124, Game Loss -2736646323699712.0, Mean Loss -540612130504704.0, Actions 5, Mean reward 439.76478494623666, Final reward 0.0,  Reward 400.0, Record 949.0
Game 125, Game Loss -2182681039208448.0, Mean Loss -553748690632704.0, Actions 5, Mean reward 439.4466666666668, Final reward 0.0,  Reward 400.0, Record 949.0
Game 126, Game Loss -2418279456964608.0, Mean Loss -568546564243456.0, Actions 5, Mean reward 439.3121693121694, Final reward 0.5,  Reward 422.5, Record 949.0
Game 127, Game Loss -3007049680027648.0, Mean Loss -587747416866816.0, Actions 5, Mean reward 439.1601049868767, Final reward 0.0,  Reward 420.0, Record 949.0
Game 128, Game Loss -2279953055875072.0, Mean Loss -600967728857088.0, Actions 6, Mean reward 439.79166666666674, Final reward 0.0,  Reward 520.0, Record 949.0
Game 129, Game Loss -3158353861672960.0, Mean Loss -620792425480192.0, Actions 5, Mean reward 439.483204134367, Final reward 0.0,  Reward 400.0, Record 949.0
Game 130, Game Loss -2499021620903936.0, Mean Loss -635240359919616.0, Actions 5, Mean reward 439.50641025641033, Final reward 0.5,  Reward 442.5, Record 949.0
Game 131, Game Loss -2935546527612928.0, Mean Loss -652799931056128.0, Actions 5, Mean reward 439.3575063613232, Final reward 0.0,  Reward 420.0, Record 949.0
Game 132, Game Loss -2661683843563520.0, Mean Loss -668018812125184.0, Actions 5, Mean reward 439.22979797979804, Final reward 0.5,  Reward 422.5, Record 949.0
Game 133, Game Loss -3710471639138304.0, Mean Loss -690894411923456.0, Actions 5, Mean reward 439.10401002506273, Final reward 0.5,  Reward 422.5, Record 949.0
Game 134, Game Loss -2977067318640640.0, Mean Loss -707955364200448.0, Actions 5, Mean reward 438.81218905472645, Final reward 0.0,  Reward 400.0, Record 949.0
Game 135, Game Loss -3608958208049152.0, Mean Loss -729444293541888.0, Actions 5, Mean reward 438.52469135802477, Final reward 0.0,  Reward 400.0, Record 949.0
Game 136, Game Loss -3525929510895616.0, Mean Loss -750006650798080.0, Actions 5, Mean reward 438.2414215686275, Final reward 0.0,  Reward 400.0, Record 949.0
Game 137, Game Loss -3548750282752000.0, Mean Loss -770435461414912.0, Actions 5, Mean reward 438.1082725060828, Final reward 0.0,  Reward 420.0, Record 949.0
Game 138, Game Loss -3516969403809792.0, Mean Loss -790337870102528.0, Actions 5, Mean reward 437.9951690821257, Final reward 0.5,  Reward 422.5, Record 949.0
Game 139, Game Loss -2769356794626048.0, Mean Loss -804575418253312.0, Actions 6, Mean reward 438.8944844124701, Final reward 0.5,  Reward 563.0, Record 949.0
Game 140, Game Loss -4474997024227328.0, Mean Loss -830792703934464.0, Actions 5, Mean reward 438.61666666666673, Final reward 0.0,  Reward 400.0, Record 949.0
Game 141, Game Loss -4173805463273472.0, Mean Loss -854501997150208.0, Actions 5, Mean reward 438.3427895981088, Final reward 0.0,  Reward 400.0, Record 949.0
Game 142, Game Loss -3426473100705792.0, Mean Loss -872614478217216.0, Actions 5, Mean reward 438.3720657276996, Final reward 0.5,  Reward 442.5, Record 949.0
Game 143, Game Loss -3288493249789952.0, Mean Loss -889508732076032.0, Actions 5, Mean reward 438.24358974358984, Final reward 0.0,  Reward 420.0, Record 949.0
Game 144, Game Loss -4466540770492416.0, Mean Loss -914349279412224.0, Actions 5, Mean reward 438.13425925925935, Final reward 0.5,  Reward 422.5, Record 949.0
Game 145, Game Loss -5027088495017984.0, Mean Loss -942712974999552.0, Actions 5, Mean reward 438.0264367816093, Final reward 0.5,  Reward 422.5, Record 949.0
Game 146, Game Loss -3909306881671168.0, Mean Loss -963032129732608.0, Actions 5, Mean reward 437.9029680365297, Final reward 0.0,  Reward 420.0, Record 949.0
Game 147, Game Loss -3826440856403968.0, Mean Loss -982511081488384.0, Actions 6, Mean reward 438.32539682539687, Final reward 0.0,  Reward 500.0, Record 949.0
Game 148, Game Loss -4224988320104448.0, Mean Loss -1004419776774144.0, Actions 6, Mean reward 438.7421171171172, Final reward 0.0,  Reward 500.0, Record 949.0
Game 149, Game Loss -3909917840769024.0, Mean Loss -1023919733604352.0, Actions 5, Mean reward 438.6163310961969, Final reward 0.0,  Reward 420.0, Record 949.0
Game 150, Game Loss -4062200738086912.0, Mean Loss -1044174933590016.0, Actions 5, Mean reward 438.49222222222227, Final reward 0.0,  Reward 420.0, Record 949.0
Game 151, Game Loss -3323294296047616.0, Mean Loss -1059268388192256.0, Actions 7, Mean reward 439.56181015452546, Final reward 0.0,  Reward 600.0, Record 949.0
Game 152, Game Loss -6082485976825856.0, Mean Loss -1092315879833600.0, Actions 5, Mean reward 439.30153508771934, Final reward 0.0,  Reward 400.0, Record 949.0
Game 153, Game Loss -4632461531152384.0, Mean Loss -1115454076616704.0, Actions 5, Mean reward 439.6437908496733, Final reward 1.0,  Reward 491.6666666666667, Record 949.0
Game 154, Game Loss -4262287695151104.0, Mean Loss -1135888121724928.0, Actions 5, Mean reward 439.5162337662339, Final reward 0.0,  Reward 420.0, Record 949.0
Game 155, Game Loss -5888334127693824.0, Mean Loss -1166549087944704.0, Actions 5, Mean reward 439.4064516129033, Final reward 0.5,  Reward 422.5, Record 949.0
Game 156, Game Loss -5096288471220224.0, Mean Loss -1191739608006656.0, Actions 5, Mean reward 439.15384615384625, Final reward 0.0,  Reward 400.0, Record 949.0
Game 157, Game Loss -6282575618244608.0, Mean Loss -1224165403131904.0, Actions 5, Mean reward 439.04777070063705, Final reward 0.5,  Reward 422.5, Record 949.0
Game 158, Game Loss -6055678938447872.0, Mean Loss -1254744630755328.0, Actions 5, Mean reward 438.8006329113925, Final reward 0.0,  Reward 400.0, Record 949.0
Game 159, Game Loss -5631965382311936.0, Mean Loss -1282274297380864.0, Actions 6, Mean reward 439.3301886792454, Final reward 0.5,  Reward 523.0, Record 949.0
Game 160, Game Loss -7115901279141888.0, Mean Loss -1318734543192064.0, Actions 5, Mean reward 439.2250000000001, Final reward 0.5,  Reward 422.5, Record 949.0
Game 161, Game Loss -5895348883030016.0, Mean Loss -1347160650022912.0, Actions 5, Mean reward 438.9813664596274, Final reward 0.0,  Reward 400.0, Record 949.0
Game 162, Game Loss -5556817413275648.0, Mean Loss -1373146141687808.0, Actions 5, Mean reward 439.0648148148149, Final reward 0.5,  Reward 452.5, Record 949.0
Game 163, Game Loss -5646984346075136.0, Mean Loss -1399365977505792.0, Actions 5, Mean reward 438.8251533742332, Final reward 0.0,  Reward 400.0, Record 949.0
Game 164, Game Loss -6668816121593856.0, Mean Loss -1431496762064896.0, Actions 5, Mean reward 438.71036585365863, Final reward 0.0,  Reward 420.0, Record 949.0
Game 165, Game Loss -6953765726846976.0, Mean Loss -1464965026283520.0, Actions 5, Mean reward 438.47575757575765, Final reward 0.0,  Reward 400.0, Record 949.0
Game 166, Game Loss -6752295253442560.0, Mean Loss -1496816369532928.0, Actions 6, Mean reward 438.8463855421688, Final reward 0.0,  Reward 500.0, Record 949.0
Game 167, Game Loss -6534142053318656.0, Mean Loss -1526980059070464.0, Actions 5, Mean reward 438.7335329341318, Final reward 0.0,  Reward 420.0, Record 949.0
Game 168, Game Loss -7445881469009920.0, Mean Loss -1562211541581824.0, Actions 5, Mean reward 438.6369047619049, Final reward 0.5,  Reward 422.5, Record 949.0
Game 169, Game Loss -8680577729298432.0, Mean Loss -1604332017418240.0, Actions 5, Mean reward 438.5414201183433, Final reward 0.5,  Reward 422.5, Record 949.0
Game 170, Game Loss -6231956207435776.0, Mean Loss -1631553385922560.0, Actions 5, Mean reward 438.43235294117653, Final reward 0.0,  Reward 420.0, Record 949.0
Game 171, Game Loss -8041866163388416.0, Mean Loss -1669040531570688.0, Actions 5, Mean reward 438.2076023391814, Final reward 0.0,  Reward 400.0, Record 949.0
Game 172, Game Loss -7634021437669376.0, Mean Loss -1703720647655424.0, Actions 5, Mean reward 438.11627906976753, Final reward 0.5,  Reward 422.5, Record 949.0
Game 173, Game Loss -8507658587865088.0, Mean Loss -1743049663184896.0, Actions 5, Mean reward 438.0115606936417, Final reward 0.0,  Reward 420.0, Record 949.0
Game 174, Game Loss -7511709359013888.0, Mean Loss -1776202918395904.0, Actions 5, Mean reward 437.79310344827593, Final reward 0.0,  Reward 400.0, Record 949.0
Game 175, Game Loss -7747366698352640.0, Mean Loss -1810323883425792.0, Actions 5, Mean reward 437.5771428571429, Final reward 0.0,  Reward 400.0, Record 949.0
