random_prob = 0.65
random_vec=[0.18, 0.18, 0.18, 0.18, 0.18, 0.1]
Game 48, Game Loss nan, Mean Loss nan, Actions 10, Mean reward -81.0, Final reward 0.0,  Reward -20.0, Record 56.0
Game 49, Game Loss nan, Mean Loss nan, Actions 17, Mean reward -81.22448979591837, Final reward 0.0,  Reward -92.0, Record 56.0
Game 50, Game Loss nan, Mean Loss nan, Actions 15, Mean reward -82.8, Final reward 0.0,  Reward -160.0, Record 56.0
Game 51, Game Loss nan, Mean Loss nan, Actions 12, Mean reward -82.19607843137256, Final reward 0.0,  Reward -52.0, Record 56.0
Game 52, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -81.61538461538461, Final reward 0.0,  Reward -52.0, Record 56.0
Game 53, Game Loss nan, Mean Loss nan, Actions 10, Mean reward -82.18867924528301, Final reward 0.0,  Reward -112.0, Record 56.0
Game 54, Game Loss nan, Mean Loss nan, Actions 14, Mean reward -82.07407407407408, Final reward 0.0,  Reward -76.0, Record 56.0
Game 55, Game Loss nan, Mean Loss nan, Actions 5, Mean reward -82.61818181818182, Final reward 0.0,  Reward -112.0, Record 56.0
Game 56, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -81.78571428571429, Final reward 0.0,  Reward -36.0, Record 56.0
Game 57, Game Loss nan, Mean Loss nan, Actions 29, Mean reward -80.84210526315789, Final reward 0.0,  Reward -28.0, Record 56.0
Game 58, Game Loss nan, Mean Loss nan, Actions 10, Mean reward -80.06896551724138, Final reward 0.0,  Reward -36.0, Record 56.0
Game 59, Game Loss nan, Mean Loss nan, Actions 5, Mean reward -79.32203389830508, Final reward 0.0,  Reward -36.0, Record 56.0
Game 60, Game Loss nan, Mean Loss nan, Actions 8, Mean reward -79.86666666666666, Final reward 0.0,  Reward -112.0, Record 56.0
Game 61, Game Loss nan, Mean Loss nan, Actions 24, Mean reward -81.9672131147541, Final reward 0.0,  Reward -208.0, Record 56.0
Game 62, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -81.35483870967742, Final reward 0.0,  Reward -44.0, Record 56.0
Game 63, Game Loss nan, Mean Loss nan, Actions 7, Mean reward -80.88888888888889, Final reward 0.0,  Reward -52.0, Record 56.0
Game 64, Game Loss nan, Mean Loss nan, Actions 24, Mean reward -81.6875, Final reward 0.0,  Reward -132.0, Record 56.0
Game 65, Game Loss nan, Mean Loss nan, Actions 7, Mean reward -81.23076923076923, Final reward 0.0,  Reward -52.0, Record 56.0
Game 66, Game Loss nan, Mean Loss nan, Actions 9, Mean reward -81.93939393939394, Final reward 0.0,  Reward -128.0, Record 56.0
Game 67, Game Loss nan, Mean Loss nan, Actions 12, Mean reward -81.73134328358209, Final reward 0.0,  Reward -68.0, Record 56.0
Game 68, Game Loss nan, Mean Loss nan, Actions 17, Mean reward -81.52941176470588, Final reward 0.0,  Reward -68.0, Record 56.0
Game 69, Game Loss nan, Mean Loss nan, Actions 7, Mean reward -80.8695652173913, Final reward 0.0,  Reward -36.0, Record 56.0
Game 70, Game Loss nan, Mean Loss nan, Actions 20, Mean reward -81.88571428571429, Final reward 0.0,  Reward -152.0, Record 56.0
Game 71, Game Loss nan, Mean Loss nan, Actions 10, Mean reward -82.87323943661971, Final reward 0.0,  Reward -152.0, Record 56.0
Game 72, Game Loss nan, Mean Loss nan, Actions 21, Mean reward -83.5, Final reward 0.0,  Reward -128.0, Record 56.0
Game 73, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -82.95890410958904, Final reward 0.0,  Reward -44.0, Record 56.0
Game 74, Game Loss nan, Mean Loss nan, Actions 15, Mean reward -82.32432432432432, Final reward 0.0,  Reward -36.0, Record 56.0
Game 75, Game Loss nan, Mean Loss nan, Actions 13, Mean reward -82.72, Final reward 0.0,  Reward -112.0, Record 56.0
Game 76, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -83.10526315789474, Final reward 0.0,  Reward -112.0, Record 56.0
Game 77, Game Loss nan, Mean Loss nan, Actions 8, Mean reward -83.27272727272727, Final reward 0.0,  Reward -96.0, Record 56.0
Game 78, Game Loss nan, Mean Loss nan, Actions 13, Mean reward -82.66666666666667, Final reward 0.0,  Reward -36.0, Record 56.0
Game 79, Game Loss nan, Mean Loss nan, Actions 7, Mean reward -82.17721518987342, Final reward 0.0,  Reward -44.0, Record 56.0
Game 80, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -81.7, Final reward 0.0,  Reward -44.0, Record 56.0
Game 81, Game Loss nan, Mean Loss nan, Actions 14, Mean reward -81.62962962962963, Final reward 0.0,  Reward -76.0, Record 56.0
