Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 45, Game Loss -1.2321515995398144e+16, Mean Loss -2878697266741248.0, Actions 8, Mean reward -1008.8888888888889, Reward -100, Record 600
Game 46, Game Loss -1.4093572257087488e+16, Mean Loss -3122498937815040.0, Actions 14, Mean reward -984.7826086956521, Reward 100, Record 600
Game 47, Game Loss -1.604652932005888e+16, Mean Loss -3397478044925952.0, Actions 20, Mean reward -965.9574468085107, Reward -100, Record 600
Game 48, Game Loss -1.866225781886157e+16, Mean Loss -3715494334955520.0, Actions 29, Mean reward -1000.0, Reward -2600, Record 600
Game 49, Game Loss -2.211078369758413e+16, Mean Loss -4090908299493376.0, Actions 26, Mean reward -989.795918367347, Reward -500, Record 600
Game 50, Game Loss -2.0539538631819264e+16, Mean Loss -4419880782659584.0, Actions 6, Mean reward -972.0, Reward -100, Record 600
Game 51, Game Loss -1.9740908790480896e+16, Mean Loss -4720293075484672.0, Actions 10, Mean reward -958.8235294117648, Reward -300, Record 600
Game 52, Game Loss -2.2754474741202944e+16, Mean Loss -5067104168443904.0, Actions 10, Mean reward -946.1538461538462, Reward -300, Record 600
Game 53, Game Loss -2.386239806242816e+16, Mean Loss -5421732101881856.0, Actions 13, Mean reward -928.3018867924528, Reward 0, Record 600
Game 54, Game Loss -2.953687878913229e+16, Mean Loss -5868309379547136.0, Actions 24, Mean reward -946.2962962962963, Reward -1900, Record 600
Game 55, Game Loss -3.498216502853632e+16, Mean Loss -6397652287619072.0, Actions 58, Mean reward -1014.5454545454545, Reward -4700, Record 600
Game 56, Game Loss -3.1510152121155584e+16, Mean Loss -6846089286123520.0, Actions 5, Mean reward -1000.0, Reward -200, Record 600
Game 57, Game Loss -4.063709935907635e+16, Mean Loss -7438913958313984.0, Actions 17, Mean reward -1003.5087719298245, Reward -1200, Record 600
