Command main.py play --no-gui --agents imitation_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 48, Game Loss 0.03987075760960579, Mean Loss 0.15187223255634308, Actions 7, Mean reward -700.0, Reward -400, Record -100
Game 49, Game Loss 0.0643758475780487, Mean Loss 0.15008659660816193, Actions 21, Mean reward -718.3673469387755, Reward -1600, Record -100
Game 50, Game Loss 0.08289412409067154, Mean Loss 0.14874275028705597, Actions 10, Mean reward -702.0, Reward 100, Record 100
Game 51, Game Loss 0.11318548768758774, Mean Loss 0.14804555475711823, Actions 9, Mean reward -703.9215686274509, Reward -800, Record 100
Game 52, Game Loss 0.04087680205702782, Mean Loss 0.14598461985588074, Actions 5, Mean reward -698.0769230769231, Reward -400, Record 100
Game 53, Game Loss 0.05408994108438492, Mean Loss 0.144250750541687, Actions 5, Mean reward -688.6792452830189, Reward -200, Record 100
Game 54, Game Loss 0.06629569828510284, Mean Loss 0.14280714094638824, Actions 16, Mean reward -692.5925925925926, Reward -900, Record 100
Game 55, Game Loss 0.05940784513950348, Mean Loss 0.1412907838821411, Actions 9, Mean reward -690.9090909090909, Reward -600, Record 100
Game 56, Game Loss 0.06747980415821075, Mean Loss 0.1399727314710617, Actions 6, Mean reward -683.9285714285714, Reward -300, Record 100
Game 57, Game Loss 0.06495717912912369, Mean Loss 0.13865666091442108, Actions 13, Mean reward -675.438596491228, Reward -200, Record 100
Game 58, Game Loss 0.10150497406721115, Mean Loss 0.13801611959934235, Actions 16, Mean reward -682.7586206896551, Reward -1100, Record 100
Game 59, Game Loss 0.04856065660715103, Mean Loss 0.13649994134902954, Actions 6, Mean reward -672.8813559322034, Reward -100, Record 100
Game 60, Game Loss 0.13843496143817902, Mean Loss 0.13653220236301422, Actions 6, Mean reward -663.3333333333334, Reward -100, Record 100
Game 61, Game Loss 0.0680929571390152, Mean Loss 0.13541024923324585, Actions 10, Mean reward -660.655737704918, Reward -500, Record 100
Game 62, Game Loss 0.07198823243379593, Mean Loss 0.1343873143196106, Actions 10, Mean reward -658.0645161290323, Reward -500, Record 100
Game 63, Game Loss 0.049599383026361465, Mean Loss 0.13304147124290466, Actions 32, Mean reward -655.5555555555555, Reward -500, Record 100
Game 64, Game Loss 0.11426925659179688, Mean Loss 0.13274815678596497, Actions 32, Mean reward -643.75, Reward 100, Record 100
Game 65, Game Loss 0.09257792681455612, Mean Loss 0.13213014602661133, Actions 16, Mean reward -647.6923076923077, Reward -900, Record 100
Game 66, Game Loss 0.08098597824573517, Mean Loss 0.13135524094104767, Actions 9, Mean reward -646.969696969697, Reward -600, Record 100
