Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 14, Game Loss -2.0110263385092784e+19, Mean Loss -1.2400693459801866e+19, Actions 14, Mean reward 442.0, Final reward 0.0,  Reward 540.0, Record 2396.0
Game 15, Game Loss -1.7851596021780447e+19, Mean Loss -1.2764086450828345e+19, Actions 23, Mean reward 395.73333333333335, Final reward 0.0,  Reward -252.0, Record 2396.0
Game 16, Game Loss -1.7479459714289893e+19, Mean Loss -1.3058797348514169e+19, Actions 17, Mean reward 333.5, Final reward 0.0,  Reward -600.0, Record 2396.0
Game 17, Game Loss -2.134820572582904e+19, Mean Loss -1.3546409864711897e+19, Actions 20, Mean reward 320.94117647058823, Final reward 0.0,  Reward 120.0, Record 2396.0
Game 18, Game Loss -2.322081476541992e+19, Mean Loss -1.4083876437136245e+19, Actions 28, Mean reward 304.3051586491409, Final reward 0.0,  Reward 21.492855684535897, Record 2396.0
Game 19, Game Loss -2.8484684901955666e+19, Mean Loss -1.4841813782627353e+19, Actions 18, Mean reward 301.3417292465545, Final reward 0.0,  Reward 248.0, Record 2396.0
Game 20, Game Loss -2.6517759754934157e+19, Mean Loss -1.5425611576022925e+19, Actions 30, Mean reward 316.2652121992689, Final reward 0.0,  Reward 599.8113883008417, Record 2396.0
Game 21, Game Loss -3.0405736224843104e+19, Mean Loss -1.6138950530868183e+19, Actions 10, Mean reward 299.38407000100096, Final reward 0.0,  Reward -38.23877396435785, Record 2396.0
Game 22, Game Loss -2.664940868017429e+19, Mean Loss -1.6616699328253133e+19, Actions 13, Mean reward 271.41206681913724, Final reward 0.0,  Reward -316.0, Record 2396.0
Game 23, Game Loss -3.1161764818148393e+19, Mean Loss -1.7249094436084777e+19, Actions 9, Mean reward 259.6115421748269, Final reward 0.0,  Reward 0.0, Record 2396.0
Game 24, Game Loss -2.8020268782569128e+19, Mean Loss -1.7697893092310385e+19, Actions 6, Mean reward 237.1277279175425, Final reward 0.0,  Reward -280.0, Record 2396.0
Game 25, Game Loss -3.3861419907082617e+19, Mean Loss -1.8344433417233367e+19, Actions 15, Mean reward 211.64261880084078, Final reward 0.0,  Reward -400.0, Record 2396.0
Game 26, Game Loss -3.349553982075411e+19, Mean Loss -1.8927166883373253e+19, Actions 20, Mean reward 229.6563642315777, Final reward 0.0,  Reward 680.0, Record 2396.0
Game 27, Game Loss -2.382699091897562e+19, Mean Loss -1.9108643476560937e+19, Actions 5, Mean reward 213.74316555633408, Final reward 0.0,  Reward -200.0, Record 2396.0
Game 28, Game Loss -3.693551587987921e+19, Mean Loss -1.974531568462463e+19, Actions 10, Mean reward 217.5380525007507, Final reward 0.0,  Reward 320.0, Record 2396.0
Game 29, Game Loss -3.5544053128603107e+19, Mean Loss -2.0290101705955082e+19, Actions 49, Mean reward 227.0022575869317, Final reward 0.0,  Reward 492.0, Record 2396.0
Game 30, Game Loss -4.035134666365836e+19, Mean Loss -2.0958809284805657e+19, Actions 12, Mean reward 222.76884900070067, Final reward 0.0,  Reward 100.0, Record 2396.0
Game 31, Game Loss -4.150660792900911e+19, Mean Loss -2.1621641073517396e+19, Actions 6, Mean reward 207.1956603232587, Final reward 0.0,  Reward -260.0, Record 2396.0
Game 32, Game Loss -4.5719663807763055e+19, Mean Loss -2.23747053834742e+19, Actions 50, Mean reward 219.4968214297193, Final reward 0.0,  Reward 600.8328157299975, Record 2396.0
Game 33, Game Loss -4.7230098115211035e+19, Mean Loss -2.3127899435803083e+19, Actions 5, Mean reward 212.84540259851568, Final reward 0.0,  Reward 0.0, Record 2396.0
Game 34, Game Loss -5.0502618553425854e+19, Mean Loss -2.393303661645136e+19, Actions 13, Mean reward 201.2911260515005, Final reward 0.0,  Reward -180.0, Record 2396.0
Game 35, Game Loss -4.740078630030698e+19, Mean Loss -2.460354519534823e+19, Actions 8, Mean reward 186.96852245002907, Final reward 0.0,  Reward -300.0, Record 2396.0
Game 36, Game Loss -6.392831083750097e+19, Mean Loss -2.569589900242741e+19, Actions 22, Mean reward 204.33127894800936, Final reward 0.0,  Reward 812.02775637732, Record 2396.0
Game 37, Game Loss -5.8081283922848645e+19, Mean Loss -2.657118062688128e+19, Actions 16, Mean reward 210.32232546292803, Final reward 0.0,  Reward 426.0, Record 2396.0
Game 38, Game Loss -6.764929568040655e+19, Mean Loss -2.76521830759153e+19, Actions 16, Mean reward 218.99805374021938, Final reward 0.0,  Reward 540.0, Record 2396.0
Game 39, Game Loss -6.248389560623117e+19, Mean Loss -2.8545305376041468e+19, Actions 6, Mean reward 216.45964210585478, Final reward 0.0,  Reward 120.0, Record 2396.0
Game 40, Game Loss -6.469511024671195e+19, Mean Loss -2.9449051157515207e+19, Actions 12, Mean reward 224.54815105320841, Final reward 0.0,  Reward 540.0, Record 2396.0
Game 41, Game Loss -6.1420848182078734e+19, Mean Loss -3.0228851192213012e+19, Actions 13, Mean reward 215.16892785678868, Final reward 0.0,  Reward -160.0, Record 2396.0
Game 42, Game Loss -7.431716959784482e+19, Mean Loss -3.1278572535436804e+19, Actions 20, Mean reward 218.1929061216573, Final reward 0.0,  Reward 342.1760149812702, Record 2396.0
Game 43, Game Loss -7.229630241036462e+19, Mean Loss -3.2232471440299917e+19, Actions 10, Mean reward 220.56051295603737, Final reward 0.0,  Reward 320.0, Record 2396.0
Game 44, Game Loss -6.0472347879308e+19, Mean Loss -3.2874287163758346e+19, Actions 13, Mean reward 217.9114103888547, Final reward 0.0,  Reward 104.0, Record 2396.0
Game 45, Game Loss -7.934827092375713e+19, Mean Loss -3.39070408435423e+19, Actions 24, Mean reward 220.22449015799126, Final reward 0.0,  Reward 322.0, Record 2396.0
Game 46, Game Loss -7.5100681583798e+19, Mean Loss -3.480255348194725e+19, Actions 19, Mean reward 225.95874037194798, Final reward 0.0,  Reward 484.0, Record 2396.0
Game 47, Game Loss -6.79416998026973e+19, Mean Loss -3.5507643900560933e+19, Actions 6, Mean reward 215.1936607895661, Final reward 0.0,  Reward -280.0, Record 2396.0
Game 48, Game Loss -6.376754464533407e+19, Mean Loss -3.609639279481638e+19, Actions 6, Mean reward 204.4604595231168, Final reward 0.0,  Reward -300.0, Record 2396.0
Game 49, Game Loss -8.035530042949763e+19, Mean Loss -3.69996349999646e+19, Actions 7, Mean reward 197.43065422672666, Final reward 0.0,  Reward -140.0, Record 2396.0
Game 50, Game Loss -6.1178278324805304e+19, Mean Loss -3.7483209009953505e+19, Actions 6, Mean reward 191.48204114219214, Final reward 0.0,  Reward -100.0, Record 2396.0
